Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(1, 15)",0.03607597701268703,15,38.75022314088411,37.35227098161708,41.38252380952381
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(2, 9)",0.07169430941183924,18,1291447.071075293,1182771.431370074,1394968.2499649362
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(1, 17)",0.0894078047028661,17,3372814.6531986534,3041124.376899696,3627097.0434782607
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(1, 14)",0.12434777517406878,14,3418978.0764126563,2935706.275462903,3890456.4780876497
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,"(2, 19)",0.0973127491579023,38,4592341.5828460045,4209603.764705882,5041805.507537688
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,"(2, 15)",0.0775029634941477,30,4579162.202169997,4311145.931034483,5246366.905620113
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(2, 15)",0.10621143338755808,30,1448265.7389434064,1277572.2557544757,1581185.6202531646
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(2, 3)",0.05377628864529678,6,1614064.9959752257,1498681.5712143928,1889576.1663516068
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,"(2, 9)",0.08166126675821074,18,1682669.898989899,1561583.4880246904,1878924.4556211764
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,"(2, 8)",0.07291748836092285,16,1601251.0031087445,1489936.786885246,1938908.2790697676
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(1, 15)",0.101934471832391,15,7024611.356643356,6308561.3081761,7770397.76744186
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(2, 9)",0.11594164129921089,18,7412352.711343576,6659932.695424836,9373409.59386973
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(1, 17)",0.06459905310548851,17,7904505.952755906,7404475.733333333,8811430.175438596
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(1, 14)",0.039194367981544034,14,7660175.502139965,7369366.588235294,9122366.966459628
