Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(3, 20)",0.09696428505808899,60,1154336.9736946095,1095297.1228070175,1261785.8844058632
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(3, 20)",0.04057548071161941,60,1387343.6010479275,1359154.1948535936,1426604.6818341147
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(3, 20)",0.028824131517028825,60,5.225030723841273,5.09139854417022,5.339163729713266
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(3, 20)",0.004377760959130217,60,5.063740403052348,5.052924190837392,5.088319703702192
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(3, 20)",0.008377049158363526,60,5.95232717665856,5.909825541877502,5.973302661865672
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.018117385330796508,60,15.34125764563115,15.28013847920913,16.197221390735947
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,"(3, 20)",0.06498349337844807,60,12.216006550384645,11.758504167291939,12.29814167947464
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,"(3, 20)",0.02619397431618047,60,7.312862812755104,7.210478771454381,7.5074494712578375
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.02342878196051437,60,7.128196280542825,7.023990152596955,7.205534901558028
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.07328776340988206,60,32.893413186137096,31.79399705690758,33.60967907762356
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.05743019331919856,60,5958162.610312764,5743340.9828571435,6077719.272727273
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(3, 20)",0.05408871778835788,60,5807366.641752924,5515038.945054945,5993978.160250926
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(3, 20)",0.04921439521183397,60,6788096.0,6642572.715231788,6865962.082191781
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(3, 20)",0.05176570086282529,60,6830261.115646258,6601027.368421053,7039754.816901408
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(3, 20)",0.004670683964659186,60,1748839.8321678322,1746761.3986013986,1758976.0
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(3, 20)",0.05025697772914592,60,906746.7110509817,883492.8779574814,951589.771284342
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(3, 20)",0.03200071156082551,60,38.45383541452074,37.45669921243284,38.74049271678561
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(3, 20)",0.12542096371730588,60,807738.6765271185,759153.7160833571,880233.9271147323
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,"(3, 20)",0.11068290854831508,60,1021972.4380757421,954916.2217973232,1062689.770212766
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(3, 20)",0.060325928442481795,60,1291358.1572013572,1244434.4133231565,1352526.1997432983
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.06189451971644583,60,7.337136112227102,7.251533550325488,8.118167089320936
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.11271657911894742,60,8.249906179306276,7.339133107900399,8.401476173086262
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.060939999112536135,60,29.402040818416946,28.09321902676877,31.127922347698004
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.08283401600585026,60,36.87413415831069,34.869077572604375,39.53665359633625
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.015070564868577043,60,33.942678981013366,33.668784718059385,34.33541832669323
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.03058661839955972,60,172201.64757837763,168997.22139471903,175215.83207073848
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.1991851999038213,60,776294.1864949751,678948.2231292517,889734.7248441674
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.09234790510729862,60,262828.08221880667,253422.1086695796,281213.3850816225
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.03885203534554583,60,124631.62158379916,122127.11132483772,128502.26839270913
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(3, 20)",0.01522714668936656,60,35.830519387875675,35.55484563283676,36.37233418117785
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.10972047251917497,60,846846.6256122235,794303.6784261856,932577.2414312618
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.10201860621264117,60,2796845.693285716,2642085.0865838337,2952563.5398230087
