Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.09047246310428794,60,5945993.080635729,5780322.662015003,6137189.845461107
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(3, 20)",0.08386167691222243,60,5847807.902538791,5690455.8442682065,6022003.468368279
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(3, 20)",0.10411607982000559,60,6858989.073542243,6640122.733649762,7120378.5823766515
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(3, 20)",0.1103587328610391,60,6860457.167599168,6643630.698941072,7133310.279147778
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(3, 20)",0.025899408506536003,60,1759656.730509001,1745757.380428064,1775914.589941959
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(3, 20)",0.07268572112797832,60,923912.0213901311,902612.4409298699,947623.7337910248
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(3, 20)",0.4391597989488825,60,42.32591842327137,38.7653589532934,49.993566039432544
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(3, 20)",0.15247260025926676,60,758184.3934635053,721106.8877209948,799992.4700463864
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,"(3, 20)",0.1880686604768085,60,1013726.3873793017,954516.2923968509,1082007.1641925448
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(3, 20)",0.09841640913894406,60,1283975.9574053476,1243903.004860455,1327652.069052242
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(3, 20)",0.22123126230245774,60,1210669.646104046,1130902.8579615084,1307746.9219714918
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(3, 20)",0.06089445325856579,60,1409471.269290717,1381611.2474416336,1439352.213102287
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(3, 20)",0.013665933250574087,60,5.0970472663930355,5.075229520324717,5.121424937523648
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(3, 20)",0.02130779015031684,60,5.109370899072652,5.080582543333005,5.151466911244747
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(3, 20)",0.017181795005300825,60,6.018582725580651,5.983040098515553,6.052369120088419
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.11377780647956902,60,16.492782906124614,15.934281180330634,17.192926683282014
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,"(3, 20)",0.0782465705352781,60,12.628812997532366,12.314544381666003,12.982761580490495
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,"(3, 20)",0.2219801364627526,60,7.549215728225566,7.179125628349406,8.283406670722771
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.20260187943328764,60,7.806664716467895,7.346678049088525,8.38175954446727
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.12950092025445664,60,33.250871580712655,32.05096056679803,34.87476532103028
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.26862079728310173,60,7.817809536972618,7.276485495151202,8.674921399885827
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.15885012098910134,60,7.930529681612926,7.549744038684217,8.383669043918314
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.17932333230925818,60,32.094917632798555,30.576531344382417,34.31882811255169
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.18967134853137751,60,37.69844199416279,35.70857891682497,40.328661740024124
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.03296419123577844,60,34.10222364796524,33.75422924294434,34.4906102791919
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.10124357833035721,60,169798.07069826504,164738.27202797416,176225.80507300666
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.2640470975701752,60,779994.1664881866,712925.99239475,848129.7719937003
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.1103035918916104,60,269947.01007606555,260423.6249753044,280408.70548556984
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.05148040165212874,60,121933.06564540503,119918.94935540107,124061.51190258673
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(3, 20)",0.056650938260064,60,37.27573464434475,36.6073114964032,38.00320944626282
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.1817488317069997,60,907336.5387656308,858839.55353073,967058.2620605624
