Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(1, 15)",0.052819075752412036,15,36.570896849778954,35.65906814212587,37.61550034750872
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(2, 9)",0.14777255716124585,18,898869.836842498,833540.8734688407,966289.1011786674
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(1, 17)",0.15061735573428675,17,2648084.8477835166,2460864.7067303485,2858555.7760766437
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(1, 14)",0.15182769286562903,14,2596227.7373038055,2402576.132745003,2808319.3672790457
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,"(2, 19)",0.10701865758944938,38,4145637.6283122012,3927217.744915854,4373702.630642152
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,"(2, 15)",0.15574277973174483,30,4210625.646434507,3909130.6205485966,4587408.396722641
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(2, 15)",0.09497277180352043,30,973343.321498249,926875.6633337281,1021751.8594737973
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(2, 3)",0.17629570337058886,6,1068014.9151501642,973519.669381185,1162027.2926282827
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,"(2, 9)",0.1608093239371515,18,1174493.020117334,1087624.796653365,1271337.6024776034
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,"(2, 8)",0.15894193225271303,16,1120638.4788240925,1041505.9557951414,1220178.1547319435
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(1, 15)",0.0997525930004117,15,5870862.22494935,5622293.348438768,6222859.06586324
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(2, 9)",0.08017830061012947,18,5956921.247783575,5740218.122745058,6210220.269580313
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(1, 17)",0.08235700472253864,17,6557503.291999606,6304106.246972445,6840646.263669216
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(1, 14)",0.10197124299076497,14,6677673.898611287,6357333.9982669735,7025746.678912743
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(2, 19)",0.02198584282927857,38,1758290.6920281765,1740666.2510898872,1778538.5524143074
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(2, 15)",0.05577844562745455,30,912629.3957319394,889427.5908700858,940119.5337659074
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(2, 15)",0.4345322574706681,30,43.89993445690992,38.62504162219991,57.9503756029455
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(2, 3)",0.2851323035452134,6,784359.8254329971,678897.4086650746,892733.5035189649
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,"(2, 9)",0.1732726219041183,18,986532.1336264513,903568.4397495596,1077470.3628867297
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(2, 8)",0.1127820967947731,16,1275516.6351265982,1208874.3311964378,1354504.9156192297
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(1, 15)",0.2289367835818923,15,1136184.9717256695,1015318.3440722256,1276442.302345857
