Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,45,-0.0004104130817162665,-0.17010115361600792,0.027857456224571274
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,42,0.016307069710677073,0.10662260384577814,-0.015700935345809606
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,43,0.018593760104160303,0.053051003520881906,-0.018931701408951434
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,46,-0.016125893338740784,0.03505509228610116,-0.07263307163562654
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,22,0.0069756186293629865,0.020220836556710645,-0.008016869946677168
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,30,0.007926272123623321,0.021336704175270265,-0.007945822504267171
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,30,-0.008408374460679763,0.008155634327630033,-0.02403729802532923
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,54,0.09485621069399747,0.6433388721909291,0.007252052947715989
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,42,0.1257549842498526,0.5587171509892914,0.013326970157799864
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,44,-0.0222711515146574,0.032614780245967756,-0.0449266596414825
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,45,-0.010806445169719958,0.06012404497296989,-0.031952481076765384
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,42,0.002918408794505014,0.006986184727219295,-0.013923720564595074
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,43,-0.0164605629786475,-0.023305727382647325,-0.02637590053619631
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,46,0.057405848349321775,0.2142631579287721,0.007240435239958151
