Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(1, 15)",0.04331308014489146,15,38.538542614861306,37.9292791092659,39.77536163373357
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(2, 9)",0.20349160650004675,18,908446.130533386,798855.8836046907,981502.6632732786
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(1, 17)",0.12149685252151422,17,2779101.8666666667,2543730.6463104323,3130073.6
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(1, 14)",0.1577415626427773,14,2685626.712040375,2392781.2096632957,3058800.791228463
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,"(2, 19)",0.10522032130446674,38,3979715.6932806326,3556027.6725978646,4375762.165938864
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,"(2, 15)",0.08937026836012475,30,4038214.8974308944,3768597.172932331,4352589.113194052
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(2, 15)",0.1209525809828398,30,952768.3871477146,919993.2583629345,1083920.3741668235
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(2, 3)",0.20033531069349844,6,1014939.0455149765,950286.6146527115,1249737.5319148935
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,"(2, 9)",0.4004087547234159,18,1181159.0455972292,1056009.675610833,1316646.3775544018
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,"(2, 8)",0.14244244268884954,16,1117542.2485472464,1054430.2090813094,1254541.5075376884
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(1, 15)",0.08965613603631767,15,5742639.08045977,5548382.762430939,5998751.425149701
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(2, 9)",0.0544512213986698,18,5772629.741545413,5636003.955056179,6003739.001155583
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(1, 17)",0.0426180188010586,17,6708753.181208054,6288622.289308176,6820035.047619048
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(1, 14)",0.17715743664910216,14,6861769.665306123,6621329.448156863,7415277.037037037
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(2, 19)",0.02331882914565598,38,1749453.6201731719,1735697.7777777778,1796228.366247756
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(2, 15)",0.09346092522083971,30,937331.8747665791,877476.2179261863,991725.0189746597
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(2, 15)",0.033514181134987484,30,37.83740418010149,36.70581800099453,38.37067049704591
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(2, 3)",0.3900803993432305,6,762366.9114389208,656471.5789473684,1118971.699888018
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,"(2, 9)",0.12056116194948809,18,955192.5624042817,894074.9138957348,1041129.3096976016
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(2, 8)",0.13710725684785338,16,1263915.020624496,1192762.0429594272,1403811.9550561798
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(1, 15)",0.3361347892618902,15,1114522.2857142857,1023956.9394871796,1337204.1767068272
