Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,45,-0.004513903527827829,0.040161491379114365,-0.01011187138781622
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,42,-0.005558227306803528,0.00295885571588494,-0.016212929441467867
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,43,-0.013850164532185483,0.02226721503392282,-0.10148053610594884
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,46,-0.0112093255040714,0.019175712128845186,-0.02712225085141642
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,22,-0.08232390099353747,-0.08639507352883272,-0.0891227612917171
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,30,-0.006470433296558127,0.005804236080203374,-0.04173861479944245
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,30,-0.02570278852749121,-0.01764642297663139,-0.04098387502288905
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,54,-0.019528987026659016,0.0966043749916824,-0.15169967148261182
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,42,0.016603541472281623,0.04303026391597611,0.002696414529991882
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,44,-0.0023336601742831673,0.054713640915672934,-0.021375781615631775
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,45,-0.025340780884559433,-0.009055081138960861,-0.033545488859983714
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,42,-0.009433901126167432,0.004128031286189331,-0.03210404370223024
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,43,0.029214230132412096,0.03228182645852527,0.014443962031286622
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,46,-0.023282056326214662,-0.01052991412652793,-0.03342601300591794
org.jenetics.internal.util.IndexSorterPerf.heapSort160,22,-0.0011935480692475727,0.0016196258346098632,-0.004057901775646145
org.jenetics.internal.util.IndexSorterPerf.heapSort250,30,0.0031360224054785804,0.0038724983979815187,0.0011389498917086006
org.jenetics.internal.util.IndexSorterPerf.heapSort320,30,0.00032458466754318305,0.0019326791805609526,-0.001082597928348837
org.jenetics.internal.util.IndexSorterPerf.heapSort80,54,0.008369579514419712,0.0931308445380149,-0.0072078050816943556
org.jenetics.internal.util.IndexSorterPerf.insertionSort160,42,0.02768901996176351,0.03403942064699237,0.01048074617456457
org.jenetics.internal.util.IndexSorterPerf.insertionSort250,44,-5.154505551296233e-05,0.024547711921508404,-0.013728851209308853
org.jenetics.internal.util.IndexSorterPerf.insertionSort320,45,-0.026850601983548595,-0.01428818029347665,-0.04371535020816513
org.jenetics.internal.util.IndexSorterPerf.insertionSort80,42,-0.007644452537074579,0.021311057188630557,-0.02988602417538811
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,43,-0.00990260899398971,-0.010617524606051578,-0.007620694746543341
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,46,0.03246103315630198,0.03996953626626924,0.03395584668162502
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,22,0.005815757135939578,0.008263854339729811,0.0020128711585117574
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,30,0.004132182839569538,0.008376293633450316,0.0010865057997898014
org.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,30,0.002088645389015013,0.03676854646142839,-0.0026059785584034317
org.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,54,0.006604919502858123,0.04856435427926923,-0.006344070070704325
org.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,42,0.011564951220988176,0.019880235761355235,0.005638245104714979
org.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,44,0.0015528493499283745,0.007845230430424762,-0.0018529425945729922
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,45,0.01128261465348101,0.00911749023464345,0.004611518808528348
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,42,-0.01921291226645208,0.1183268845085016,-0.029251062312125306
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,43,-0.011358993705791064,0.021119512143222528,-0.016781604956726426
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,46,0.023086643407916677,0.041809199375616515,0.02267308443159919
org.jenetics.util.SeqPerf.forEachLoopSeq,22,-0.0007588276514883226,0.004356317702682653,-0.0014013692806903145
org.jenetics.util.SeqPerf.forLoopArray,30,0.00040184070143150174,0.001631531620130672,-0.0003802884952555694
org.jenetics.util.SeqPerf.forLoopSeq,30,-0.00026974587179757597,-4.388689248900418e-05,-0.0008257165749042947
org.jenetics.util.SeqPerf.getFromArray,54,-0.01795067427106437,0.1560542306009793,-0.039003222102480244
org.jenetics.util.SeqPerf.getFromSeq,42,-0.004488021499781275,0.013468253001072298,-0.008457800190982604
