Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
org.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(3, 20)",0.02374213437529526,60,62803.06207034329,62044.53834741935,63585.82540440351
org.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(3, 20)",0.049904247284015504,60,4522.024291336431,4410.83039843913,4633.502464158634
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(3, 20)",0.01448027109156426,60,39.567800910343614,39.31080714620644,39.87377785612102
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(3, 20)",0.019857716189343736,60,39.71762629125617,39.38550292544909,40.17267167201121
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(3, 20)",0.015034423174075228,60,36.761781483775245,36.502371898443364,37.036774949458085
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(3, 20)",0.013267993368223768,60,36.64636440886167,36.411764602132685,36.887379358828326
org.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(3, 20)",0.023913638038940963,60,52.288552145454794,51.86242091591533,53.10467840981249
org.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(3, 20)",0.015208404052334984,60,39.58218106381876,39.28130426413964,39.87996613859075
org.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(3, 20)",0.054184339125120544,60,40.72510106025087,39.70809923634236,41.883820275480986
org.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(3, 20)",0.02535571596214167,60,51.42076642645381,50.800871848267995,52.10560700601887
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(3, 20)",0.027563004335131914,60,43.7637541264606,43.17261557431849,44.37822492411571
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(3, 20)",0.021845119105746005,60,130.10287300456,128.66172974103424,131.51326428676128
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(3, 20)",0.02921914350805341,60,50.1335362497074,49.457642706171555,50.9543067432525
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(3, 20)",0.03508392572125121,60,64.21544581356012,63.08449144313169,65.3567724925002
org.jenetics.internal.util.IndexSorterPerf.heapSort160,"(3, 20)",0.02243536919186291,60,11104.93398933403,10981.841452543618,11224.41782058547
org.jenetics.internal.util.IndexSorterPerf.heapSort250,"(3, 20)",0.010091424053276793,60,20149.781434754877,20043.324998921787,20256.348727376244
org.jenetics.internal.util.IndexSorterPerf.heapSort320,"(3, 20)",0.009038852298332298,60,26549.662645163433,26431.39211806022,26672.00295189958
org.jenetics.internal.util.IndexSorterPerf.heapSort80,"(3, 20)",0.021006456259171635,60,5209.386709761227,5154.104509883484,5264.254176873398
org.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(3, 20)",0.03248530856326918,60,16259.744082623447,15991.775443544395,16514.729406553113
org.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(3, 20)",0.02256586580399331,60,38804.146534816355,38385.236178441235,39265.76394923206
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(3, 20)",0.03837313420331099,60,39.63372056630097,38.904387935621095,40.42573276391662
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(3, 20)",0.012222765331760666,60,37.96179609015976,37.739267835003886,38.19947194728422
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(3, 20)",0.03059547009973547,60,37.539868937922655,36.99397598273931,38.12725793236613
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(3, 20)",0.022464472923084778,60,37.61483224268174,37.24417012675141,38.08738637248384
org.jenetics.util.SeqPerf.arrayList_contains,"(3, 20)",0.0025845833492133094,60,660.5938900008964,659.7779144265389,661.497318065751
org.jenetics.util.SeqPerf.arrayList_copy,"(3, 20)",0.6161867426088864,60,0.04130940121072815,0.029788455358679012,0.05502845986827286
org.jenetics.util.SeqPerf.arrayList_forEachLoop,"(3, 20)",0.014494530685634253,60,1.011283281226963,1.0064931371240986,1.0212218112330038
org.jenetics.util.SeqPerf.arrayList_forLoop,"(3, 20)",0.002172847358460406,60,1.005074942276889,1.0041695708558391,1.0062733463416564
org.jenetics.util.SeqPerf.arrayList_get,"(3, 20)",0.0020738522626221373,60,1.0040744625030704,1.0032288533781217,1.0053282004562265
org.jenetics.util.SeqPerf.arrayList_set,"(3, 20)",0.8606584463789848,60,0.013229146307616384,0.008136657938311916,0.019665625714803302
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(3, 20)",0.02691028940984699,60,41.82747329361097,41.25251224966376,42.38785704770296
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(3, 20)",0.0231373739604604,60,43.068400564819655,42.58120923339344,43.569143047280775
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(3, 20)",0.11236540287883573,60,56.80061493536015,53.602090808492434,59.93106766768503
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(3, 20)",0.02824525096011801,60,44.82000032531099,44.20656243240498,45.45717250106859
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(3, 20)",0.11449839414030116,60,63.52772082482359,59.910212128908334,67.20298489013345
