Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(1, 15)",0.014369442949896994,15,43.21502564618324,42.32018905678604,44.8761089122424
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(2, 9)",0.026445755979163963,18,42.473302899258414,41.13398152113968,43.61520362006081
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(1, 17)",0.04322957165404595,17,65.66875624289601,62.82992403946166,69.5872816052491
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(1, 14)",0.01636840924853101,14,43.696164965212844,42.73501770373392,44.63960271886128
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(2, 19)",0.08066123799064918,38,71.90603338891468,65.85354596493646,75.31242835554913
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(2, 15)",0.06906174387483492,30,54.060593220015235,50.35668040023543,57.46991829660807
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(2, 15)",0.05685630073356834,30,53.738165516144235,50.834856527964696,56.14926134018289
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(2, 3)",0.02231265349829218,6,41.74599492476751,40.67655522791061,45.08357919767493
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(2, 9)",0.01864866273550746,18,42.67718449044221,41.918518250027184,43.63947499680086
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(2, 8)",0.03613860792550485,16,99.31973961211119,95.31045826890812,104.2310496408277
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(1, 15)",0.018949311862243516,15,43.67978678203098,42.85208488022197,44.553304634084576
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(2, 9)",0.025158471611233375,18,131.37699490834996,127.68523663877536,134.2164198831133
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(1, 17)",0.022686477856931397,17,50.46179599330417,49.31699557588109,52.6878470433339
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(1, 14)",0.04708968998066512,14,63.259397119557306,59.94985482337154,67.12325285725666
org.jenetics.internal.util.IndexSorterPerf.heapSort160,"(2, 19)",0.013489582845662167,38,10981.304449008461,10874.025184541902,11113.820896012174
org.jenetics.internal.util.IndexSorterPerf.heapSort250,"(2, 15)",0.006998146522063029,30,20135.1871879025,20063.69013179042,20328.52803452909
org.jenetics.internal.util.IndexSorterPerf.heapSort320,"(2, 15)",0.01473712118999749,30,26364.057604724105,25767.365956788533,26521.81531125828
org.jenetics.internal.util.IndexSorterPerf.heapSort80,"(2, 3)",0.012698247637433204,6,5194.140671255505,4926.829874213837,5310.077939681464
org.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(2, 9)",0.0209378615085646,18,16235.692110422271,15371.021571564419,16555.9831426816
org.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(2, 8)",0.024781141593875563,16,39569.07248768289,38053.52800426732,40173.03457106274
org.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(1, 15)",0.016017272898384543,15,62371.74025974026,60210.46012898559,63282.13903743315
org.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(2, 9)",0.05076577521480754,18,4694.6561762272795,4437.5259295804135,4971.083702200052
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(1, 17)",0.006681648668739739,17,38.65526960086546,38.34106431417188,38.91355053153386
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(1, 14)",0.005697839519880387,14,38.67041704001302,38.46022831356727,39.39738359197109
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(2, 19)",0.011796898659069504,38,37.971343342680996,37.180566807939144,38.24
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(2, 15)",0.016272643287355785,30,37.185584615535646,36.01454582703782,37.69485663612178
org.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(2, 15)",0.006672263118616271,30,51.47122746781176,51.23788651340311,52.04661282150627
org.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(2, 3)",0.015551374114558923,6,39.91624431121979,39.19202948470653,40.83315518738727
org.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(2, 9)",0.007507262133059422,18,38.10428278591107,37.76990592256926,38.506854572593625
org.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(2, 8)",0.0076905396899647795,16,50.19292738068018,49.82125215393452,50.86501361450669
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(1, 15)",0.013277874541951945,15,38.984387417642985,38.645706784721504,39.80192322645862
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(2, 9)",0.006534763827292713,18,37.415028922640374,37.20350548487893,37.833781476374455
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(1, 17)",0.007160489390529481,17,36.16100103296084,35.74813318931104,36.84064437347361
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(1, 14)",0.017682004595526515,14,36.05566723490622,35.79889169428762,37.725477086261975
org.jenetics.util.SeqPerf.arrayList_contains,"(2, 19)",0.0005829292845287364,38,658.8658536585366,658.7081686429513,659.589709762533
org.jenetics.util.SeqPerf.arrayList_copy,"(2, 15)",0.6684720855569292,30,0.0304866876800517,0.0119915353867857,0.0986121256391526
org.jenetics.util.SeqPerf.arrayList_forEachLoop,"(2, 15)",0.00257423971148964,30,1.0072462887180618,1.0052672576875996,1.022970104061532
org.jenetics.util.SeqPerf.arrayList_forLoop,"(2, 3)",0.0017665529603564274,6,1.0044752214160075,1.0022627490712597,1.00641480130997
org.jenetics.util.SeqPerf.arrayList_get,"(2, 9)",0.0015749656068870304,18,1.0038687390334808,1.0023717732688655,1.0061201156769115
org.jenetics.util.SeqPerf.arrayList_set,"(2, 8)",0.2513046617367954,16,0.0060688830163931,0.0043941175629961995,0.0094304561925113
org.jenetics.util.SeqPerf.array_copy,"(1, 15)",0.8517710559903666,15,0.0593677971682581,0.0098769430051813,0.1615849945191019
org.jenetics.util.SeqPerf.array_forLoop,"(2, 9)",0.40234451407693345,18,0.0034151280978667996,0.00258415321361775,0.0066913909796853
org.jenetics.util.SeqPerf.array_get,"(1, 17)",0.3433189917379332,17,0.0039768306388864,0.0024511924330247,0.0054111619606827
org.jenetics.util.SeqPerf.array_set,"(1, 14)",0.49532637719971945,14,0.00910843933341585,0.0046099580571585495,0.0187481613491915
org.jenetics.util.SeqPerf.mseq_contains,"(2, 19)",0.0023277918379166164,38,716.7820788530466,715.4617036506801,717.9305018472904
