Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(1, 15)",0.04964780814470548,15,43.35815215343457,41.95242041815784,43.94598390525357
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(2, 9)",0.061613050405258885,18,44.90775707573183,43.222624254297585,47.159001827100795
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(1, 17)",0.11290254515230941,17,69.0079609260826,61.88714875161883,72.7151849581034
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(1, 14)",0.039490974199540785,14,43.90638510189729,42.61683754483184,45.12224863532312
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(2, 19)",0.15003242942642644,38,66.9501389974325,59.7254113345521,69.83262346034304
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(2, 15)",0.11245796699513022,30,49.458566895595474,47.685668697418045,53.08006969797544
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(2, 15)",0.17695492434867272,30,59.86627380745843,53.69011564756246,67.22415184068618
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(2, 3)",0.05648094582378288,6,41.987919754280554,38.374105778049525,44.76166614469151
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(2, 9)",0.044384113092771384,18,42.42140331232005,41.4172389131907,43.75395213923133
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(2, 8)",0.038550388167809584,16,101.17489800543085,97.1621062466631,103.63545816733068
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(1, 15)",0.029351208808510217,15,44.09077791977573,43.4417436396046,44.82461827177344
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(2, 9)",0.025058180432318077,18,131.079694116817,127.04280252744884,133.62897689454172
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(1, 17)",0.04556069710321704,17,49.46082065372353,48.35750161619176,52.10654902303369
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(1, 14)",0.09160006576083843,14,62.48830603941669,60.22501120718611,66.44457980946089
org.jenetics.internal.util.IndexSorterPerf.heapSort160,"(2, 19)",0.021633543195028488,38,10739.982644443433,10635.124668890512,10925.187205034084
org.jenetics.internal.util.IndexSorterPerf.heapSort250,"(2, 15)",0.011098487979800455,30,20133.201317593237,20005.547658159383,20246.52966341109
