Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
io.jenetics.PhenotypeEvaluationPerf.baselineEvaluated,45,0.03342601285799577,0.025627724740230593,0.024551969446621063
io.jenetics.PhenotypeEvaluationPerf.baselineHalfEvaluated,42,-0.0033406761032762056,0.00016667994839900536,-0.023922705581250422
io.jenetics.PhenotypeEvaluationPerf.baselineUnevaluated,43,-0.0017928024387193434,0.012245001644514994,-0.01702447506185109
io.jenetics.PhenotypeEvaluationPerf.evaluated,46,0.005169463838268666,0.007968853963939758,0.0009583795764603535
io.jenetics.PhenotypeEvaluationPerf.halfEvaluated,22,0.002200054606527698,0.0012624870211452475,0.00019350949305207215
io.jenetics.PhenotypeEvaluationPerf.unevaluated,30,0.004753066860917369,0.0052250526222114456,0.0
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,30,0.04120866460522474,0.0173324014880741,0.027226326447478365
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,54,0.01367310486953301,0.052076138487902573,0.004401105220622178
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,42,0.028387763074520195,0.043294798488962685,-0.1072147165804666
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,44,-0.010682882668532458,0.00583955823198082,-0.006379380233739376
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,45,-0.035516519435566815,-0.008351349839060695,-0.09752846449598022
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,42,0.0343077373894825,0.0027978342258324217,-0.09884234622943021
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,43,0.035871014840301925,0.145677839386937,-0.24734643201242362
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,46,0.00030225745269096756,0.03419825501323203,-0.02639929528093014
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,22,-0.002708198265613874,0.00891108041613766,-0.004808619344985115
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,30,0.00039440622033116155,0.0,-0.0014558218916659073
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,30,-0.0016684624203800783,0.0,-0.009621466308287014
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,54,0.009745750749241161,0.010943445225980309,-0.012067527367503085
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,42,0.012231814876547372,0.010866551152235381,-0.0037246551709724522
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,44,0.04535127107476767,0.048221628522472165,-0.008745756205873924
io.jenetics.internal.util.IndexSorterPerf.heapSort160,45,-0.0012249178589788983,0.012799185851374519,0.001298303552501504
io.jenetics.internal.util.IndexSorterPerf.heapSort250,42,0.001638869933452984,0.0063615682583223546,-0.014511859912309157
io.jenetics.internal.util.IndexSorterPerf.heapSort320,43,-0.0022963558164082157,-0.0009813281545257074,-0.004079742082241242
io.jenetics.internal.util.IndexSorterPerf.heapSort80,46,-0.00473158473690799,0.0036383271882554085,-0.02409882181134158
io.jenetics.internal.util.IndexSorterPerf.insertionSort160,22,0.007341236343937911,0.011645134352170093,0.0032069340224624415
io.jenetics.internal.util.IndexSorterPerf.insertionSort250,30,0.007135063076639338,0.014678381376428747,-0.009198123752794796
io.jenetics.internal.util.IndexSorterPerf.insertionSort320,30,-0.01006429162362165,0.0016270679246583014,-0.02100362263586621
io.jenetics.internal.util.IndexSorterPerf.insertionSort80,54,0.008279063317921826,0.028914087690749688,-0.07986413733584168
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,42,0.004684495894560918,0.01859242464685199,-0.006797324680812748
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,44,0.0014611036726675122,0.007895596387451635,-0.022663695138121248
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,45,-0.03815344492568818,-0.03135831205934502,-0.034976074430535554
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,42,-0.001882470991187634,0.0,-0.016729157688125953
io.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,43,0.00037438761954123033,0.013272749380614464,-0.0013609519838541362
io.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,46,-0.014062398687255118,-0.013341177222800695,-0.02384063526813853
io.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,22,-0.007956433082512235,-0.051012378498120604,-0.004020086023586701
io.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,30,0.0005004309654431289,0.001665657424903044,-0.00037562392822560354
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,30,0.01152933250955378,0.010115492031879088,-0.0006549343730186929
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,54,-0.006064695593462427,-0.021344058823704996,-0.00533705857265113
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,42,0.005023479289767498,0.001241458692690614,-0.009847183151908957
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,44,-0.005721092213394945,-0.002628024817470975,-0.0022441310878789297
io.jenetics.util.SeqPerf.arrayList_contains,45,-0.0002908571587255184,0.0035541893278295293,-0.0001978882875825137
io.jenetics.util.SeqPerf.arrayList_copy,42,0.5332718575117946,0.8865244022949292,-0.28098971899025893
io.jenetics.util.SeqPerf.arrayList_forEachLoop,43,3.1686974326180556e-05,0.005523673076794297,-0.0011349313666390996
io.jenetics.util.SeqPerf.arrayList_forLoop,46,-0.00021591862447055166,0.005747866124721681,-0.0016814146302864396
io.jenetics.util.SeqPerf.arrayList_get,22,0.0,0.0002828470309826756,0.00015782330509815892
io.jenetics.util.SeqPerf.arrayList_set,30,0.04159055643628112,0.15538575186104397,-0.06417075238098793
io.jenetics.util.SeqPerf.array_copy,30,0.267199859598477,0.4217688422556269,-0.049680042912039146
io.jenetics.util.SeqPerf.array_forLoop,54,0.29323217914436006,0.3672742213834869,-0.6330603374454508
io.jenetics.util.SeqPerf.array_get,42,0.021166297420780487,0.007636466806212867,-0.24724384770012947
io.jenetics.util.SeqPerf.array_set,44,0.0015649329758851494,0.48821940111948664,-0.5594451168420028
io.jenetics.util.SeqPerf.mseq_contains,45,8.196197660360858e-05,0.0055928577424678525,0.00013655332407296896
io.jenetics.util.SeqPerf.mseq_copy,42,-0.14442994627118322,-0.0035937476876287777,-0.5251676949194531
io.jenetics.util.SeqPerf.mseq_forEachLoop,43,0.00018016560119689162,0.0001078131640791061,-0.00042757065416118236
io.jenetics.util.SeqPerf.mseq_forLoop,46,-8.93917384422291e-05,-0.00019571646388906588,-0.000259429689364971
io.jenetics.util.SeqPerf.mseq_get,22,-9.130665454933353e-05,2.6983170555428154e-05,-3.164247490010997e-05
io.jenetics.util.SeqPerf.mseq_set,30,0.14000908234077972,0.26443346081496466,0.016666889404153812
io.jenetics.util.ThreadIDPerf.getThread,30,0.0037819606834368765,0.014334862260588666,0.003003563807413146
io.jenetics.util.ThreadIDPerf.getThreadId,54,0.010991576386923156,-0.0022486355960465647,-0.0038315159176310065
