Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.PhenotypeEvaluationPerf.baselineEvaluated,"(1, 15)",0.08506799693161106,15,48304.02795031056,45506.22088463292,49332.57882860787
io.jenetics.PhenotypeEvaluationPerf.baselineHalfEvaluated,"(2, 9)",0.05729871380279846,18,48961.63776441275,46108.102509385746,50265.70366689854
io.jenetics.PhenotypeEvaluationPerf.baselineUnevaluated,"(1, 17)",0.11103320052348213,17,49211.2331120656,48264.37933036578,50864.296086560826
io.jenetics.PhenotypeEvaluationPerf.evaluated,"(1, 14)",0.0257959343151924,14,10912.343143560574,10828.840857813886,11155.261400795827
io.jenetics.PhenotypeEvaluationPerf.halfEvaluated,"(2, 19)",0.023267429461914055,38,10361.686559199994,10274.52040222724,10477.9033557047
io.jenetics.PhenotypeEvaluationPerf.unevaluated,"(2, 15)",0.032616813762609644,30,10792.425386944771,10570.168987929434,10894.104556354916
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(2, 15)",0.0384290942172725,30,42.64910031322692,42.04333603090788,43.416450867019165
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(2, 3)",0.047295610492856646,6,42.933105349926436,41.21517886267261,43.63222804815006
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(2, 9)",0.21220623300102237,18,66.11522024793484,50.37391705142443,67.86757227446883
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(2, 8)",0.04126334833028007,16,44.94301101318824,43.99846470698371,45.90768469248855
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(1, 15)",0.16435529177777625,15,71.0319747547715,66.87441974961317,74.13174775074975
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(2, 9)",0.20663421999765966,18,58.63359582059974,44.692581437584636,67.339807220506
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(1, 17)",0.247754421956394,17,67.3938346085933,38.17460597506469,68.75926819311982
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(1, 14)",0.057044923218843135,14,42.5264197460975,40.8895774036213,44.313861810381525
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(2, 19)",0.029158765396014627,38,42.44582010726262,41.55215440871565,43.05835181079083
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(2, 15)",0.03552589709937542,30,99.49588496743492,97.2752805280528,102.60772649082568
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(2, 15)",0.04460161909687289,30,45.813237383782365,44.676922529700505,46.91678396246535
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(2, 3)",0.02963890662024522,6,130.50046780274937,126.48618439988488,132.36954430379745
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(2, 9)",0.05757227562676859,18,50.545990567966875,49.38502032412252,52.00700175267105
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(2, 8)",0.06617407990120985,16,64.26797783848639,59.279474319346036,66.51389510517964
io.jenetics.internal.util.IndexSorterPerf.heapSort160,"(1, 15)",0.027849911132318824,15,10895.953324334916,10796.430556754423,11066.203308856057
io.jenetics.internal.util.IndexSorterPerf.heapSort250,"(2, 9)",0.021333882583332953,18,20316.977580292078,19875.5832190602,20574.383265282373
io.jenetics.internal.util.IndexSorterPerf.heapSort320,"(1, 17)",0.016492566558546588,17,26520.73491482248,26107.002194586687,26666.0536790993
io.jenetics.internal.util.IndexSorterPerf.heapSort80,"(1, 14)",0.027638931614783025,14,5633.827847768752,5521.759442901846,5759.8747040557355
io.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(2, 19)",0.044367448821333026,38,16673.21283442221,16416.150113047093,17142.335865791192
