Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.util.SeqPerf.mseq_contains,"(3, 20)",0.006137846863541774,60,659.0836480345754,646.9160821198335,672.3548447706708
io.jenetics.util.SeqPerf.mseq_copy,"(3, 20)",0.5193294689866031,60,0.039537774704704785,0.026686997669575937,0.05403323516759514
io.jenetics.util.SeqPerf.mseq_forEachLoop,"(3, 20)",0.0023789040864102304,60,1.0106163113841429,1.0071305110938802,1.015167079357707
io.jenetics.util.SeqPerf.mseq_forLoop,"(3, 20)",0.0014431283024654367,60,1.004890742030665,1.0042461955745274,1.005583540558231
io.jenetics.util.SeqPerf.mseq_get,"(3, 20)",0.001430190133467397,60,1.0044057612164639,1.0037319951400372,1.0051202768402503
io.jenetics.util.SeqPerf.mseq_set,"(3, 20)",0.4568967364705991,60,0.015753015810491173,0.00839378233417134,0.02862069564026674
io.jenetics.util.ThreadIDPerf.getThread,"(3, 20)",0.023436725232611633,60,34.76483418416599,34.40088720801188,35.204074016147146
io.jenetics.util.ThreadIDPerf.getThreadId,"(3, 20)",0.019687154508940787,60,37.466919635358366,36.87650651751644,38.43832727810563
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(3, 20)",0.008133157055453819,60,36.53356569627062,36.20643107952986,36.886867626993755
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(3, 20)",0.006527390561489092,60,36.02013513030369,35.856304423001774,36.20876933811734
io.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(3, 20)",0.007224884415518251,60,51.773495120671406,51.50956425337805,52.1203755677108
io.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(3, 20)",0.00916178218610752,60,39.84310188161282,39.5436867411083,40.17160956109041
io.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(3, 20)",0.015461540976000478,60,38.32806226586679,37.88183627172477,39.06457836784898
io.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(3, 20)",0.004322239145474711,60,50.56333671396621,50.18695373362979,51.23219052092116
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(3, 20)",0.00820127326932662,60,38.42699769855536,38.18930771190046,38.77574152774369
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(3, 20)",0.01775446853786496,60,38.71148772725316,38.164236767669124,39.37517765429228
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(3, 20)",0.014717172109590395,60,37.05286735460344,36.731970927804305,37.428058513997776
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(3, 20)",0.01854315950040739,60,36.02934251892212,35.67610113166389,36.38736457234161
io.jenetics.PhenotypeEvaluationPerf.baselineEvaluated,"(3, 20)",0.03245911020796536,60,47925.76271742829,47041.029107786984,49017.08002440387
io.jenetics.PhenotypeEvaluationPerf.baselineHalfEvaluated,"(3, 20)",0.023079505245692484,60,48905.38854561878,47862.272555189666,50276.13900401971
io.jenetics.PhenotypeEvaluationPerf.baselineUnevaluated,"(3, 20)",0.021447949682819847,60,49656.272751498036,48692.82982492538,50859.50007518455
io.jenetics.PhenotypeEvaluationPerf.evaluated,"(3, 20)",0.012823513707610956,60,10802.553436382499,10708.493630916795,10886.778672054625
io.jenetics.PhenotypeEvaluationPerf.halfEvaluated,"(3, 20)",0.01502683302330165,60,10336.824064907072,10239.816823000223,10426.124488619877
io.jenetics.PhenotypeEvaluationPerf.unevaluated,"(3, 20)",0.018525686423490815,60,10713.79190875359,10572.281349134062,10834.398163671054
