Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
io.jenetics.PhenotypeEvaluationPerf.baselineEvaluated,45,0.010239371792270583,0.024950930127181,0.031798818167643746
io.jenetics.PhenotypeEvaluationPerf.baselineHalfEvaluated,42,-0.009974796009883428,0.003903956213663338,-0.019778826157910545
io.jenetics.PhenotypeEvaluationPerf.baselineUnevaluated,43,0.013720136213113295,0.019484569700938134,0.033067605842384294
io.jenetics.PhenotypeEvaluationPerf.evaluated,46,0.0016857646962894553,0.004120334226110374,0.000557240555207382
io.jenetics.PhenotypeEvaluationPerf.halfEvaluated,22,-0.0005373884842983715,-0.0017198968837211816,-0.002152301452605611
io.jenetics.PhenotypeEvaluationPerf.unevaluated,30,0.0015728998650455309,0.003857142959074326,-0.0013291275566976728
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,30,-0.007743887602612244,-0.014548155785518426,-0.0092114940741702
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,54,0.0038261145607978507,0.055168488460036455,-0.006228331061536231
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,42,0.0031907209307526253,0.05846468186609859,-0.14366112746812587
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,44,0.0037014660842329744,0.006917695080782726,-0.006564195868112588
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,45,0.027632798473772528,0.00048566030196591615,-0.03817858188680252
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,42,0.00017647636534999506,0.0276947817582017,-0.005764822148961159
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,43,0.10116110484304745,0.12081684450086236,0.18997279826141816
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,46,0.009373277528732602,0.06125347282085447,0.024515518189726977
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,22,-0.0050523854244667165,-0.0007285634743992253,-0.013143274272596553
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,30,-0.002616367534209221,0.002083242169777667,-0.009980425676990737
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,30,-0.01472086680170609,0.0014363635148735977,-0.013654316685424496
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,54,0.03088011502347555,0.07758280999233172,0.007465021018282133
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,42,0.003969629657805451,0.005253673371687012,-0.010566893748243513
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,44,0.029941702463819907,0.03630368488359333,0.0
io.jenetics.internal.util.IndexSorterPerf.heapSort160,45,0.02326025150627821,0.01938938765603112,0.027721948411676498
io.jenetics.internal.util.IndexSorterPerf.heapSort250,42,-0.0051399909984713365,0.007080987984188041,-0.009953406788702658
io.jenetics.internal.util.IndexSorterPerf.heapSort320,43,-0.0017461041968238544,0.0014603734386217115,-0.002481752183662844
