Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.PhenotypeEvaluationPerf.baselineEvaluated,"(1, 15)",0.09723487041521445,15,51404.26458893964,49716.30950258926,54683.93028387244
io.jenetics.PhenotypeEvaluationPerf.baselineHalfEvaluated,"(2, 9)",0.056032958716973925,18,47124.845758984506,45805.10045437619,48449.11479828371
io.jenetics.PhenotypeEvaluationPerf.baselineUnevaluated,"(1, 17)",0.07569185040583541,17,51251.90965076054,49897.15488974119,53865.37456566942
io.jenetics.PhenotypeEvaluationPerf.evaluated,"(1, 14)",0.021522190098958564,14,10867.993403742203,10756.068471791732,10982.4808254536
io.jenetics.PhenotypeEvaluationPerf.halfEvaluated,"(2, 19)",0.01869263111387058,38,10345.175728459286,10249.531308214182,10437.718018228672
io.jenetics.PhenotypeEvaluationPerf.unevaluated,"(2, 15)",0.025315587674876572,30,10700.009202294603,10541.51517892233,10814.239465078
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(2, 15)",0.022295513324081157,30,41.67087857789669,41.19784348377712,42.12702751970453
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(2, 3)",0.05834500767888664,6,42.68471786056174,41.685981678539896,44.132873916598214
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(2, 9)",0.2057544614906885,18,63.579631682930376,56.565949503884625,69.84371383977725
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(2, 8)",0.04223588044387037,16,44.52964754167862,43.62443592245536,45.47652513299152
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(1, 15)",0.10145356888575167,15,68.51645049553233,64.66300984767236,71.47683153791178
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(2, 9)",0.06916514613498674,18,52.047960271332016,50.318678076734145,53.75730505919405
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(1, 17)",0.19040603654583252,17,67.53611907472667,59.99682351287433,73.02320586889489
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(1, 14)",0.058827495571463786,14,42.73407588289426,41.5344464485956,44.021470595185704
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(2, 19)",0.027433002094092315,38,42.31347868623653,41.7702368009461,42.94780935908957
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(2, 15)",0.03209674633147539,30,99.4881768901304,97.92034360090372,101.10553572396627
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(2, 15)",0.03628753531666214,30,44.85993019100654,43.9829323621957,45.65138771052659
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(2, 3)",0.06870859987346721,6,133.9728225452118,129.702359910582,138.9394141051817
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(2, 9)",0.047088037938276796,18,50.385505042523384,49.22285386852278,51.60021830585686
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(2, 8)",0.092382689750957,16,66.364832404254,63.849910333881795,69.97102103590053
io.jenetics.internal.util.IndexSorterPerf.heapSort160,"(1, 15)",0.027411331151408667,15,11072.669597652308,10915.91221184096,11222.499925587099
io.jenetics.internal.util.IndexSorterPerf.heapSort250,"(2, 9)",0.018092357274475484,18,20203.577615582195,20021.989289261004,20380.43000684272
io.jenetics.internal.util.IndexSorterPerf.heapSort320,"(1, 17)",0.01625837697712993,17,26457.6214808067,26259.671471884263,26685.56110398562
io.jenetics.internal.util.IndexSorterPerf.heapSort80,"(1, 14)",0.028245243698041454,14,5745.01053808075,5660.318705254826,5822.974161662833
io.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(2, 19)",0.03457677380791437,38,16492.631231050385,16204.5477077623,16779.883947897164
io.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(2, 15)",0.045791861696862314,30,38307.55621556569,37450.678390287416,39227.907089450535
io.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(2, 15)",0.02705868637870982,30,62534.87755535109,61664.222591904385,63357.70025797096
io.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(2, 3)",0.09619322753467567,6,4376.509187958826,4124.980006132169,4551.612376445876
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(2, 9)",0.02012740629412875,18,39.22653891281953,38.85033452359274,39.62310732807771
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(2, 8)",0.018184147340589967,16,38.94842579130645,38.61836882153666,39.33187837768213
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(1, 15)",0.036139404082371596,15,38.001108415355624,37.33814796515595,38.71129311102318
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(2, 9)",0.02168696091662216,18,36.25060142675404,35.845661098877535,36.63471730399404
io.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(1, 17)",0.012452574744275342,17,51.759726390489284,51.46129165560074,52.12445379732559
io.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(1, 14)",0.024737900643087722,14,39.968429619007274,39.49740189366311,40.487285424609254
io.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(2, 19)",0.01570448812669297,38,38.754245250326605,38.47854448965687,39.071115008174885
io.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(2, 15)",0.013944458521944848,30,50.71938518903382,50.41383312095839,51.108953256948865
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(2, 15)",0.013648614395961146,30,38.54284871643746,38.31335901138788,38.83880111247971
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(2, 3)",0.18767509925498296,6,41.60993650465634,37.77003690385278,45.42332979060117
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(2, 9)",0.05987668341976946,18,38.17440948299478,37.09251708133571,39.396647470585094
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(2, 8)",0.1792008754951165,16,37.297763279273106,35.33954286152409,42.004260667931284
io.jenetics.util.SeqPerf.arrayList_contains,"(1, 15)",0.0037524690979660836,15,660.1426029401501,659.0081439046045,661.5191773800458
io.jenetics.util.SeqPerf.arrayList_copy,"(2, 9)",1.2632622193606493,18,0.04106917884047262,0.019478631812921754,0.07215084358185843
io.jenetics.util.SeqPerf.arrayList_forEachLoop,"(1, 17)",0.004442068522890841,17,1.0063195736950663,1.0045740680178217,1.008972540426324
io.jenetics.util.SeqPerf.arrayList_forLoop,"(1, 14)",0.002943927148543553,14,1.0046436206335823,1.0032702549354493,1.0063950177261363
io.jenetics.util.SeqPerf.arrayList_get,"(2, 19)",0.002199642475590639,38,1.0037453030837744,1.002858377911954,1.0050314589790366
io.jenetics.util.SeqPerf.arrayList_set,"(2, 15)",2.1255094114580015,30,0.020957642393215885,0.007588287656596223,0.05211394393814801
io.jenetics.util.SeqPerf.array_copy,"(2, 15)",1.2260562804003954,30,0.0504388767954983,0.02288019607905714,0.08469907687555367
io.jenetics.util.SeqPerf.array_forLoop,"(2, 3)",0.89424786289841,6,0.00466413827384315,0.0029171074074985496,0.007118319410669333
io.jenetics.util.SeqPerf.array_get,"(2, 9)",0.6767721249156777,18,0.0035542137239589888,0.002508592085708382,0.004867496991874549
io.jenetics.util.SeqPerf.array_set,"(2, 8)",0.9898423776216198,16,0.009252646118713712,0.005515168391110509,0.014507961914086855
io.jenetics.util.SeqPerf.mseq_contains,"(1, 15)",0.004450910613436197,15,712.5357759074468,711.1317270872792,714.2980797263134
io.jenetics.util.SeqPerf.mseq_copy,"(2, 9)",1.049912648191088,18,0.05594976800679577,0.028734017466032744,0.08634931512755997
io.jenetics.util.SeqPerf.mseq_forEachLoop,"(1, 17)",0.004187274705659803,17,1.0071531351304308,1.0052337452238986,1.0092701040960548
io.jenetics.util.SeqPerf.mseq_forLoop,"(1, 14)",0.006058993717800994,14,1.0052888781126326,1.0030625433520537,1.0093094814735872
io.jenetics.util.SeqPerf.mseq_get,"(2, 19)",0.002471730168368157,38,1.0045738091356389,1.0034947396834066,1.0060412711804567
io.jenetics.util.SeqPerf.mseq_set,"(2, 15)",1.6300607602512014,30,0.027184875015061595,0.009691210321002388,0.054718223742765026
io.jenetics.util.ThreadIDPerf.getThread,"(2, 15)",0.07779320361556859,30,35.506731094377265,34.60899548688875,37.346710894703065
