Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,45,0.01932687278919159,0.0355489112624266,0.0034970268851083914
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,42,0.0027260327982959204,0.009043135473762148,-0.0058693702723932335
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,43,0.03622890768044746,0.06592805168076703,-0.013588765176749203
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,46,-0.0006927493330902452,0.003958825255703332,-0.010914703175149108
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,22,-0.01724773623443962,0.009196176225288661,-0.04011510897289312
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,30,0.01924682123199938,0.041523640871507624,-0.006838741821241851
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,30,0.01416227457626948,0.03609435625568613,-0.019676504178273033
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,54,0.01750781647120377,0.0509993976692029,-0.01976276928145927
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,42,0.0040971357139951165,0.009725124514861423,-0.0010334918000519564
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,44,-0.004257142040341175,0.005573343278192223,-0.01136130583271871
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,45,0.007009681925764192,0.014246018582127169,-0.0013275222910204148
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,42,0.0025970833434247323,0.012138234455886035,-0.008505663758433086
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,43,-0.01224802433576403,-0.011064155776432341,-0.01464707758674095
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,46,-0.029039149243836174,-0.01862064021330713,-0.04087332996695605
io.jenetics.internal.util.IndexSorterPerf.heapSort160,22,0.0075874753142325885,0.008670831752530054,0.006129360750711572
io.jenetics.internal.util.IndexSorterPerf.heapSort250,30,0.0009688049745864114,0.0022226223131715937,-0.0006479346705180475
io.jenetics.internal.util.IndexSorterPerf.heapSort320,30,0.003648398880650355,0.0050366534396268205,0.0023362716810654124
io.jenetics.internal.util.IndexSorterPerf.heapSort80,54,-0.011838220575177714,0.0037899925371563505,-0.03166770138715419
io.jenetics.internal.util.IndexSorterPerf.insertionSort160,42,0.012362815823657905,0.019161986555417957,0.005099419943598746
io.jenetics.internal.util.IndexSorterPerf.insertionSort250,44,-0.0036750123844910393,0.0024441379657706413,-0.0071220327218812305
io.jenetics.internal.util.IndexSorterPerf.insertionSort320,45,-0.01226978787301258,0.0015349683638943021,-0.02598289431672307
io.jenetics.internal.util.IndexSorterPerf.insertionSort80,42,-0.005317247028508263,0.019973414316516034,-0.027177231278138425
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,43,0.014795833228545715,0.01599844397544371,0.013553559937239024
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,46,0.0028175835590873283,0.01519783924353207,-0.010063321901995468
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,22,0.0056846000782235576,0.011165408089770406,0.002435251165091116
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,30,-0.002297012089221746,-0.001282113585346294,-0.002528676211394487
io.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,30,0.0010583700092055405,0.0020833514115951605,0.00024854249761088043
io.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,54,0.004918713576300583,0.05030206275006058,-0.021989128998275213
io.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,42,-0.003685647871826714,0.0018382410357377888,-0.008061840588803344
io.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,44,-0.012909542757142442,-0.002366364114110022,-0.017164691112793076
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,45,0.005518296356537785,0.005683605720297361,0.005788090629888979
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,42,-0.006412533335173628,0.003722476518375556,-0.012939551021482634
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,43,0.0032354476131777974,-0.001861653162194917,0.003031682914940432
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,46,0.02658990693741568,0.0503969591221421,0.019568098231274752
io.jenetics.util.SeqPerf.arrayList_contains,22,-0.0002591000375624558,-6.826133583881163e-06,-0.00044243998156340747
io.jenetics.util.SeqPerf.arrayList_copy,30,-0.06499375445645733,-0.08224440583953797,-0.13239231352554306
io.jenetics.util.SeqPerf.arrayList_forEachLoop,30,0.00019465951107904667,0.002037140033496823,-0.0008603479586942675
io.jenetics.util.SeqPerf.arrayList_forLoop,54,0.0003867989928011351,0.0008072527544667011,-0.00029958614417169093
io.jenetics.util.SeqPerf.arrayList_get,42,0.0006429964072902774,0.001530402054002432,-0.0002118560327917117
io.jenetics.util.SeqPerf.arrayList_set,44,0.10507999893366722,0.500617961926296,-0.21844234658017886
io.jenetics.util.SeqPerf.array_copy,45,-0.010272007751470167,0.13154606189910925,-0.23271988009828595
io.jenetics.util.SeqPerf.array_forLoop,42,0.08489216841676646,0.2835276818857341,-0.1288471913488389
io.jenetics.util.SeqPerf.array_get,43,-0.15632507800955833,0.2053812803462096,-0.38370184300289206
io.jenetics.util.SeqPerf.array_set,46,-0.42261349008149984,-0.3952126441978268,-0.5455923419342091
io.jenetics.util.SeqPerf.mseq_contains,22,-0.00133978806526088,-0.0014977030566376234,-0.0012025255198151537
io.jenetics.util.SeqPerf.mseq_copy,30,-0.17132843338227022,-0.12689313919332498,-0.2873418094538231
io.jenetics.util.SeqPerf.mseq_forEachLoop,30,-0.0018289944761485696,-0.00488559876088297,-0.0012599843748735092
io.jenetics.util.SeqPerf.mseq_forLoop,54,-0.0006351581789105625,-0.00018219236589427624,-0.0017063347898631325
io.jenetics.util.SeqPerf.mseq_get,42,-0.0003725530117955927,0.000757029699577605,-0.0010043249849016657
io.jenetics.util.SeqPerf.mseq_set,44,0.10751412969689327,0.1304504676518467,-0.1189433828386595
io.jenetics.util.ThreadIDPerf.getThread,45,-0.009019133396955531,-0.002293372546424658,-0.013632693236307522
io.jenetics.util.ThreadIDPerf.getThreadId,42,-0.020648897805224393,-0.02822909600633418,-0.021431106120763523
