Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.01740318385772187,60,2987602739.2,2961855313.4512186,3013126363.377994
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.043654569565383314,60,909351321.6,892675418.2898194,932255023.3447148
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.06750503282953435,60,1324596155.7333333,1289341573.1059878,1379255879.213378
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.1109981752114321,60,371125998.93333334,353715869.93781686,395475049.0256124
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.04284339035242299,60,2100053060.2666667,2058651824.934672,2148716629.556511
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.07984130932372054,60,831057646.9333333,797487346.4196154,865441422.3090253
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.016529288057366084,60,13463436219.733334,13381485405.480967,13604307869.022776
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08791820602106695,60,136102980.26666668,131835542.66963744,143506006.97182688
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.026065699355148877,60,2921123020.8,2885677861.8728323,2962507089.9249167
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.06502935704019465,60,807779259.7333333,792111874.5924486,844690427.5890363
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(3, 20)",0.05733512365757511,60,314.38384751768376,305.9028419662218,324.83554808678775
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(3, 20)",0.016300722238389298,60,349.9827287430636,346.88270532842023,352.907102026265
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(3, 20)",0.02161593322076121,60,34030097.112047605,33697990.94455281,34435311.767998636
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(3, 20)",0.020300256599082515,60,25321723.583154313,25110029.082367923,25629107.635782782
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(3, 20)",0.012305675445406155,60,9666804.630936494,9610638.948618272,9728430.874887872
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(3, 20)",0.021193595704198088,60,13208666.721059285,13056754.937298274,13340336.94551045
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(3, 20)",0.0064677388053073215,60,652372.8728970296,649870.3344883057,653986.8653867742
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(3, 20)",0.00587539007104268,60,5910385.478913139,5894493.685993879,5930577.692553509
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.04679174777866016,60,2961318434.133333,2912249595.309987,3050678542.918023
