Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,45,-0.020819341840161182,-0.013192612137203167,-0.018329938900203666
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,42,-0.03489361702127659,0.011666666666666667,-0.03411131059245961
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,43,-0.0009165902841429881,-0.02982456140350877,0.0018832391713747645
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,46,0.06219839142091153,0.014750762970498474,0.06310966318679398
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,22,0.003912663780702677,0.007793042465493696,-0.010856444199406411
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,30,0.0044326263011401695,0.004390479558821073,-0.016263550626714862
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,30,0.0,0.004741823549873011,3.7933550034237704e-05
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,54,-0.002104658189442662,0.0034033487598054118,-0.014490240398775733
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,42,0.01030909347954442,0.07768568329225736,-0.03697584992740067
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,44,-0.002344915836523858,0.08317409878395188,-0.010776447766599319
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,45,-0.002995683013472615,-0.022263955386716126,-0.02037023274303806
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,42,0.04161401644419212,0.07631888547414652,0.023320615796070934
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,43,0.021148222539286946,0.029627895309683763,0.007689931881285807
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,46,0.026188418539612762,0.04282112852961441,0.0361392552521223
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,22,0.003715223978551576,0.003564231272622062,-0.012267252774491606
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,30,-0.01896785190349862,-0.024345172333505555,-0.0219479966695626
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,30,-0.000458160727042821,0.0015328789083637526,-0.4760113506116619
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,54,0.033636244940122045,0.06467573007295072,0.2872742160641179
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,42,-0.005672884091740249,0.020243580651580793,-0.0024523910415733727
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,44,-0.0024582226731105056,0.0296681791049832,-0.0044083925841050045
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,45,-0.005032575444409802,-0.00546038676514081,-0.004438035373296213
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,42,0.055559073973631135,0.06277820175977042,-0.02193636334667915
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,43,-0.026487105077360972,0.012624798711755343,-0.016556447679632498
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,46,-0.005612971327572688,0.010741985323179286,-0.009585483922674987
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,22,0.0073980446838266215,0.057774245971341655,-0.09281342592844391
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,30,0.03935509595951104,0.03647251659390772,0.00737297120952611
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,30,0.0006419755838393084,0.0007618476982292783,0.00042475262951515656
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,54,0.0017965164630056219,0.021883792968130342,-0.012879368598429463
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,42,0.008771929824561403,0.07286821705426356,-0.006472491909385114
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,44,0.14766355140186915,0.14307330471538598,0.1160337552742616
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,45,-0.014168530947054437,-0.021994134897360705,-0.018811136192626036
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,42,-0.002136752136752137,0.018900343642611683,-0.003687315634218289
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,43,-0.048154093097913325,0.08801213960546282,-0.015100671140939598
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,46,0.12436363636363636,0.10588235294117647,0.003927729772191673
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,22,0.010770059235325794,0.018610520722633368,0.0011325028312570782
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,30,0.0037160906726124115,0.07462031909644443,-0.013038324772817068
