Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.0752057330343467,60,778567680.0,755499008.0,813694976.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.12548634076227325,60,297009152.0,281018368.0,310116352.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.03206140599689644,60,1143996416.0,1137704960.0,1161822208.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.05460683905295322,60,969932800.0,961019904.0,1002438656.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(3, 20)",0.09323493742276781,60,41.70707839165224,41.330507272962336,43.26430035401528
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(3, 20)",0.278887966664342,60,45407.95819282905,43440.270448171126,50386.52946820536
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(3, 20)",0.21284687804088137,60,44146.10128001653,42879.09935061008,50034.71646280089
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(3, 20)",0.0923799146949084,60,424.8051029459259,419.4635231316726,429.8102365764227
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(3, 20)",0.09081547370518783,60,413.87160099166545,404.3812226444135,420.49710723132284
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(3, 20)",0.03138443267805213,60,39.059424940291365,38.621650796098535,40.2490177952392
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithValueGetter,"(3, 20)",0.18029547003478585,60,127838890.66666666,115911338.66666669,146016829.43999958
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testNoSort,"(3, 20)",0.15010250283532248,60,133693440.0,118532778.66666669,143043242.6666667
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testQuickSort,"(3, 20)",0.13927704007522082,60,190185472.0,182539605.3333333,213559978.66666663
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testTimSort,"(3, 20)",0.13313111798366578,60,165587626.6666667,161655466.66666666,171617375.5733333
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.jdkIntern,"(3, 20)",0.019100505090047327,60,243.08239694812687,241.01514487004914,246.3191195672449
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.xdIntern,"(3, 20)",0.020508229400686483,60,116.83532673143324,115.91658783366924,117.47055731625966
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternDefault,"(3, 20)",0.01055140048585696,60,149777846.85714287,149422080.0,151444333.71428573
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternSparse,"(3, 20)",0.009981832064873193,60,139165696.0,138969088.0,139509760.0
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternDefault,"(3, 20)",0.019407133320590433,60,121227036.44444445,120964892.44444443,121926087.1111111
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternSparse,"(3, 20)",0.020920309108994454,60,122144540.44444445,121314417.77777778,122712519.1111111
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.01656675673800678,60,1637875712.0,1626341376.0,1644167168.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.18298785961321432,60,1006108672.0,930086912.0,1199570944.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.026215001580035653,60,2327838720.0,2306867200.0,2344615936.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.01959176399310693,60,838336512.0,833617920.0,848297984.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testBoundedSort,"(3, 20)",0.2444239170836467,60,143523840.0,128013653.33333331,155975680.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSort,"(3, 20)",0.13792754285001407,60,274857984.0,258080768.0,287047680.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSortWithValueGetter,"(3, 20)",0.16210813296900012,60,127838890.66666669,117790037.33333331,138280960.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testKeapSort,"(3, 20)",0.13932434210756126,60,174544213.3333333,168908117.33333334,197656576.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSort,"(3, 20)",0.14075916852213935,60,126200490.66666666,118467242.66666669,136882858.66666666
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithArrayList,"(3, 20)",0.29060684483406324,60,139307690.6666667,128428714.66666666,156110028.79999948
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(3, 20)",0.06585134121645664,60,9478453.132075474,9128018.706388613,9751025.087378642
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(3, 20)",0.017150260786432784,60,12550348.8,12520243.2,12802747.94936709
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(3, 20)",0.005354963868594367,60,638899.1064968173,637065.7080943276,641998.2252729121
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(3, 20)",0.01485010619568117,60,5934643.50295858,5929940.979881657,6038836.433734939
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.04298269233339737,60,2604662784.0,2562719744.0,2642411520.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.12208315813122318,60,284950528.0,259259105.28,288358400.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.02282050894210566,60,2860515328.0,2837436170.24,2871001088.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.04615993031784979,60,720896000.0,712241315.84,746323968.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.09002817423703156,60,1281359872.0,1270874112.0,1367343104.0
