Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 15)",0.062398115018762405,15,801042158.9333333,780140544.0,830125113.3439996
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(2, 9)",0.2032388606880988,18,309854208.0,282620359.1111111,347370072.7466666
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(1, 17)",0.02619080705505051,17,1154050409.4117646,1142454392.4705882,1172924777.4117646
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 14)",0.08256784728610835,14,976973238.8571428,947088822.8571428,1028353462.8571428
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(2, 19)",0.21261032493153578,38,49.17142859802941,44.12080272500014,54.65948548751116
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(2, 15)",0.22167666254469906,30,44989.55432098524,40227.683855062285,50369.63772121017
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(2, 15)",0.23169741486417592,30,43643.52899008983,38722.5846385179,49044.04048801172
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(2, 3)",0.1719975754819697,6,442.89158083980834,420.05393918859835,496.5627498332137
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(2, 9)",0.07539242193284222,18,436.3455393597991,422.11390055911795,454.7827716518478
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(2, 8)",0.04658436699891983,16,40.9823515846862,40.056389721076336,41.92873114131124
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(1, 15)",0.06713549768833714,15,48.43685838632773,47.15800634564208,50.35264930611828
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(2, 9)",0.16161405964795278,18,49.60714556396013,46.73170982724661,54.99929946091607
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(1, 17)",0.056190618085023625,17,47.57098103976522,46.38869149542659,49.06640408537347
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 14)",0.05820735373538541,14,45.46713456184043,44.364907688757235,46.96672572224081
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(2, 19)",0.06077773241765363,38,53.22981603573318,51.77916334824752,54.93239144886629
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(2, 15)",0.1933237122424653,30,51.950323523610315,47.96323738730405,58.23175011667857
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(2, 15)",0.5835182684825391,30,147.28784964565227,121.44781245552232,205.38038587987685
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(2, 3)",0.05950438519629638,6,52.98662756114765,51.16319653890195,54.472417762311785
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(2, 9)",0.5890608630064098,18,48.859394024893916,38.79704350335755,67.72733485244655
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(2, 8)",0.2241599386595575,16,58.27277351849859,53.66272979151151,66.70192530129103
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(1, 15)",0.5289679678229547,15,86.30409329076436,72.52942795810861,119.3494271386773
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(2, 9)",0.15478268298399514,18,91.97537894499179,86.4838007285683,100.2866508874032
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(1, 17)",0.06614505739819776,17,314.9018420642675,307.3859797141085,328.85779619744085
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(1, 14)",0.02354826176675546,14,617.459797914019,612.1599981025081,626.9116586253516
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(2, 19)",0.45098270051645317,38,139.31741670946164,122.26694979675058,185.02895849442137
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(2, 15)",0.024970252637214172,30,121.17311694855458,119.83088142989234,122.84318646628111
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(2, 15)",0.24448758324286385,30,351.3225152159251,319.4337789528696,404.8260280754876
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(2, 3)",0.01672432263702527,6,310.4739536753808,307.8428036336522,313.21336331037145
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(2, 9)",0.03790832859485651,18,34161892.99593317,33567309.52425681,34849725.66098044
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(2, 8)",0.017202597071673525,16,23834297.823515113,23652437.015813954,24067087.886894092
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(1, 15)",0.014215019173337758,15,9467291.545431757,9420273.59574537,9552681.495885108
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(2, 9)",0.039860292271447294,18,13803041.084212773,13538583.260046279,14075935.4582925
