Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,45,-0.027847886487518427,0.0007567718675215796,-0.039729613506602264
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,42,-0.007945389435989282,0.12299882291733236,-0.04863982649990722
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,43,0.08341609026344199,0.1073973563908406,0.10326293244941488
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,46,-0.04346359456466741,0.24549956980138854,-0.05283159354438203
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,22,0.05169463043868891,0.08168856282754947,0.013708226751556222
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,30,0.013223169226544937,0.07281558694258992,-0.028182347576669407
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,30,-0.06010652188982857,-0.029516905434513564,-0.091600546316637
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,54,-0.023724440319255267,0.9826675199673225,-0.0876212856902877
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,42,-0.018511808756565617,0.0892356236778196,-0.021769135132574228
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,44,-0.09193591695894562,-0.7979260017735661,0.06564026072546644
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,45,0.0022246554801526658,0.08773462944028708,-0.01002724814237853
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,42,0.0249492076234237,0.3912040235158114,-0.022461039223879018
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,43,-0.018275851977508053,0.03238522046998173,-0.02623346745226039
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,46,-0.012391018743373321,0.00886825213355921,-0.02183688531015998
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,22,0.0017637815260513915,0.01054606335078247,-0.004638120425974262
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,30,-0.017965639235763855,0.10980329769361323,-0.02844705952638876
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,30,0.10882654502516675,0.5725344905503197,-0.011750221018477334
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,54,-0.041668020706831406,-0.04263760804468603,-0.26182192933100124
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,42,0.10330876234298414,2.1278433594210946,-0.08815352395394374
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,44,0.001989206757729906,0.21645626345747143,-0.04309083637687375
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,45,-0.07675207916010858,0.36014726784466017,-0.08275017330400967
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,42,0.032688250043110025,0.11600902914911575,-0.00024663676044381025
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,43,-0.2472349575978739,-0.24621893891248628,-0.17450852407271542
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,46,0.4779567830622898,0.3437780896905177,0.6448378404675508
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,22,0.04128059045181181,1.0645836199365717,-0.02685442969447248
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,30,-0.006216898819001707,0.0022368191190357827,-0.008244977178617064
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,30,0.03723876954945964,0.06935418192620138,0.013835076199242034
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,54,-0.023712464737505778,-0.019269525920838197,-0.01743331740104667
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,42,0.00027902453361154,0.017815540746119803,-0.00941057274788835
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,44,-0.002775936984171957,0.0027840916006416886,-0.003614863246481373
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,45,-0.015595536078048488,0.0019237141830837606,-0.011969777538240172
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,42,0.00869626476915914,0.021839525290495786,-0.006634353116468502
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,43,-0.0007669083927320924,0.0001896359407682688,-0.0008076141479507086
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,46,-0.00804840347369258,0.032614290307679004,-0.008901721670562196
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,22,0.005736385566762898,0.011711413480820871,0.0010182490333659432
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,30,-0.010345405512471012,0.045556899771345055,-0.03173024492682699
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,30,0.00935066164808376,0.01470490752145389,0.006525260418136751
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,54,0.05552787979192982,0.09718050947204934,-0.1033092361402267
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,42,0.04887868590161651,0.13179159895197168,0.0047396367941087625
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,44,0.06521838346036236,0.13221481270634297,-0.02001164129082868
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,45,0.021458027538966973,0.03008003790428361,0.02373684310383102
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,42,0.030831529147622445,0.06497739392153108,-0.004949494774360646
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,43,-0.000930588873692825,0.008762508429219428,-0.006662504916156419
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,46,-0.018325532727195507,0.6474157388667613,-0.020319383118058122
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,22,-0.0027120799664569527,0.003427859298323682,-0.005062736814297624
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,30,0.005311174883282639,0.04483108103797164,-0.003008535716799455
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,30,-0.001923570146191331,-0.0015332307995631056,-0.0020427844270199036
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,54,-0.04673675444988039,-0.015142569464867953,-0.046826197401965336
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.randomWrite,42,-0.007274610167477415,-0.000765074735233767,-0.016455479502040807
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.successiveWrite,44,-0.0023060844276821734,0.0011648761876747818,-0.00875312681886801
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.randomRead,45,0.0031155307071828696,0.02637902514657707,8.721922972245615e-05
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.successiveRead,42,0.018538997680498652,0.1431296516822562,-0.043323984946669766
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.randomWrite,43,-0.007114724939651963,-0.0013389147961758872,-0.01333955662910101
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.successiveWrite,46,0.02715726565182384,0.06128027272878862,0.016465035057500643
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testBoundedSort,22,0.025809822757577216,0.03273544353082575,0.015643059560679025
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSort,30,0.04743240550056467,0.07131806358615818,0.011830824203244881
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSortWithValueGetter,30,-0.0026979563119437725,0.05301182367562441,-0.029213253555703617
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testKeapSort,54,0.07483720663776787,0.42264451209870807,-0.1755036965710664
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSort,42,-0.006674519042010317,0.04094948458944983,-0.04847403162000112
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithArrayList,44,0.009429288731034267,0.10024010924653465,-0.07237486695929876
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithValueGetter,45,-0.06521850907518142,-0.06571224101819863,-0.11898654078069662
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testNoSort,42,0.13024223190432643,0.40049211006046953,0.02910541855341448
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testQuickSort,43,0.08042525815241261,0.09678697799283967,0.03812413822533426
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testTimSort,46,-0.013569856049305157,0.32605424165193214,-0.05700125244053988
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.jdkIntern,22,-0.005201953333546526,-0.0020251734383230015,-0.007752705919373739
