Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 15)",0.026525198938992044,15,790626304.0,770703360.0,826277888.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(2, 9)",0.09732988802756244,18,304349184.0,268959744.0,319029248.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(1, 17)",0.005494505494505495,17,1145044992.0,1138753536.0,1153433600.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 14)",0.007717750826901874,14,951058432.0,943718400.0,971505664.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(2, 19)",0.045766187153165806,38,40.76802871584243,39.545410943972094,64.16213626745244
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(2, 15)",0.16170940299600078,30,43629.49469943026,38598.07567071773,50680.31232208215
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(2, 15)",0.19801430084352187,30,41353.60896425515,33317.326897291496,51591.64781956443
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(2, 3)",0.013038527747426702,6,424.7659354500543,417.520582944443,532.4611570247934
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(2, 9)",0.015571757840503188,18,424.3102195298577,419.055130920411,442.6312923720453
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(2, 8)",0.018167469340278193,16,41.07667689101601,39.85683980285493,41.74993733812349
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(1, 15)",0.011962822216605728,15,47.56293817718292,46.981102676787856,48.25766947055913
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(2, 9)",0.02710661942102281,18,47.406829499021015,46.05615431949708,48.738362869381106
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(1, 17)",0.00974472723375213,17,46.47640649839092,46.2584287099903,48.1388025036413
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 14)",0.0197744571952558,14,44.9975172821414,44.32576682645028,46.555636655331845
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(2, 19)",0.04363173681511732,38,52.56263552481279,50.83841735800893,54.60802798276672
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(2, 15)",0.053992277472928084,30,48.94152529518105,46.56435326174066,50.43702495125154
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(2, 15)",0.06982318766775082,30,120.94201549939778,115.14456103532704,134.81388246946187
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(2, 3)",0.01981167974069761,6,53.50436227372145,50.16854613798957,54.69124712763736
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(2, 9)",0.03542515229021705,18,39.51894175154844,38.31512033916533,41.13769047205362
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(2, 8)",0.03185722604441664,16,55.19531348484418,53.26775937701908,59.05271402301982
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(1, 15)",0.016254743214926152,15,72.58608974661445,72.23036343807857,81.31101105198526
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(2, 9)",0.06501073008323456,18,90.81260440582255,84.15568649591711,94.17152614679341
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(1, 17)",0.015923844889534907,17,309.7661560448394,304.64566894423626,318.6901595744681
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(1, 14)",0.005279272734506006,14,615.7371508450358,610.7637443011996,619.0202551428328
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(2, 19)",0.019496859158826374,38,122.19903897491812,121.06274760383388,125.4426807011587
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(2, 15)",0.008647507824552975,30,119.7669213580026,118.81554957457892,121.90347663247027
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(2, 15)",0.08116117347797547,30,343.33486496715483,307.53462122856524,353.4049943580435
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(2, 3)",0.008045482839690686,6,310.31597536522463,307.3991403265023,314.5658034293795
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(2, 9)",0.022525760218997652,18,33799645.86666667,33257282.615053765,35163453.79310346
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(2, 8)",0.004608270286664638,16,23749560.558139533,23684405.58139535,23906596.57142857
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(1, 15)",0.0017171369780410435,15,9433783.547169812,9419881.271028038,9462687.396226415
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(2, 9)",0.03241355151767622,18,13811842.764319248,13342255.786666667,14235619.154929576
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(1, 17)",0.00033695540375473614,17,637037.6443594646,636822.9910828025,637438.0408163265
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(1, 14)",0.0006974069512304483,14,5805286.843930636,5800764.670520231,5809011.869337277
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(2, 19)",0.03867403314917127,38,2657091584.0,2583691264.0,2734696693.7599983
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(2, 15)",0.12715930902111325,30,273154048.0,242745344.0,315621376.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(2, 15)",0.019732205778717406,30,2975858688.0,2921332736.0,3024093184.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(2, 3)",0.025557011795543906,6,800063488.0,741867520.0,829423616.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(2, 9)",0.0439297124600639,18,1312817152.0,1260388352.0,1595932672.0
