Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 15)",0.09919872649695032,15,814883362.1333333,797670829.750834,876669551.6406013
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(2, 9)",0.13672401759921787,18,310713457.7777778,291004335.08167803,332169684.1359413
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(1, 17)",0.07162772665167212,17,1220665825.8823528,1205038654.207203,1291518476.769042
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 14)",0.0854858524487249,14,1047827017.1428572,1030071940.4429418,1116623385.730139
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(2, 19)",0.03424448533377754,38,40.320395855255725,39.72602288329639,41.10503514476983
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(2, 15)",0.2376913789872482,30,47745.77014744079,42865.85385733853,54230.43584824468
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(2, 15)",0.2682020939555377,30,44254.9791694139,39187.23621484239,50806.5356770686
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(2, 3)",0.7054863291212256,6,435.1854847307439,405.90971392910376,712.9271240386365
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(2, 9)",0.4789532941880699,18,446.04482932136693,417.4447488666743,631.3998358337309
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(2, 8)",0.05540178300410321,16,39.52474024604947,38.77233610692386,40.951247502068995
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(1, 15)",0.2139610964013376,15,50.77557232186174,48.90790441329843,59.69690588800958
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(2, 9)",0.1136626144081539,18,46.58917268228591,45.43671649727408,50.722330993543636
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(1, 17)",0.08830121581754663,17,48.47460620759129,47.256176563779064,51.56524250891952
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 14)",0.05855045615415727,14,48.04046142528949,46.92124493887099,49.634805384367326
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(2, 19)",0.0749505175267394,38,52.12967807009222,50.62540040509076,54.50766154674245
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(2, 15)",0.321919385378296,30,51.808178289779086,47.978318855038424,63.455173588046996
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(2, 15)",2.314897887792654,30,170.55286847870846,116.04227924586758,504.76002407993167
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(2, 3)",0.5498762901615284,6,53.18248575194628,48.123221190779155,77.36700915762772
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(2, 9)",3.239841804319894,18,42.91061469355348,35.016097569613834,172.58749742573002
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(2, 8)",1.719847168124293,16,64.24581826310038,51.25129703033858,160.5148500305686
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(1, 15)",1.2307491265393842,15,81.74339198352035,70.72552715469352,169.55659565268883
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(2, 9)",0.06173333159250853,18,82.26051804929834,79.42182830808565,84.5102996621105
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(1, 17)",0.027099690682507355,17,598.2802783863303,595.0702717047837,610.6531488941218
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(1, 14)",0.03314951233345476,14,622.2695937887257,614.7138283545795,634.6760762817853
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(2, 19)",2.1948856933278367,38,134.41691947043284,117.02515598740533,417.2868390777499
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(2, 15)",0.03217692056887313,30,121.88370406588247,120.66451016401115,124.656832860212
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(2, 15)",0.17891309264411553,30,310.8418473210055,299.24098515625093,356.17983034184317
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(2, 3)",0.05412908044532481,6,311.78100429649663,300.54030678535923,318.7090472541412
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(2, 9)",0.05007680363638435,18,34094371.483009346,33448505.67892095,35136836.71462583
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(2, 8)",0.05484679815342422,16,24613422.776663985,24086791.15623579,25384141.086070396
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(1, 15)",0.023652466545606723,15,9348802.95563957,9296457.20788339,9516992.480089745
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(2, 9)",0.010218335514956557,18,13132483.426619073,13097268.545273947,13220883.263586609
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(1, 17)",0.0011873000550996753,17,637502.0424221648,637235.2995872514,637976.5361694484
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(1, 14)",0.023298230746861024,14,5872532.627931098,5822981.461893411,5959232.907445909
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(2, 19)",0.05416892203675906,38,2637334204.631579,2570485941.9467344,2711370893.262597
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(2, 15)",0.24159374856409194,30,315848567.46666664,290933967.02816844,365559724.64558697
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(2, 15)",0.01898020767613518,30,2899102924.8,2868602751.3405843,2924364855.148768
