Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 15)",0.04129488291669812,15,760217600.0,735051776.0,783286272.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(2, 9)",0.12190681633794911,18,293339136.0,285736960.0,338690048.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(1, 17)",0.060343920297056555,17,1124073472.0,1119879168.0,1132462080.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 14)",0.008154870756881207,14,1041760256.0,1039663104.0,1052770304.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(2, 19)",0.9505355554692388,38,40.82516121858302,40.03226691574052,41.25548129526895
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(2, 15)",0.1948930225983256,30,44217.23487432806,43264.23660906199,51143.890051282055
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(2, 15)",0.2570204733111084,30,45468.378734155995,43564.78837671885,51256.20795232713
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(2, 3)",0.08435876750519374,6,427.70760109465544,424.0008952106232,528.5825136066311
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(2, 9)",0.11614399792047896,18,421.99427587575383,407.2634440147627,464.8429695639789
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(2, 8)",0.01702054864740875,16,38.932165443582676,38.757280431432974,39.761158905906406
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(1, 15)",0.07822532109938005,15,46.11755182625864,45.70849818009179,47.35244479495268
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(2, 9)",0.026137637497428257,18,47.43917067675349,46.89089670647246,47.96061327028286
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(1, 17)",0.04140677672075837,17,48.02624979776735,47.04879042111265,48.63355193911424
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 14)",0.062344736936631444,14,44.778274945825785,44.474401929944094,46.58351522801139
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(2, 19)",1.27209679663513,38,52.242733503488,50.13473276146486,53.79401304090101
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(2, 15)",0.14914989786596083,30,47.467774137777866,45.61493255502091,49.11913301107126
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(2, 15)",0.22552622398825642,30,120.35317936958896,111.62716833618371,135.67643584822088
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(2, 3)",0.02873370875169747,6,53.90079253913184,50.72014128470511,55.88558201058201
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(2, 9)",0.03611492209325437,18,37.89402409108369,37.41145122312284,38.82744342020199
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(2, 8)",0.07664922868239357,16,50.35481441295616,46.954695627723886,54.99274523160763
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(1, 15)",0.06271804896016754,15,73.41843439083912,70.93558253340862,78.20744081172492
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(2, 9)",0.0864260628155814,18,90.97437970704587,83.77742575049106,95.84379724856964
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(1, 17)",0.013310283717207312,17,620.9138733506982,618.5951555612617,623.3256902400275
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(1, 14)",0.009048081242345619,14,613.2116997498581,609.902716543409,620.9431926372569
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(2, 19)",0.03236864698866501,38,120.71499873478442,119.88542220404824,121.99076681020205
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(2, 15)",0.03337115052084838,30,122.84831564602581,121.88281085630128,126.56153781793842
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(2, 15)",0.028877056616430634,30,303.402053011449,295.0058803621288,308.04877093756795
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(2, 3)",0.023441446243376844,6,313.50988612490704,308.12457693309034,329.9449026144938
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(2, 9)",0.026758593655663597,18,33637655.67311828,33359198.141935483,34986054.62068965
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(2, 8)",0.030597829783828225,16,24138703.23809524,23474842.790697675,24755824.390243903
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(1, 15)",0.01175532742165184,15,8185806.048780488,8160697.235772357,8223022.163934426
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(2, 9)",0.037835180164077185,18,13052088.924894514,12462560.395061728,13437173.759999998
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(1, 17)",0.001614366662331027,17,637229.5219885277,637038.9496494583,637423.6734693878
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(1, 14)",0.008804480603986762,14,5946810.319526628,5940823.857988166,6011373.825108225
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(2, 19)",0.05992183460118568,38,2694840320.0,2621440000.0,2743074816.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(2, 15)",0.12470864193200534,30,317718528.0,282591232.0,328466432.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(2, 15)",0.01754211765461944,30,2915041280.0,2881486848.0,2936012800.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(2, 3)",0.040265038098177455,6,796393472.0,747634688.0,834666496.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(2, 9)",0.3094799898117736,18,1270874112.0,1260383109.12,1539309568.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(2, 8)",0.14461618080374045,16,403963904.0,338690048.0,475004928.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,"(1, 15)",0.032979152390324645,15,1910505472.0,1887436800.0,1977614336.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,"(2, 9)",0.26391248805201356,18,859308032.0,753401856.0,1231028224.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,"(1, 17)",0.014950269413726888,17,13321109504.0,13136560128.0,13472104448.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,"(1, 14)",0.013026244076505293,14,135266304.0,134348800.0,136511488.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,"(2, 19)",0.03739240621095299,38,2858418176.0,2822766592.0,2948595712.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,"(2, 15)",0.06575832809487751,30,792985600.0,776470528.0,820248576.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,"(2, 15)",0.005032432600449436,30,8774483968.0,8740929536.0,8791261184.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,"(2, 3)",0.036886501158003945,6,200409088.0,181141504.0,201326592.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.randomWrite,"(2, 9)",0.022217494225602683,18,10829692928.0,10712252416.0,11022630912.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.successiveWrite,"(2, 8)",0.01023206671399164,16,12255756288.0,12163481600.0,12348030976.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.randomRead,"(1, 15)",0.020044650204933633,15,1627389952.0,1614807040.0,1646264320.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.successiveRead,"(2, 9)",0.18215682096761696,18,922222592.0,896008192.0,1171259392.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.randomWrite,"(1, 17)",0.010242522450179837,17,2348810240.0,2327838720.0,2361393152.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.successiveWrite,"(1, 14)",0.011799985336900356,14,873988096.0,870318080.0,886571008.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testBoundedSort,"(2, 19)",0.20817689185401503,38,155560618.6666667,150470656.0,164495360.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSort,"(2, 15)",0.15362166563469778,30,244383744.0,226099200.0,283246592.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSortWithValueGetter,"(2, 15)",0.2046141741787823,30,121274368.0,104289621.33333331,140443648.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testKeapSort,"(2, 3)",0.15501488713522568,6,190840832.0,152043520.0,238288896.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSort,"(2, 9)",0.13739026845827015,18,141732522.6666667,123382442.66666669,163250176.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithArrayList,"(2, 8)",0.14216031124449524,16,150208512.0,130241877.33333331,180879360.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithValueGetter,"(1, 15)",0.07061250078465539,15,139591680.0,136750039.04,157941760.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testNoSort,"(2, 9)",0.15517415353443884,18,138652330.6666667,125042688.0,157483008.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testQuickSort,"(1, 17)",0.11936022857910727,17,180617216.0,175112192.0,212598784.0
