Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternDefault,"(3, 20)",0.008420948517189556,60,150372039.9238095,149945113.45371428,150785228.8
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternSparse,"(3, 20)",0.0033664312734806197,60,136625083.73333332,136471617.536,136777457.664
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternDefault,"(3, 20)",0.02147353362907338,60,122557386.9037037,121714452.25244446,123444436.23348148
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternSparse,"(3, 20)",0.018537516333977072,60,121159771.02222222,120426116.13392593,121926562.8539259
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testMergeSortWithValueGetter,"(3, 20)",0.18128641598759188,60,137622323.2,129823801.344,146351470.81955552
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testNoSort,"(3, 20)",0.14826901684760369,60,122612394.66666669,116891655.28177775,128986506.12622221
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testQuickSort,"(3, 20)",0.17839576153322045,60,222393503.28888887,210419904.96711108,236328754.28977773
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testTimSort,"(3, 20)",0.1558918664543475,60,176284558.22222224,167777242.68088886,186075855.07555553
jetbrains.exodus.benchmark.util.JMHStringBindingTest.byteArray2byteArray,"(3, 20)",0.05335797703775819,60,939456.3259011942,923934.2258460969,957379.5607085906
jetbrains.exodus.benchmark.util.JMHStringBindingTest.byteArray2string,"(3, 20)",0.41655905777216595,60,703389.6798471767,630971.9150571005,816917.3070008241
jetbrains.exodus.benchmark.util.JMHStringBindingTest.stringBinding2byteArray,"(3, 20)",0.03878585852452325,60,1166758.0160675996,1152329.1638735153,1182322.0242487313
jetbrains.exodus.benchmark.util.JMHStringBindingTest.stringBinding2string,"(3, 20)",0.034383660676883934,60,841839.3068821167,832451.9376418212,851787.0014352682
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.jdkIntern,"(3, 20)",0.017083920070430705,60,244.54584691855237,243.33360287764862,246.14134173025053
jetbrains.exodus.benchmark.util.JMHStringInternerBenchmark.xdIntern,"(3, 20)",0.01553803989788562,60,118.10777052245498,117.542938765789,118.75249117525985
