Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,45,0.002403774315532384,0.03905154172112893,-0.017247893892608925
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,42,-0.0024482897587286747,0.031535689236551645,-0.013540846731641031
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,43,-0.013109825053436042,0.0019588886404421405,-0.007977093682333182
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,46,0.028969452596570862,0.08733549814884875,-0.0018421789603509995
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,22,-0.019390293689706205,-0.05507214930333407,-0.011465066848938488
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,30,-0.012820958539786388,0.012234453175381195,-0.01885252069795064
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,30,-0.0031410979674795355,0.004968490616850421,-0.00969751455473888
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,54,-0.0032798392614644713,0.1755501925577533,-0.031022073635801783
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,42,-0.012454352752787548,0.017821404586185825,-0.02018238299469298
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,44,0.005646439614956988,0.030447950421856114,-0.004026179578952732
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,45,0.026864679561512266,0.07069113585567889,0.02233718942655321
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,42,-0.015422064520194328,-0.00795093057156397,-0.020180791451120044
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,43,0.003809502501641328,0.03827200894836942,-0.006341195424083731
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,46,0.0011313524393914655,0.15177009850389714,-0.006933430928668032
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,22,-0.005599958947103928,-0.0028295283365937585,-0.008109702569535896
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,30,-0.054987027862601186,0.01614727071784734,-0.04925390873968257
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,30,-0.007682759058808344,0.002024870928519895,-0.010194340788261386
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,54,0.0007343304045614098,0.10464106960448641,-0.03109841334756493
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,42,0.0014866156587609537,0.06636208000730263,-0.010725357320080925
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,44,-0.011638754182559963,0.014106412624866834,-0.03191218828452109
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,45,-0.006177199744580199,0.5565346264875901,-0.03221564650143955
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,42,-0.004677886900335648,0.021373092217531035,-0.02627059248517729
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,43,0.00536519301519469,0.03915178937718623,-0.005336803472872976
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,46,-0.005924224966381655,0.06297346030571237,-0.014626036714242032
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,22,0.007118840325721218,0.013237309235289742,0.004730933023483819
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,30,-0.02103181589373405,-0.020659663177434676,-0.01959710426745075
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,30,-0.002200901455297189,0.009071982610408057,-0.007804660021096138
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,54,-0.008056867818291593,0.05713753216035807,-0.029823293370418683
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,42,-0.01055939448736401,-0.0030148062032879933,-0.023628694496948748
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,44,0.025682828947446886,0.0727593013423248,0.01597931009666477
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,45,0.007610566061296056,0.024245117472608938,0.0035730425129847135
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,42,0.007617784393828147,0.03823456272837381,-0.0032028793021929135
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,43,-0.01911312184211319,0.016204061809095213,-0.018989447823220672
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,46,-0.000622687503981621,0.012154646411882939,-0.005920864351507777
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,22,-0.013028706049810879,-0.021958239778223067,-0.008620272348743678
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,30,0.0026105662309977807,0.010535120692424276,-0.000782435894560772
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,30,0.006387339996411083,0.029886561480604132,0.003706664951157988
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,54,0.006135893402437471,0.4649767367226346,-0.02283865937347428
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,42,-0.007693347606920344,-0.0062022564525021145,-0.01287540680410722
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,44,-0.026055128019227266,-0.021757740609129345,-0.023191307732901522
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,45,0.0011722453263651063,0.020855816678317877,-0.005284305465844416
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,42,0.002253790108997854,0.032520993876808714,-0.007543369148575353
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,43,0.03788063796685972,0.09297604635379254,0.022813233732098894
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,46,0.06964039888252621,0.18142982613508968,0.08683968759074627
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,22,-0.04612223859015375,-0.06781046257333781,-0.03319070780611825
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,30,-0.006770377072698744,0.13591374487676575,-0.02714813456459292
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,30,0.08010783634050761,0.7506436867920395,-0.03400527001139444
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,54,-0.056622962437577445,0.05518447029367037,-0.29397261426183596
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,42,-0.12009541248800533,-0.2388401864781682,-0.07731155808641396
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,44,0.12078813587178766,0.29799080013377705,0.0799735692015811
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,45,-0.03382753412888488,-0.03544750448295922,-0.03005642230765301
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,42,-0.03250294020268187,-0.0004932690555921141,-0.06083824453678772
