Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,45,-0.00932044166212743,0.019275070916158068,-0.014542722583579588
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,42,-0.010292128421653729,-0.0007496148860733802,-0.012605277021045342
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,43,0.012947182158455287,0.022649124013746715,0.0
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,46,-0.016242937525586476,0.01900519302549472,0.001596969767285866
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,22,-0.005032318710292625,-0.0024369410788292307,-0.007193651454682803
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,30,-0.03293195767887203,0.0622896925495087,-0.02074597866662515
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,30,-0.02222684266777383,-0.013585302571545528,-0.01734944065864492
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,54,-0.0013227984530190628,0.07350811160643525,-0.03897700730544038
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,42,-0.024198533200259335,-0.0069043489955529225,-0.014844746988050387
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,44,0.0015705009889974235,0.0132324690865079,-0.0013019522380163736
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,45,0.014626719207595293,0.039934437976497275,0.009893325936524396
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,42,0.0008366024181209973,0.018104113352846847,-0.007197812194040871
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,43,-0.004912002722153674,0.0011968097208862785,-0.010175007020628029
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,46,0.0035634885901832903,0.009659458897332466,0.00589051771209128
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,22,0.032838529412874386,0.01732943355393732,0.002592637840065924
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,30,0.00616131470091023,0.00022410991644417552,0.0010953473966952732
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,30,-0.00836749279625157,-0.003760472164843049,-0.0013142997880682622
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,54,-0.009514914963116156,0.02979811302380969,-0.004615640829808493
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,42,0.014123489302914183,0.007235598222114326,0.0067609407198138335
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,44,0.006314617544791237,0.04323082997361329,0.005065980016319384
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,45,0.01363389047410757,0.013552953763228546,-0.005615008984427344
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,42,0.0041965662777286444,0.014501038227611814,-0.011886311685360751
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,43,-0.005986817307602305,0.004787027270184659,-0.036820949472458606
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,46,0.0065633606640904275,0.04350876882723674,-0.0009343830616546996
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,22,0.0026900850608579706,0.0017963876057226701,0.0004892537402560357
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,30,0.03191108842237211,0.006886329470472762,0.008415484188358817
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,30,-0.0026055397126665326,0.0016150693007653334,-0.01290719049184625
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,54,-0.0012072337477980347,0.054727230714739845,-0.0032975866482364826
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,42,-0.0037700044426881,-6.962106397186932e-05,-0.013416023452462796
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,44,-0.005781221723777349,-0.0002562741678236415,-0.017599382939737566
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,45,0.01755650689937334,0.015773217751716057,0.021288656963763107
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,42,0.001610795374005462,0.02597005732527661,-0.004450656222721282
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,43,-0.010947954157532502,0.01082541186403968,-0.007822790454572804
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,46,0.0047079559933091005,0.0034825070526080977,-0.00033557209325675276
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,22,0.001246289298133448,0.001207682145705878,-0.00020802778851513627
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,30,0.005040936670699141,0.07288081685853884,0.0036686636550405404
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,30,-0.003174873581407316,0.0016066068559960468,-0.0031775680659202805
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,54,0.010001868978559121,0.05383952721473754,0.0027914023072213544
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,42,-0.0015696963366950369,-0.013024198668074638,-0.0038042189568022926
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,44,-1.4988696342503353e-05,0.007314485307306996,-0.00555446351098917
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,45,-0.011238173765797494,-0.04123516683794671,-0.004953290389502739
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,42,0.00035632652809308165,0.06602334884798326,-0.0010949532775370676
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,43,0.04348626772224006,0.02920469673769041,0.014437277563082484
