Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(1, 15)",0.03673576304144162,15,14503.314392706592,14215.124394354,14909.451468589963
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(2, 9)",0.1042493671051282,18,8384.101288846803,7931.811432298399,8979.88351238012
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(1, 17)",0.041068395313955265,17,2860.671685996064,2793.0936711854097,2934.876535814596
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(1, 14)",0.042718611093318926,14,3236.23412251757,3158.2903166604588,3339.1973376939504
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(2, 19)",0.0366551671331667,38,8111.553651509377,8001.853374515,8241.521433788947
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(2, 15)",0.07662187595295873,30,1303.287307391034,1263.4171234479834,1356.2535911689524
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(2, 15)",0.0894760355600177,30,1443.3195970900606,1392.3980530314122,1513.0613842461064
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(2, 3)",0.016762338603463302,6,25718.74574426944,25270.211784495437,26182.236896492952
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(2, 9)",0.04828773714446348,18,5911.840057914471,5766.227292910662,6106.412598509613
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(2, 8)",0.04138813861751129,16,6302.3748422743465,6161.935002131134,6486.193607964112
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(1, 15)",0.02101268192210805,15,27809.926873673237,27495.28138726275,28268.25100437472
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(2, 9)",0.03843475415814664,18,7294.472659401096,7137.812617552866,7468.639678212715
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(1, 17)",0.021612889973258952,17,7403.937767159468,7317.061713051963,7512.568476614314
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(1, 14)",0.028911109740235544,14,109467.5575405495,107905.64204572148,112068.16795874081
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(2, 19)",0.029399708975990188,38,53736.99222093404,53106.644308884206,54411.735727938416
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(2, 15)",0.10184248091052839,30,28011.435356140253,26822.02580264174,29511.375118985423
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(2, 15)",0.026112895136910057,30,4846.563916154127,4788.745913486911,4905.992949439964
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(2, 3)",0.02280703251336105,6,1693.548986686732,1664.9216039483997,1742.8226554540508
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(2, 9)",0.025060643552107596,18,2516.0969473276527,2484.3701076878815,2558.6607178485797
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(2, 8)",0.029397750347036827,16,4729.857436360259,4665.091903350586,4831.348792613279
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(1, 15)",0.030289310698650217,15,1151.1934209451122,1130.130439606162,1175.1775000849484
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(2, 9)",0.026279546355856265,18,3115.6842296079503,3067.1734938523377,3167.257832899522
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(1, 17)",0.02603167630367725,17,1986.4840655351359,1957.3919596849166,2020.3094522226322
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(1, 14)",0.05299212807789063,14,495.39033753872934,483.05224678341705,517.2779433895096
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(2, 19)",0.04135401782691889,38,9144.683128957286,9008.037716118875,9319.901092657958
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(2, 15)",0.0217099741091035,30,8633.499297177066,8552.510622945818,8727.998803987017
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(2, 15)",0.03917690002090402,30,2304.643430150022,2268.099726788954,2352.0552944608753
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(2, 3)",0.037855488859829645,6,10160.35923562705,9854.354056000613,10599.384648340665
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(2, 9)",0.023498512896249782,18,10024.64950751914,9889.403786558178,10174.0415010352
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(2, 8)",0.06329187533900688,16,2705.101281876209,2611.091785583327,2826.9002542518297
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(1, 15)",0.0195307434428955,15,44244.50808306934,43761.317232187386,44864.912564547274
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(2, 9)",0.03281525799437859,18,15991.55838221603,15721.742485703493,16353.233607283704
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(1, 17)",0.021600604623064464,17,21644.003426427123,21393.566418789993,21970.32745624944
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(1, 14)",0.016323274070171746,14,11224.77057893221,11123.8306321328,11367.920267087504
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_Actuate,"(2, 19)",0.04264408349092987,38,129.35431524690702,127.09337406868002,131.76088972200264
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(2, 15)",0.07075217062596857,30,44.994968739038555,44.05586775171001,46.824899752939494
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_Actuate,"(2, 15)",0.01626726958176678,30,126.56175670589597,125.5668397908741,127.5392509217952
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(2, 3)",0.014413606509063842,6,44.025564059727316,43.532943466574686,44.758831057136724
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_Actuate,"(2, 9)",0.013876189882316156,18,125.86197310019627,124.87072059268746,127.0144406776788
