Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,"(1, 15)",0.00797731644825421,15,19468.252509046044,18918.214356929882,20265.720291345355
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(2, 9)",0.007999753525914387,18,14581.785432928787,14368.184582642434,14848.804990197103
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(1, 17)",0.010184392749407079,17,7922.060516184605,7837.004235892674,8054.569972775865
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(1, 14)",0.010778311759700114,14,2960.4808476955304,2874.9074856590964,3102.175036112658
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(2, 19)",0.09783240682177453,38,3008.315314471408,2891.463267168548,3127.8011706000057
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(2, 15)",0.03126039294965864,30,8025.8948997385905,7761.197622933509,8463.810363603237
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(2, 15)",0.051572876661796926,30,1347.0586136571428,1287.7983793156486,1422.8026754673972
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(2, 3)",0.029545473591642068,6,1467.2536288706604,1392.0734695963413,1569.380083857388
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(2, 9)",0.005988544055034577,18,25771.866893072587,25454.784243466067,26255.307678798785
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(2, 8)",0.014374387120079223,16,5989.579171263452,5820.364231302418,6218.137671833269
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(1, 15)",0.018278079697079987,15,6378.494483545375,6246.7722653215405,6567.544226565068
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(2, 9)",0.0373261884209141,18,28223.984702048052,27604.649490492797,28949.960277852762
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(1, 17)",0.012647582002803448,17,7306.205678227162,7187.104552288772,7447.352681823812
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(1, 14)",0.014884340416822019,14,7193.301530183319,7091.133838592912,7323.315486100423
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(2, 19)",0.003579518100134462,38,107907.54037328914,106936.80789923997,109077.08603158213
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(2, 15)",0.015337674137788679,30,51864.4767562821,51395.955509838466,52444.23532575119
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(2, 15)",0.016072128086940463,30,26730.10194925511,26362.55760816277,27161.148182459114
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,"(2, 3)",0.009787132288502929,6,4814.529650171942,4753.338790379154,4879.920388179383
