Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(3, 20)",0.034023936477239135,60,149.1936673385868,146.648110159958,153.48985674559827
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(3, 20)",0.03498125120454961,60,266.69812578972,260.34867058645,271.8863849471776
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(3, 20)",0.057187912445653084,60,62.75105973310224,60.26161930732096,64.57985290916417
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(3, 20)",0.02266178757843517,60,65.61145017607635,62.90125404530745,66.13330692720712
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.02794207907513129,60,2524.15236405197,2483.4192527395157,2550.5279100281164
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.04036492958673941,60,4892.383948544206,4807.61979495139,5125.842634428298
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.01736811176117041,60,1166.6008991928452,1163.1533587967235,1212.1438703140832
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.024469261831281876,60,3116.7725291316683,3088.2169168453656,3169.3151424576968
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.022587954137710267,60,2045.0142933359546,2025.6084861820705,2082.3902241594024
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.010066809985939935,60,476.66864294690106,473.6491301909816,479.961663746858
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(3, 20)",0.01565392183083015,60,9065.98490315453,8991.907698881845,9235.755427558706
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(3, 20)",0.00866344761250512,60,8317.413192198372,8283.059063807359,8361.207365892715
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(3, 20)",0.03382266962732849,60,2315.665399371784,2263.8097512030217,2341.093739910314
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(3, 20)",0.010083863907303859,60,9807.85035575468,9761.04476461977,9854.918301037384
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(3, 20)",0.01252182819864955,60,10255.521275867817,10152.081596164006,10321.586464942247
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(3, 20)",0.020859459530957396,60,2658.204614697869,2602.809005566171,2671.955043473682
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(3, 20)",0.04940210729789857,60,44428.73869418376,44046.15061247155,46730.50446688567
