Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(3, 20)",0.13511723104268863,60,159.76705277052653,156.9866139307789,162.46149235375626
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(3, 20)",0.12753555951572484,60,260.8122989408385,258.0385446997434,269.89117025529725
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(3, 20)",0.056444333688594625,60,62.61243614610596,60.32754991865388,62.89697409010541
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(3, 20)",0.03999662538063528,60,67.85143648281554,67.5554210860992,67.99663165519739
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(3, 20)",0.04355762928983026,60,6298.4631379072025,6243.899177195758,6430.940050878228
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(3, 20)",0.02893605781197192,60,27493.035627126865,27007.958742949235,27756.294662549622
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(3, 20)",0.03738442727753017,60,7313.722496168761,7197.693620844564,7367.504659347562
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(3, 20)",0.02462739930725616,60,7292.203312714785,7216.079171880332,7336.685373305565
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(3, 20)",0.035362177161193026,60,105319.40959355666,104602.60245000524,109459.25328659073
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.017258754911425554,60,53111.36036568356,52966.8807894318,53287.5963073464
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(3, 20)",0.044927738499687946,60,26157.229152330878,25915.73346708939,26310.484013929297
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,"(3, 20)",0.0366399514250466,60,4828.300064514787,4777.10616966149,4881.512926360909
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.02481775261127165,60,4730.236913649485,4682.313784571795,4777.344721061239
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.03608996021918395,60,1658.5226185651125,1654.0245119499311,1663.2279100633793
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.04747630681464559,60,2571.5507174632794,2550.457487975301,2634.937867175038
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.03645288179211992,60,4694.761796456012,4634.798059739596,4776.739193332689
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.06475575774514593,60,1172.9023190645487,1158.1151395992729,1206.973051641858
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.04926339081518839,60,3097.617206512854,3077.197049924357,3181.943139678616
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.04664605302171818,60,2017.486649006155,1986.1519349917492,2053.7360497667187
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.09770961661128065,60,478.9803230468864,474.84001724881415,482.2330374953023
