Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_json_zipkin2,"(1, 15)",0.0981799582825973,15,8893.220113080944,8714.640903123443,9626.699938831824
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_protobuf,"(2, 9)",1.6221040134664346,18,232.7942005906983,136.21423911334938,516.6648384312485
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_zipkin2,"(1, 17)",0.0765220319606256,17,2031.253044095797,1990.5085790142764,2146.2551153408485
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,"(1, 14)",0.055835740660939694,14,12311.202682851781,12150.218267929955,12844.051847566807
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(2, 19)",0.03987316286848038,38,15388.85742925453,15147.250534465233,15756.968727343721
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(2, 15)",0.04472107850171942,30,8816.784754805516,8653.388057545555,9044.037755727137
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_protobuf,"(2, 15)",0.6605695122305609,30,153.9503789704751,133.1436733903999,235.91026450756127
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_zipkin2,"(2, 3)",0.2013875836974585,6,2041.53577789308,1932.4331509796111,2343.605389860224
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(2, 9)",0.08089193600869529,18,3247.6459098242462,3142.0817758657504,3406.396837947595
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(2, 8)",0.04511934305976539,16,3403.5581982170575,3332.8848199789177,3488.345296447189
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(1, 15)",0.07152502129258574,15,8212.835652385062,7951.320613924965,8522.66846024112
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(2, 9)",0.06357542845511918,18,1368.7228841819467,1331.9531278754155,1413.1972703866982
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(1, 17)",0.08974313142902941,17,1463.958026462459,1422.711650456354,1554.7025194569435
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(1, 14)",0.04003244371977531,14,26589.615575227013,26210.751420509503,27231.17097989307
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(2, 19)",0.04588776865818869,38,6432.315675936911,6302.289496509816,6592.394440571659
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(2, 15)",0.04670631633951895,30,6896.578714009719,6772.5624293856135,7092.255868674728
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(2, 15)",0.042411669331739725,30,28193.690571154693,27751.63279919067,28929.65345659411
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(2, 3)",0.2096638286083449,6,7589.016144125932,7181.796570403731,8772.938750551713
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(2, 9)",0.04240240608551152,18,7648.816478221996,7531.511365468662,7862.537041402218
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(2, 8)",0.05229486395730772,16,109942.01753464408,106937.82320672028,112620.39130338456
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(1, 15)",0.04402023230040338,15,63658.16221971487,63133.49589845366,65907.2966571857
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(2, 9)",0.07608588523719172,18,27056.577427013828,26189.745704706183,28275.560846588425
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_json_zipkin2,"(1, 17)",0.08426553469174801,17,1673.0448459569834,1633.2844601530783,1769.1786894999175
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_proto3_zipkin2,"(1, 14)",0.054421998621987454,14,1366.555043485367,1346.4328623825168,1422.8991588937574
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,"(2, 19)",0.04023503308204179,38,4014.4540399313746,3953.869165249631,4120.0533720396625
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(2, 15)",0.02186014415637913,30,5363.921512520529,5321.987828714098,5440.665832383687
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(2, 15)",0.05548360344189194,30,1618.3437769584687,1597.8418705170327,1697.777692210404
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(2, 3)",0.07113372251034475,6,2634.6917845997687,2552.206902600891,2745.8241594699857
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_proto3_zipkin2,"(2, 9)",0.09846918790102288,18,1106.4112448424385,1077.1438767114942,1185.2459984854165
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(2, 8)",0.1300102152257647,16,4929.767087918893,4786.96732867633,5388.543146133032
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(1, 15)",0.050923070988185194,15,1226.729291485418,1201.258358959089,1262.0545937896195
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(2, 9)",0.04290318218465222,18,3257.4525375314083,3196.1176419286257,3334.617201586804
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(1, 17)",0.06515027467792202,17,2299.123424631973,2239.905923456639,2389.874101250178
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(1, 14)",0.1562518363707594,14,502.7675082934682,485.1838268989712,564.8905256684718
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(2, 19)",0.0189959035363506,38,10772.244152081603,10682.513062811737,10891.177573023158
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(2, 15)",0.01994558717370251,30,8914.286014080573,8844.235917185435,9021.216213648488
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(2, 15)",0.025689697245776084,30,2265.0643611908936,2239.9650397282853,2299.058660719096
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(2, 3)",0.22879612838589683,6,10551.089556499997,10088.234979614052,12433.163327528902
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(2, 9)",0.05325606599954489,18,10066.604546267929,9837.645184687546,10360.834749269397
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(2, 8)",0.04945215647905995,16,2487.5837683702744,2457.5224916985894,2584.870290732054
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(1, 15)",0.015498838156775623,15,51598.20709892283,51313.63043990031,52120.60406030955
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(2, 9)",0.061161252956129154,18,15736.59406001004,15522.456996178138,16504.580083896122
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(1, 17)",0.026929952677642602,17,22914.587346537683,22756.03968832858,23374.33890173039
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(1, 14)",0.08037851689554301,14,11284.75994015708,11105.384896705531,12005.449241408076
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(2, 19)",0.024895628503866788,38,44.840301871336024,44.474385376301,45.522829663591075
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(2, 15)",0.024098650908644947,30,44.4849142991843,44.11847834626755,45.22138047271372
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(2, 15)",0.03123496885638169,30,44.98251143091254,44.624892859208096,46.00361717024901
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(2, 3)",0.13012965830131443,6,4851.260093283986,4649.164144571932,5280.497231893627
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(2, 9)",0.04678764980644345,18,12926.741124718412,12696.19242360473,13288.813695223122
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(2, 8)",0.10534057210154534,16,1390.9056321043593,1329.5734372416978,1473.6859788231968
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(1, 15)",0.11732303443827856,15,486.74455262538163,466.5400309887051,530.3078350550787
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(2, 9)",0.20569862447026718,18,319.4671690756801,300.0546393699413,367.36674082674426
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clear,"(1, 17)",0.19460929533173837,17,302.4301780869141,288.5240723283813,348.1185010371726
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2_clone,"(1, 14)",1.4470433007822718,14,252.10695724680593,219.36530294753385,570.6184250340633
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan_clear,"(2, 19)",0.08331280958194585,38,423.2179632963796,408.74961218632507,444.3573450589954
zipkin.benchmarks.SpanBenchmarks.buildLocalSpan,"(2, 15)",0.0945343638292034,30,151.6319706868052,146.83381217736354,161.0909670873947
zipkin.benchmarks.SpanBenchmarks.buildRpcSpan,"(2, 15)",0.43627285007925914,30,304.22548564073696,275.99085225845425,413.41136933006334
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_128,"(2, 3)",0.5167110806431022,6,69.5878421934676,60.15690627548844,95.71354119411251
zipkin.benchmarks.UtilBenchmarks.lowerHexToUnsignedLong_64,"(2, 9)",0.02927940472567983,18,68.33299069413941,67.84448120149571,69.80163419661811
zipkin2.EndpointBenchmarks.parseIpv4_addr,"(2, 8)",0.6620016332145527,16,138.60181689297428,127.56386321633389,215.31728599810856
zipkin2.EndpointBenchmarks.parseIpv4_literal,"(1, 15)",0.048293113671021064,15,122.85901630347216,121.528767728227,127.3585807598396
zipkin2.EndpointBenchmarks.parseIpv6_addr,"(2, 9)",0.21503601011631168,18,137.01256944717855,128.54349731857963,158.2803814106995
zipkin2.EndpointBenchmarks.parseIpv6_literal,"(1, 17)",0.16704116490458665,17,433.25675674707315,416.31613368757024,487.4259665770893
zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,"(1, 14)",0.017338664475545353,14,93.8719598233079,93.19096736198138,94.85148865968192
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,"(2, 19)",0.04350752572431948,38,34.09849411849554,33.6731687963814,35.18775146046686
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_64,"(2, 15)",0.04562014465573693,30,33.40687016153972,33.10049541165324,34.6458265335372
zipkin2.internal.BufferBenchmarks.writeLongLe,"(2, 15)",0.04753457105596222,30,38.15031006237437,37.21670424563464,39.06437404986684
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,"(2, 3)",2.0005082399569294,6,162.41682388884846,140.50319598611114,479.0323610997105
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,"(2, 9)",1.308724068940375,18,206.24673184220805,184.07689275592622,448.91927926972164
zipkin2.internal.BufferBenchmarks.writeVarint_32,"(2, 8)",0.03888722357611453,16,36.37604211273744,35.57771594702696,37.068646199630585
zipkin2.internal.BufferBenchmarks.writeVarint_64,"(1, 15)",0.058851814767462034,15,46.552104561401876,46.07551402494992,48.86314055645751
