Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_json_zipkin2,"(1, 15)",0.03987775540956,15,8488.645776018251,8420.60419880609,8992.914529307282
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_protobuf,"(2, 9)",0.4607229715812478,18,132.3419004517977,127.06146496756301,169.74663275148308
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_zipkin2,"(1, 17)",0.04788731867380525,17,2175.612276146728,2115.677766273672,2230.365989155384
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,"(1, 14)",0.03993427642567633,14,11919.584627628981,11818.53315905297,11970.097323649388
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(2, 19)",0.0406613618917959,38,14766.630763556208,14677.404733005556,14906.09549102246
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(2, 15)",0.032277023255804733,30,8701.312105445602,8614.884843498234,8819.856182564032
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_protobuf,"(2, 15)",0.28828258395968803,30,134.43198812757538,130.55418459081426,138.59290835355898
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_zipkin2,"(2, 3)",0.0322206360573658,6,1935.9289959597827,1860.746929323132,2016.2748181033417
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(2, 9)",0.25595511806263405,18,3136.6004289082884,3047.7469118340405,3821.896282852551
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(2, 8)",0.08588729545305371,16,3222.8896035241555,2913.753924140691,3456.645359622621
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(1, 15)",0.03880637267788125,15,8066.157277811128,7949.752461233605,8446.138009200613
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(2, 9)",0.08404783553343818,18,1396.0759634412711,1312.3524269316838,1477.290511787947
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(1, 17)",0.06633319699499939,17,1458.5411549874457,1428.605723513053,1644.9078627398
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(1, 14)",0.018632013918381526,14,26158.636262418062,25957.80018308744,26546.615900249413
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(2, 19)",0.04749833969327174,38,6318.392863989366,6236.708292298602,6496.682231895528
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(2, 15)",0.0339453431602308,30,6605.022511123236,6432.205623459585,6711.879611244644
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(2, 15)",0.03822706535074821,30,27351.11744972256,27217.151461841153,27998.60877320105
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(2, 3)",0.055276772743162894,6,7438.42066826415,7318.185175415458,8478.244659678918
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(2, 9)",0.03262649618360021,18,7550.857233309445,7427.475390556137,7759.333296778645
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(2, 8)",0.0271909492410564,16,107392.41957394905,106008.36413793104,108357.2338394794
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(1, 15)",0.026777566161311852,15,66592.40112014936,66028.67940495868,67916.22550153009
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(2, 9)",0.027580086229610896,18,27862.34849667614,27580.784766138415,28945.421832650944
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_json_zipkin2,"(1, 17)",0.026373597344228766,17,1655.4244027742102,1639.281178023343,1718.8861888649649
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_proto3_zipkin2,"(1, 14)",0.0296172042918889,14,1366.2363127091671,1355.4273766131973,1412.345922673418
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,"(2, 19)",0.0889583889714086,38,4579.97590052537,4052.5754500073194,4675.432988552288
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(2, 15)",0.024209379210796345,30,5285.908260475107,5216.086375150534,5323.86094947227
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(2, 15)",0.03465191501046251,30,1613.2145627638206,1606.5143450732094,1630.6545285582872
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(2, 3)",0.011780220964952313,6,3585.405296199219,3536.3468626342565,3656.0456204896
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_proto3_zipkin2,"(2, 9)",0.043146222914065606,18,1071.0871590362335,1059.2474728940783,1078.0305524687762
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(2, 8)",0.05622467180088367,16,4815.031450908235,4571.005383676692,5012.522945072069
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(1, 15)",0.04234814988492488,15,1167.6247443762782,1140.3420021375134,1250.69623577473
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(2, 9)",0.051458712050746314,18,3351.877124902172,3237.1052019428726,3441.1082095725433
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(1, 17)",0.04133940710414555,17,2099.7348932806326,2031.975214669896,2156.6725697541087
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(1, 14)",0.05692435548966377,14,508.4673843586632,482.23765757777,546.5648338009082
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(2, 19)",0.013307686806230476,38,10411.416374258351,10360.15682373907,10469.98529720647
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(2, 15)",0.01850780267604525,30,8721.333400198566,8601.462866538777,8842.43530647986
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(2, 15)",0.04696677395088707,30,2324.0689467655866,2264.13431906189,2344.7904499540864
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(2, 3)",0.007817605267713702,6,10402.684512692576,10340.921395753136,10572.874817988934
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(2, 9)",0.035924784350714535,18,10428.530444001004,9988.96184999889,10634.490262716616
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(2, 8)",0.04612924173980738,16,2664.4441825454614,2624.104579517069,2745.7334356612946
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(1, 15)",0.02090598413029038,15,51102.9846468782,50862.5392296719,51556.96756868416
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(2, 9)",0.024341275649287755,18,15778.221149396733,15745.641107383613,15959.87918781726
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(1, 17)",0.014457512894603978,17,33075.79107212986,32598.08971596474,33137.15124508519
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(1, 14)",0.0202923493624001,14,11150.982716236093,11089.733078224923,11258.080890357107
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(2, 19)",0.027331250685841125,38,45.81600673617474,45.05509766751834,46.1350865321652
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(2, 15)",0.013103692046401827,30,45.208466203624965,44.93333918462281,45.44794389266423
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(2, 15)",0.018476157213611646,30,44.66367444872314,44.45953077969736,45.160814726436
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(2, 3)",0.03471621762990379,6,5162.47679330509,4883.442515251056,5333.710950345281
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(2, 9)",0.03325684369396218,18,12253.10221432344,12181.617587221925,12484.64742185996
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(2, 8)",0.06329235269138686,16,1282.2837122127244,1208.4187600916223,1371.0679642629227
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan,"(1, 15)",0.09087137797255859,15,434.1929454713731,429.1317614424411,443.7545869098713
zipkin.benchmarks.SpanBenchmarks.buildClientOnlySpan2,"(2, 9)",0.18519902669934366,18,305.4746028571843,299.5326999753021,365.00254960379834
