Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.internal.BufferBenchmarks.writeVarint_64,"(3, 20)",0.009794695896710294,60,48.71686892642363,48.388058401203345,49.09116136298047
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_json_zipkin2,"(3, 20)",0.01518968940735257,60,8712.176146262822,8596.155547834729,8843.78553283655
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_protobuf,"(3, 20)",0.02702640098523104,60,151.32826227007178,136.73290192152473,171.1429226373758
zipkin.benchmarks.CodecBenchmarks.readChineseSpan_proto3_zipkin2,"(3, 20)",0.03490873162428974,60,2223.4818337538304,2143.769540918418,2334.274718376811
zipkin.benchmarks.CodecBenchmarks.readClientSpan_java_zipkin2,"(3, 20)",0.013792318387382436,60,12197.92401973624,12089.874510934547,12336.686571630617
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(3, 20)",0.012224722679999701,60,14933.839331551977,14771.06634273617,15134.220808503005
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(3, 20)",0.015515215666148895,60,8743.631683934964,8659.105347105015,8838.061115358318
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_protobuf,"(3, 20)",0.03900040661057525,60,144.51817831911413,134.51023804763145,157.39376462926347
zipkin.benchmarks.CodecBenchmarks.readClientSpan_proto3_zipkin2,"(3, 20)",0.04279266636552404,60,1991.7530052717013,1954.4590728731594,2033.1482120360336
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(3, 20)",0.026134082734744386,60,3252.9241396423686,3105.8010099904873,3473.946814362377
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(3, 20)",0.04897548876060545,60,3079.920561450832,2985.7384638475473,3185.947827298596
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin,"(3, 20)",0.007175785920088224,60,51595.06462482644,51344.63469922326,51907.96867007913
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2,"(3, 20)",0.009216395840012076,60,15996.116540003219,15887.170771152789,16126.877785601231
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_json_zipkin2_legacy,"(3, 20)",0.007482613916317073,60,33064.831807862916,32855.36260700358,33330.428018905375
zipkin.benchmarks.CodecBenchmarks.writeTenClientSpans_thrift_zipkin,"(3, 20)",0.00701689532264813,60,11253.071417006748,11185.322028365954,11332.965310807349
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.01746724542126271,60,45.84006687143649,45.472883690088025,46.248728698415604
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.008039702358163894,60,45.335655222429175,45.09799179090208,45.59930117526184
zipkin.benchmarks.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.006831569833181142,60,44.901784055114824,44.65469844418791,45.18901870517502
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan,"(3, 20)",0.03577768624113802,60,5082.853104126974,5002.1385967275755,5174.315037897344
zipkin.benchmarks.Span2ConverterBenchmarks.fromSpan_splitShared,"(3, 20)",0.012322827190363329,60,12405.01329964741,12277.83582724195,12562.392575709584
zipkin.benchmarks.Span2ConverterBenchmarks.toSpan,"(3, 20)",0.04916765868325044,60,1318.7979390723074,1290.3241750709078,1349.4343042128303
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.009864244502265545,60,65938.38135295405,65507.544897760476,66469.39868484763
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(3, 20)",0.007733625051329691,60,27946.20414037057,27722.328176402767,28211.20486939737
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_json_zipkin2,"(3, 20)",0.019758356478671246,60,1663.214450173023,1640.5907826264001,1691.050757282146
zipkin.benchmarks.CodecBenchmarks.writeChineseSpan_proto3_zipkin2,"(3, 20)",0.010889041458558846,60,1368.0019807771284,1355.0762516491789,1382.2750252514327
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_java_zipkin2,"(3, 20)",0.07408715678465805,60,4230.725552857563,4099.305167071167,4367.13471185875
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.02399792610699625,60,5390.892935754279,5333.54879312365,5452.291890630588
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.02136409261902139,60,1655.3075024303894,1638.4350056408057,1674.4501237552186
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.013284761758063465,60,3641.341650174817,3607.324591310122,3681.167455164314
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_proto3_zipkin2,"(3, 20)",0.011073881936070055,60,1079.6284527692198,1065.9181438370022,1098.512684879465
