Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,"(3, 20)",0.11873094962852748,60,161.3606178524313,155.54578493401385,168.26331573160275
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,"(3, 20)",0.19290279612070593,60,207.47280627017622,196.04509220992654,222.16464820186704
zipkin2.internal.BufferBenchmarks.writeVarint_32,"(3, 20)",0.03596669290825161,60,35.40475698649762,35.054312173376566,35.893385581924555
zipkin2.internal.BufferBenchmarks.writeVarint_64,"(3, 20)",0.02703512815020752,60,47.542531980870805,47.1194269884045,47.97639410456508
zipkin2.codec.CodecBenchmarks.readClientSpan_java,"(3, 20)",0.04170958882607841,60,12325.379960285882,12157.33220419987,12496.210594569458
zipkin2.codec.CodecBenchmarks.readClientSpan_json,"(3, 20)",0.04385814247267971,60,8947.964045321789,8822.708146387873,9086.696687743002
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3,"(3, 20)",0.053713447376906996,60,1977.6027247598213,1944.6813767103383,2014.8652859460583
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3_protobuf,"(3, 20)",0.23750199731159471,60,137.14229619348436,130.59159815417357,149.85510674133886
zipkin2.codec.CodecBenchmarks.readTenClientSpans_json,"(3, 20)",0.01690997409958497,60,65097.97362306693,64775.62792795496,65519.83922003844
zipkin2.codec.CodecBenchmarks.writeChineseSpan_json,"(3, 20)",0.048467764874305964,60,1684.2297298114795,1661.8436832526604,1715.713078478936
zipkin2.codec.CodecBenchmarks.writeChineseSpan_proto3,"(3, 20)",0.03393787809614492,60,1354.8547885584242,1341.3224923791784,1371.6381862576463
zipkin2.codec.CodecBenchmarks.writeClientSpan_java,"(3, 20)",0.08645989817726946,60,4199.097056329971,4085.4444884646787,4326.632574230332
zipkin2.codec.CodecBenchmarks.writeClientSpan_json,"(3, 20)",0.04684986334658004,60,1699.2184011960474,1675.3142449135719,1728.2863328436542
zipkin2.codec.CodecBenchmarks.writeClientSpan_json_legacy,"(3, 20)",0.027531120093233778,60,3818.4414925964506,3787.9848072966943,3857.162251911184
zipkin2.codec.CodecBenchmarks.writeClientSpan_proto3,"(3, 20)",0.04356039999974551,60,1086.2865865228418,1072.3173483961439,1103.3190424896122
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json,"(3, 20)",0.02588474686152338,60,15964.891714877303,15840.07521629134,16112.032629711006
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json_legacy,"(3, 20)",0.027073597889974776,60,34908.78682245065,34603.38839633441,35235.50138297325
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.029171929215802053,60,44.96489144262203,44.557620103061296,45.398122192321935
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.025571879428510545,60,45.24331627704762,44.888445156933,45.655207380878636
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.022322597705416166,60,44.91180503598742,44.585191607257556,45.254774930616314
zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,"(3, 20)",0.0795648105839124,60,99.24080143109079,96.67417124032843,101.91727363449279
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,"(3, 20)",0.03153567046156813,60,34.13933812384576,33.80350538763621,34.52505275989746
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_64,"(3, 20)",0.02419985895160636,60,33.47304388782515,33.23289095549241,33.755035512808035
zipkin2.internal.BufferBenchmarks.writeLongLe,"(3, 20)",0.022287088887142537,60,37.519538205112674,37.24273209703537,37.79900797429158
zipkin2.EndpointBenchmarks.parseIpv4_addr,"(3, 20)",0.16250564499912354,60,140.7727411448938,134.4904770528221,149.6895375100817
zipkin2.EndpointBenchmarks.parseIpv4_literal,"(3, 20)",0.2039098255483643,60,127.66931842118775,122.11884546047744,138.20161531948253
zipkin2.EndpointBenchmarks.parseIpv6_addr,"(3, 20)",0.1948958822390396,60,134.21761562120994,126.73887405475791,144.0143356935022
zipkin2.EndpointBenchmarks.parseIpv6_literal,"(3, 20)",0.0943827328305213,60,436.86051630808197,424.35982819032154,450.9695274146637
zipkin2.SpanBenchmarks.buildClientSpan,"(3, 20)",0.12191081699239696,60,306.67425469646076,297.0703687293957,321.4904261994634
zipkin2.SpanBenchmarks.buildClientSpan_clear,"(3, 20)",0.13207532665459235,60,301.09355818810286,290.3368421523964,316.6168306687058
zipkin2.SpanBenchmarks.buildClientSpan_clone,"(3, 20)",0.4456507345454476,60,282.0296647968744,251.487408571199,333.79689731774414
zipkin2.codec.CodecBenchmarks.readChineseSpan_json,"(3, 20)",0.04004734537580859,60,8663.188287888415,8556.017243665472,8787.338898497806
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3,"(3, 20)",0.06218361222010921,60,2089.160661445957,2049.6020854659896,2138.1601440464196
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3_protobuf,"(3, 20)",0.1652844269672114,60,138.09546514616179,131.71973397125672,146.73374163938885
