Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.EndpointBenchmarks.parseIpv4_addr,"(1, 15)",0.132321654646674,15,129.1871903941417,127.46107382550336,137.33036437246963
zipkin2.EndpointBenchmarks.parseIpv4_literal,"(2, 9)",0.38734649801482773,18,123.89512102078385,123.01127672311796,127.81236178915961
zipkin2.EndpointBenchmarks.parseIpv6_addr,"(1, 17)",0.26692596686853526,17,133.9925653847856,130.18188675896343,140.65129316436614
zipkin2.EndpointBenchmarks.parseIpv6_literal,"(1, 14)",0.10388241488885663,14,415.4627529731741,411.641773295914,437.0184869030778
zipkin2.SpanBenchmarks.buildClientSpan,"(2, 19)",0.06970499848321722,38,291.52536774910766,290.5136224722024,300.89301302984256
zipkin2.SpanBenchmarks.buildClientSpan_clear,"(2, 15)",0.08569414877739041,30,283.55368814219025,281.39143721049925,294.08809353003227
zipkin2.SpanBenchmarks.buildClientSpan_clone,"(2, 15)",0.25166645287598716,30,241.24663227973147,233.17375004474,253.5544725596581
zipkin2.codec.CodecBenchmarks.readChineseSpan_json,"(2, 3)",0.12503145787906342,6,8485.799585222556,8180.165776627461,9816.048742865956
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3,"(2, 9)",0.10609830961164374,18,2044.394997833386,1976.8090489841704,2104.178538252003
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3_protobuf,"(2, 8)",0.24943909016466728,16,130.17451660889952,125.65883106895669,133.02481930996865
zipkin2.codec.CodecBenchmarks.readClientSpan_java,"(1, 15)",0.025347692674836067,15,12218.354212913811,12121.752696456086,12287.663997698615
zipkin2.codec.CodecBenchmarks.readClientSpan_json,"(2, 9)",0.0516025719654802,18,9004.007545032691,8652.626688197533,9305.701261547245
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3,"(1, 17)",0.051567841796944826,17,1971.7496754250387,1935.5649620007875,2032.594691627132
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3_protobuf,"(1, 14)",0.03182544273727862,14,128.61918230611104,126.513570116333,130.9417147841178
zipkin2.codec.CodecBenchmarks.readTenClientSpans_json,"(2, 19)",0.013591623606829485,38,64948.10013654984,64513.73105862505,65141.66166688405
zipkin2.codec.CodecBenchmarks.writeChineseSpan_json,"(2, 15)",0.035822747964219255,30,1648.976491344549,1644.7109488295007,1668.4322513555458
zipkin2.codec.CodecBenchmarks.writeChineseSpan_proto3,"(2, 15)",0.029764077865459454,30,1347.1366960610671,1337.6675646991591,1365.684995184053
zipkin2.codec.CodecBenchmarks.writeClientSpan_java,"(2, 3)",0.23094184507909565,6,4152.294715346046,3797.9457220310073,5099.135194222135
zipkin2.codec.CodecBenchmarks.writeClientSpan_json,"(2, 9)",0.07195806695607126,18,1659.9094206341001,1615.8478171070174,1744.3953999737018
zipkin2.codec.CodecBenchmarks.writeClientSpan_json_legacy,"(2, 8)",0.055570117611258664,16,3781.861895135038,3729.390320405711,3866.226402930403
zipkin2.codec.CodecBenchmarks.writeClientSpan_proto3,"(1, 15)",0.0497779021124829,15,1095.365738463052,1079.0296084669826,1125.7210799092172
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json,"(2, 9)",0.03651888569723532,18,15922.96630839479,15771.413903743316,16438.589467141923
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json_legacy,"(1, 17)",0.027165194186828518,17,35588.709348441924,35192.14453427065,36331.33194094346
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(1, 14)",0.03707051539089578,14,44.70259772565743,44.27551499125688,46.64981994749315
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(2, 19)",0.02520361317667627,38,44.558789667914766,44.32182402163807,45.873232344425325
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(2, 15)",0.023659111321244233,30,44.493481359906504,44.02586425492351,45.751764059661134
zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,"(2, 15)",0.0692339516774804,30,104.53494429057619,94.14053036246666,109.64914441707172
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,"(2, 3)",0.1019868017872953,6,33.312578494295494,33.003851580673455,38.15891157569349
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_64,"(2, 9)",0.03477905468264772,18,33.211723961598665,32.92888260573014,34.38270939846916
zipkin2.internal.BufferBenchmarks.writeLongLe,"(2, 8)",0.022642266070905893,16,37.81642057708871,37.14241736876215,38.44137912399687
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,"(1, 15)",0.21602304928124946,15,150.09515560599726,148.53830454780834,167.85247726850992
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,"(2, 9)",0.14037956516942432,18,190.20105772381606,188.18715224244613,205.5140569862225
zipkin2.internal.BufferBenchmarks.writeVarint_32,"(1, 17)",0.061222039110415544,17,35.25022065313328,35.11428319286944,35.92270360892967
zipkin2.internal.BufferBenchmarks.writeVarint_64,"(1, 14)",0.021180597261996923,14,48.3993460652195,48.268268913033936,49.64534917264318
