Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin2.EndpointBenchmarks.parseIpv4_addr,45,-0.00014239659257341052,0.04190341967748501,-0.010513246292458589
zipkin2.EndpointBenchmarks.parseIpv4_literal,42,0.0077910222272562805,0.006395363404723282,0.01845877934175771
zipkin2.EndpointBenchmarks.parseIpv6_addr,43,-0.00252558864851347,0.015631352563591425,-0.0033097252035356847
zipkin2.EndpointBenchmarks.parseIpv6_literal,46,-0.007368069776770353,0.17669454036401214,-0.01767327362137588
zipkin2.SpanBenchmarks.buildClientSpan,22,0.009805381094758953,0.0526520908048733,0.023904043875675417
zipkin2.SpanBenchmarks.buildClientSpan_clear,30,0.025497514357571464,0.08302075141606913,0.019102516626411273
zipkin2.SpanBenchmarks.buildClientSpan_clone,30,-0.005267872010687946,0.01350081733284708,-0.0040260718789861295
zipkin2.codec.CodecBenchmarks.readChineseSpan_json,54,-0.024038504071029906,0.0618884756556455,-0.029630317901187923
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3,42,-0.024325723565549878,-0.036964357781882735,-0.012004236063131734
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3_protobuf,44,-0.01807607220285353,-0.023643685222842478,-0.016939149003207938
zipkin2.codec.CodecBenchmarks.readClientSpan_java,45,-0.005012196381361558,-0.013643554067279852,-0.0017098294963695517
zipkin2.codec.CodecBenchmarks.readClientSpan_json,42,-0.010413325660936052,-0.005272365581306653,-0.025633560570925543
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3,43,-0.00958818674014039,0.0,-0.03403219097449107
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3_protobuf,46,-0.0021391043159033687,0.0006365265162146594,-0.005829197908735509
zipkin2.codec.CodecBenchmarks.readTenClientSpans_json,22,0.0029455151860027606,0.004013624766217965,0.005276975258028837
zipkin2.codec.CodecBenchmarks.writeChineseSpan_json,30,-0.008289160784994327,0.026664249739572415,-0.005241363724423785
zipkin2.codec.CodecBenchmarks.writeChineseSpan_proto3,30,0.006292661021506356,0.0035078524047212375,0.007381202622418674
zipkin2.codec.CodecBenchmarks.writeClientSpan_java,54,0.00844490184659803,0.025287625813928617,0.0034782599968250453
zipkin2.codec.CodecBenchmarks.writeClientSpan_json,42,-0.007447662833742132,0.054663325848468225,-0.025848150622364292
zipkin2.codec.CodecBenchmarks.writeClientSpan_json_legacy,44,-0.013417385664038413,0.024173940121768548,-0.012605420991883434
zipkin2.codec.CodecBenchmarks.writeClientSpan_proto3,45,-0.0210980152176652,-0.013924109493694669,-0.01965172037643361
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json,42,-0.006545816215206824,0.011830741538197428,-0.002707022988627776
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json_legacy,43,-0.005774046380223211,-0.0030471113217651986,-0.007047017332215888
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,46,0.11786871091653883,0.11764729631420291,-0.014789927006869581
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,22,-0.0184398651197259,-0.0064331368324647455,-0.006312205373470826
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,30,-0.006925105679122792,0.00036191487313791393,-0.012942983543641378
zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,30,0.10088864924879327,0.15270022452177315,-0.0005960835384106958
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,54,-0.016375809995971102,0.050023094275966636,-0.028043574357925375
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_64,42,-0.02586454537458826,0.0031915904555354147,-0.009628711223572952
zipkin2.internal.BufferBenchmarks.writeLongLe,44,0.005120660113966853,0.007643063830491728,-0.003242764048583343
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,45,-0.0035179644398330083,0.1640423731581258,-0.012990528497551813
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,42,0.0020442656256715605,0.27433087392956135,0.0030878506513278502
zipkin2.internal.BufferBenchmarks.writeVarint_32,43,0.04798677330895783,0.03546026493019667,0.005159857812027085
zipkin2.internal.BufferBenchmarks.writeVarint_64,46,0.011674216135417194,0.010647563143409687,0.01218361541126167
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData,22,-0.009066831964676515,-0.001245894392363399,-0.00022976538493257406
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,30,0.009711551015221706,0.004033646451642992,0.0016703006585052531
