Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin2.EndpointBenchmarks.parseIpv4_addr,45,-0.034838232820269946,0.021749507254487873,-0.04819086200011118
zipkin2.EndpointBenchmarks.parseIpv4_literal,42,0.035718151134134735,0.10144825982886103,0.006658389337809453
zipkin2.EndpointBenchmarks.parseIpv6_addr,43,-0.08872693340834406,-0.1590698915910197,-0.045918468567862046
zipkin2.EndpointBenchmarks.parseIpv6_literal,46,-0.013712159349065214,0.059497639857583814,-0.03704531040383371
zipkin2.SpanBenchmarks.buildClientSpan,22,-0.005673170299836185,0.015934077938907335,-0.01704331639919163
zipkin2.SpanBenchmarks.buildClientSpan_clear,30,-0.0004984760566821511,0.023946110807261837,-0.01630303984642745
zipkin2.SpanBenchmarks.buildClientSpan_clone,30,0.014069324748055665,0.051587074464026605,-0.015237871617192445
zipkin2.codec.CodecBenchmarks.readChineseSpan_json,54,-0.00708861969371582,0.0025931220386756497,-0.014422858635430122
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3,42,0.015632924570717778,0.03786598955544859,-0.0027539508882290795
zipkin2.codec.CodecBenchmarks.readChineseSpan_proto3_wire,44,-0.052657763383177396,-0.04333697424342129,-0.050666055295655855
zipkin2.codec.CodecBenchmarks.readClientSpan_json,45,0.0028710766015922046,0.015709954387188706,7.524908767053841e-06
zipkin2.codec.CodecBenchmarks.readClientSpan_kryo,42,0.005456779547242386,0.014152889775441012,-0.0005205410345307878
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3,43,-0.0019108632544543823,0.006177766194301463,-0.009412676913442835
zipkin2.codec.CodecBenchmarks.readClientSpan_proto3_wire,46,0.061954871939960035,0.16029474450878473,-0.008408090092861798
zipkin2.codec.CodecBenchmarks.readTenClientSpans_json,22,-0.0007750662294374529,0.0026822414287177077,-0.002910925338839433
zipkin2.codec.CodecBenchmarks.writeChineseSpan_json,30,-0.0007353684891859914,0.00747863612802097,-0.006061048259792193
zipkin2.codec.CodecBenchmarks.writeChineseSpan_proto3,30,-0.0021305107996218435,0.003871477965328905,-0.007637681315221523
zipkin2.codec.CodecBenchmarks.writeChineseSpan_proto3_wire,54,0.032538997100910655,0.20838555065038553,-0.03008190364123253
zipkin2.codec.CodecBenchmarks.writeClientSpan_json,42,0.0015432459488300663,0.0200452253171426,-0.011624789270296617
zipkin2.codec.CodecBenchmarks.writeClientSpan_json_v1,44,-0.0030364420234066593,0.004594705670422372,-0.00893888494846399
zipkin2.codec.CodecBenchmarks.writeClientSpan_kryo,45,0.007467296886005766,0.020072234553302416,-0.0029286118252675086
zipkin2.codec.CodecBenchmarks.writeClientSpan_proto3,42,0.006257253177231602,0.02158029609040773,-0.007385763007963192
zipkin2.codec.CodecBenchmarks.writeClientSpan_proto3_wire,43,-0.02453368173789184,-0.0631440386873345,0.007014310315277565
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json,46,0.005388082858788477,0.017776593373338333,-0.002143973749756408
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_json_v1,22,0.002904236996460509,0.004687948279438316,0.001577811012662574
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,30,-0.01035899910738513,-0.00995924428342058,-0.01058748309633929
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,30,0.008147826675509822,0.013376017286051083,0.003311651956852103
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,54,-0.01819317004670595,-0.022616303846304576,-0.014324000888693147
zipkin2.internal.BufferBenchmarks.utf8SizeInBytes_chinese,42,0.0017874825833666828,0.0073677300360173534,-0.0019149090145146902
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_32,44,0.006853206879617999,0.06193710811961741,-0.012570625148058847
zipkin2.internal.BufferBenchmarks.varIntSizeInBytes_64,45,0.005195804476474315,0.012082942813813785,-0.0002226555707518133
zipkin2.internal.BufferBenchmarks.writeLongLe,42,-0.002612070529578199,0.004170370078975628,-0.009310626961773625
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese,43,-0.0004049266946868976,-0.005334010983833515,0.0028013222151048204
zipkin2.internal.BufferBenchmarks.writeUtf8_chinese_jdk,46,-0.04936052135395203,-0.05726866652953919,-0.03030483256588707
zipkin2.internal.BufferBenchmarks.writeVarint_32,22,-0.0039620059565792995,-0.0019986696611337903,-0.006913444759296804
zipkin2.internal.BufferBenchmarks.writeVarint_64,30,0.0018212725555520875,0.004497593577162667,-0.00011161071525277862
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData,30,0.008326321390608061,0.049264762791550495,-0.019164199526114867
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,54,0.0059996108623077025,0.012804816086955252,0.0005707691814901534
