Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin2.EndpointBenchmarks.parseIpv4_addr,45,-0.2683067068590954,-0.31197648142253787,-0.22172682167394983
zipkin2.EndpointBenchmarks.parseIpv4_bytes,42,0.13264899071398506,0.12852557780146356,0.16261380280023388
zipkin2.EndpointBenchmarks.parseIpv4_literal,43,0.2777087069118107,0.22015244678260512,0.36350222760644924
zipkin2.EndpointBenchmarks.parseIpv6_addr,46,-0.3781370671100309,-0.3240985521806786,-0.36640952127511756
zipkin2.EndpointBenchmarks.parseIpv6_bytes,22,-0.006580441994426546,-0.03791822674550568,0.012016369321769672
zipkin2.EndpointBenchmarks.parseIpv6_literal,30,0.05344796740125332,0.0702328348620709,0.034371775080559636
zipkin2.SpanBenchmarks.buildClientSpan,30,-0.04129365137557394,0.013713278796314409,-0.07421711936594172
zipkin2.SpanBenchmarks.buildClientSpan_clear,54,0.17447347777748287,0.2157581443398421,0.12926763690649024
zipkin2.SpanBenchmarks.buildClientSpan_clone,42,-0.07223835829807657,-0.09295164223961093,-0.05223146406492184
zipkin2.SpanBenchmarks.buildClientSpan_longs,44,-0.02056897379723536,0.035304510365491294,-0.06763539223990558
zipkin2.SpanBenchmarks.padLeft_15Chars,45,0.17534987377163833,0.4586958855882717,-0.030402903018760315
zipkin2.SpanBenchmarks.padLeft_17Chars,42,0.11082552107170095,0.3322543244477143,-0.03665098908056835
zipkin2.SpanBenchmarks.padLeft_1Char,43,-0.19965348964206608,-0.23991053209910845,-0.1331438448627624
zipkin2.SpanBenchmarks.padLeft_31Chars,46,-0.0052632798032898045,0.1744402798564505,-0.02962018488961943
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,22,0.00750437166260035,0.009904209995114738,0.005973199592666148
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2,30,-0.00720749766817914,-0.0031382377688205162,-0.010342800899226122
zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,30,-0.02711428262630122,-0.021596085402083156,-0.031160223912438705
zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT,54,0.01327909231128184,0.06337908619488028,-0.02743207933561093
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,42,-0.01140589989252248,0.006127125803786885,-0.022460109759274653
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2,44,0.006923499682821902,0.018710023595015415,-0.004532921786791242
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,45,-0.06510710940070363,-0.05533386011135456,-0.06902883683335813
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,42,0.0070356490395584986,0.0389835608210267,-0.017643035254590538
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,43,0.018281209865291644,0.023836526658745697,0.016297810182607786
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,46,-0.024842238982808882,-0.011016790118677487,-0.030197057938562113
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,22,-0.009210217536187892,-0.010095676695703144,-0.009953951397027825
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,30,0.0024992300556193276,0.00692876784967765,-0.000530114099997749
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,30,-5.3105529007318223e-05,0.010166707521755275,-0.008174138116238482
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,54,0.003917356004060379,0.044367803826645714,-0.011834720153767764
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,42,-0.004357944489312744,0.0010251136253950854,-0.010060071991991016
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,44,-0.0004556775848327169,0.013251173032057213,-0.007612176941473118
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,45,-0.006467280334300722,0.008395122377580133,-0.0154323172122653
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,42,0.0017829294241954886,0.011593694268964163,-0.005099294633759538
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,43,-0.009801742753624328,-0.0008314840079919091,-0.011584396514959872
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,46,0.0030390684204631606,0.012309258088658457,-0.004852871460983141
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder,22,-0.00266794493839159,-0.000633355950833873,-0.0035992305888353534
zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,30,-0.003523147123751089,-0.0013999087850359183,-0.003724140340396485
zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder,30,0.009743113956802283,0.016905192910259995,0.00519868535315875
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,54,0.03145836261794774,0.10132547156355273,-0.011820849778976837
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder,42,-0.013808248494306773,-0.0051481673251939815,-0.015901097134155235
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,44,-0.0073634601772144224,0.00997062327071196,-0.024253053018686896
