Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese,"(3, 20)",0.11412074873925183,60,152.16549009417685,150.63482169867478,153.10526637154632
zipkin2.internal.WriteBufferBenchmarks.writeUtf8_chinese_jdk,"(3, 20)",0.09758709723446417,60,391.02495878092634,388.25739499965135,401.3627589453861
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute,"(3, 20)",0.04361209949105076,60,23888.577046629147,23381.02222429297,25167.074194679622
zipkin2.server.internal.throttle.ThrottledCallBenchmarks.execute_overCapacity,"(3, 20)",0.03952222867131913,60,24307.0631390997,23891.374738038678,24833.60077453459
zipkin2.EndpointBenchmarks.parseIpv4_addr,"(3, 20)",0.18156880097547048,60,174.93902424275004,145.7829699626755,206.42824628319755
zipkin2.EndpointBenchmarks.parseIpv4_bytes,"(3, 20)",0.17965046321081157,60,169.568880737751,163.6806255486556,171.00269187429572
zipkin2.EndpointBenchmarks.parseIpv4_literal,"(3, 20)",0.22947192719272155,60,125.27065999669018,124.13285640889075,132.11574722300008
zipkin2.EndpointBenchmarks.parseIpv6_addr,"(3, 20)",0.1350493908872806,60,171.71528135282216,169.45597465829763,180.0854599575167
zipkin2.EndpointBenchmarks.parseIpv6_bytes,"(3, 20)",0.17304795494091157,60,170.3608709945401,166.80594043147156,178.68750631653435
zipkin2.EndpointBenchmarks.parseIpv6_literal,"(3, 20)",0.10521378154673432,60,460.1737523115262,435.6550038528222,475.7327896146514
zipkin2.SpanBenchmarks.buildClientSpan,"(3, 20)",0.14155319752306825,60,328.0363242938398,322.50676801613645,347.76690184524733
zipkin2.SpanBenchmarks.buildClientSpan_clear,"(3, 20)",0.14682364422464686,60,351.9656213032826,335.85956568733417,384.8054616047938
zipkin2.SpanBenchmarks.buildClientSpan_clone,"(3, 20)",0.20753267446081464,60,240.73419271556304,237.34116873726416,260.41926187598773
zipkin2.SpanBenchmarks.buildClientSpan_longs,"(3, 20)",0.6182546649988624,60,400.3573003496683,373.415466651143,459.42320739811703
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_randomData,"(3, 20)",0.06521272327812767,60,522.0655312093556,519.9701630841248,526.5079543735519
zipkin2.internal.DelayLimiterBenchmarks.shouldInvoke_sameData,"(3, 20)",0.007601450817159683,60,76.46675333239955,76.17813765182186,76.68566456759645
zipkin2.internal.ReadBufferBenchmarks.readLong,"(3, 20)",0.011740936491566517,60,36.259842676442275,36.03756155841128,36.6731592349786
zipkin2.internal.ReadBufferBenchmarks.readLongReverseBytes,"(3, 20)",0.01269459839447312,60,36.16241642053919,35.99018936176044,36.63380613898542
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity,"(3, 20)",0.011601568541837769,60,36.83419170380465,36.56726141565912,37.12303963085191
zipkin2.internal.ReadBufferBenchmarks.readLong_8arity_localArray,"(3, 20)",0.01761841159003964,60,36.724209820387216,36.4558557274851,36.87327252095699
zipkin2.internal.ReadBufferBenchmarks.readLong_localArray,"(3, 20)",0.011831690892996603,60,36.265646378445794,35.64099222205102,36.48073860938067
zipkin2.internal.WriteBufferBenchmarks.utf8SizeInBytes_chinese,"(3, 20)",0.050191406800589804,60,93.6065071001969,92.70347641987053,106.03694953074752
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_32,"(3, 20)",0.019673282932355585,60,33.833593070558564,33.706158386866136,34.336898864994225
zipkin2.internal.WriteBufferBenchmarks.varIntSizeInBytes_64,"(3, 20)",0.0164314265521347,60,33.37734466833743,33.23726252136582,33.72006643515024
zipkin2.SpanBenchmarks.padLeft_15Chars,"(3, 20)",0.19882872124886014,60,69.43686714859028,68.50152544593557,70.75697461651015
zipkin2.SpanBenchmarks.padLeft_17Chars,"(3, 20)",0.3842849957093503,60,70.69151768158741,69.96207342397054,71.75165955483457
zipkin2.SpanBenchmarks.padLeft_1Char,"(3, 20)",0.1211659216136195,60,69.57311057119213,67.20234667740432,70.54515110651306
zipkin2.SpanBenchmarks.padLeft_31Chars,"(3, 20)",0.27750831793067743,60,74.31401163522207,73.03470637172295,75.03108370895893
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,"(3, 20)",0.014135037462767654,60,16427.093281893787,16338.210539945618,16560.456761367128
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2,"(3, 20)",0.05699238308721468,60,8505.645153547806,8408.006472081359,8688.690529982754
zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,"(3, 20)",0.03277001508328317,60,1959.7269910328046,1917.1434369577369,2001.730802220572
zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT,"(3, 20)",0.02896255088994907,60,4869.914578424643,4822.955099462615,4898.07239715881
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,"(3, 20)",0.021102779267662842,60,15791.143749648218,15481.154492486969,15942.95221416062
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2,"(3, 20)",0.018300182629877332,60,8759.816241120654,8690.159200193724,8800.406869037293
zipkin2.codec.CodecBenchmarks.writeClientSpan_THRIFT,"(3, 20)",0.040536605152447426,60,2336.0820554738784,2263.439568105278,2404.769219082346
zipkin2.codec.CodecBenchmarks.writeTenClientSpans_JSON_V2,"(3, 20)",0.014004413978802747,60,15491.414317473238,15457.076409959565,15594.96499340516
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_jacksonDecoder,"(3, 20)",0.012405466111435896,60,4230623.594936709,4213149.042016807,4257486.978723405
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_moshiDecoder,"(3, 20)",0.017027583667486336,60,7818688.0,7697549.784615384,7974912.0
zipkin2.codec.JsonCodecBenchmarks.bytebuffer_zipkinDecoder,"(3, 20)",0.027520465251460405,60,6289253.111949686,6215336.546583851,6413079.204311612
zipkin2.codec.JsonCodecBenchmarks.bytes_jacksonDecoder,"(3, 20)",0.012666432198051523,60,3956970.7509881426,3943085.354330709,3990711.5856573703
zipkin2.codec.JsonCodecBenchmarks.bytes_moshiDecoder,"(3, 20)",0.02247546295612099,60,7107838.184397163,7035839.552447553,7191809.841726619
zipkin2.codec.JsonCodecBenchmarks.bytes_zipkinDecoder,"(3, 20)",0.01795890439606962,60,6475326.761290323,6453076.232258065,6531577.35064935
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_protobufDecoder,"(3, 20)",0.025945006438566086,60,1852750.8387823815,1830111.0929143985,1868208.568224299
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_wireDecoder,"(3, 20)",0.02994749894388273,60,2249479.489017107,2190911.859956237,2293036.623853211
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,"(3, 20)",0.030491236883883242,60,1696.4207507825286,1671.5961776153622,1721.3548296195588
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,"(3, 20)",0.021898505294070975,60,4262.448509920873,4223.6183322809,4311.99544342815
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,"(3, 20)",0.014522404538598634,60,64475.12371167964,63524.13763276728,64797.168636263785
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,"(3, 20)",0.014494026119578864,60,3836.3227905559797,3810.838578558833,3877.925801625658
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,"(3, 20)",0.023528827665374032,60,1589.6018194952467,1573.1133159781914,1602.088116817724
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,"(3, 20)",0.023972100300012365,60,1313.419375511196,1303.7864689969383,1322.27099552758
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,"(3, 20)",0.04194247643003584,60,2513.0362633082195,2490.0231988470837,2563.8631068086597
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,"(3, 20)",0.01985279352874117,60,3768.775194117292,3746.84133051601,3797.302182563608
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,"(3, 20)",0.03396618609638641,60,1621.3182367633804,1611.3011521977135,1660.7314673618969
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,"(3, 20)",0.019384298409829036,60,1042.1655980067621,1039.558679275525,1047.8549668366416
zipkin2.codec.ProtoCodecBenchmarks.bytebuffer_zipkinDecoder,"(3, 20)",0.023980286638700117,60,1639267.881967213,1617440.6568205322,1655860.5562913907
zipkin2.codec.ProtoCodecBenchmarks.bytes_protobufDecoder,"(3, 20)",0.0337215084113255,60,1653815.1259591703,1639977.9672131147,1694268.745762712
zipkin2.codec.ProtoCodecBenchmarks.bytes_wireDecoder,"(3, 20)",0.03054669390533545,60,2266125.0914314445,2208463.4866476944,2323765.581395349
zipkin2.codec.ProtoCodecBenchmarks.bytes_zipkinDecoder,"(3, 20)",0.02920985184179503,60,1632360.137073644,1613792.6193548387,1643785.171944797
zipkin2.collector.MetricsBenchmarks.incrementBytes_longSpans_inMemory,"(3, 20)",0.013672923016682223,60,44.67053986294978,44.351415899010576,44.866578575417975
zipkin2.collector.MetricsBenchmarks.incrementBytes_mediumSpans_inMemory,"(3, 20)",0.03138614856901644,60,44.81172368796711,44.45927977839335,45.85703365946019
zipkin2.collector.MetricsBenchmarks.incrementBytes_shortSpans_inMemory,"(3, 20)",0.018930068514575717,60,45.64560383150111,44.72814789572329,46.18591634468062
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_singleSpan,"(3, 20)",0.27699266673710565,60,9514.013776666598,8816.327918245559,11663.029968675488
zipkin2.elasticsearch.internal.BulkRequestBenchmarks.buildAndWriteRequest_tenSpans,"(3, 20)",0.16223071107317938,60,90922.1244096957,78541.264209574,94889.53767220904
