Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(1, 15)",0.03967202902571754,15,41.73079814131474,41.35193470168369,42.55097017086592
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(2, 9)",0.03030712383692411,18,43.61190958689221,42.15513292388509,44.76396668070374
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(1, 17)",0.14458881260990783,17,64.44681176722686,54.18762175454284,69.04722222222222
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(1, 14)",0.04043462354430887,14,44.07075575951076,43.05882352941177,46.475558908136016
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(2, 19)",0.14473169717061427,38,61.59479522152178,55.30678360422293,66.00952540106952
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(2, 15)",0.1179887325107758,30,51.99393214033218,49.06525563929519,54.7596989709722
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(2, 15)",0.12726129442207354,30,50.78494683131815,48.87858484551792,53.28751677852349
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(2, 3)",0.0658887010314401,6,40.954966194822156,37.17810082205029,44.39821645191961
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(2, 9)",0.04426023610697162,18,43.367389946713686,42.09789043458084,44.559493973027806
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(2, 8)",0.05911515949805991,16,99.66890607337666,97.17283676716522,103.8502587774514
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(1, 15)",0.03444379251277628,15,43.23306818181818,42.3893536684682,45.06235846682882
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(2, 9)",0.04111748065780791,18,130.11114676800798,124.95195020119448,132.30984037646454
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(1, 17)",0.030703637249146997,17,52.19067754452293,50.30889606650141,53.39921147803403
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(1, 14)",0.045202313558077814,14,62.4131793677632,61.26238812320011,63.5683248870576
org.jenetics.internal.util.IndexSorterPerf.heapSort160,"(2, 19)",0.020852213597960093,38,11575.157476299777,11458.703119266054,11796.097285067874
org.jenetics.internal.util.IndexSorterPerf.heapSort250,"(2, 15)",0.010098654025572182,30,20705.14268867657,20568.76262056648,20745.33455240628
org.jenetics.internal.util.IndexSorterPerf.heapSort320,"(2, 15)",0.00975356091757646,30,27549.89324709161,27383.96800175333,27740.940288568258
org.jenetics.internal.util.IndexSorterPerf.heapSort80,"(2, 3)",0.018471024978135915,6,5276.821188106287,5192.401579056721,5485.054987324067
org.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(2, 9)",0.04171130395441343,18,17439.607300919313,16990.11013618101,18037.315763577673
org.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(2, 8)",0.042479329768441286,16,37970.80429195003,36959.06202812732,39268.4483406387
org.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(1, 15)",0.03265271400037385,15,59609.40979889002,58265.11019074841,61137.10949262501
org.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(2, 9)",0.06699328962479344,18,4488.044665909574,4299.775150563924,4811.182026524401
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(1, 17)",0.008522149868362387,17,39.84479747151293,39.73534226809845,40.23958187763772
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(1, 14)",0.012383947776541542,14,39.95567210332815,39.799000403718885,40.20845566647093
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(2, 19)",0.028739631540319693,38,36.66587006204998,36.3995736056642,37.94190080764418
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(2, 15)",0.01798256689150874,30,36.591681000265,35.85658666530058,36.68750827222913
org.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(2, 15)",0.028096741720642852,30,51.21733152658636,51.0496625160014,51.34798172346556
org.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(2, 3)",0.015346541185278758,6,40.20961251486278,39.71219847028829,41.61517132105367
org.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(2, 9)",0.021684544373653684,18,39.02984056102,38.02825378832905,39.324301565517345
org.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(2, 8)",0.0120309042932592,16,50.2010417272886,50.04099505382601,51.39094003665881
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(1, 15)",0.02924245001058653,15,40.87668821424449,40.00311859316797,42.24101768538629
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(2, 9)",0.05516896931995388,18,37.245840268347344,37.079973925332396,38.498364730023084
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(1, 17)",0.02974564964277909,17,36.57166092613854,36.014211206277814,36.87925178204085
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(1, 14)",0.018499104114346895,14,38.15327902431742,37.8636068932479,38.55680152169678
org.jenetics.util.SeqPerf.forEachLoopSeq,"(2, 19)",0.015557358718151655,38,1110.7700143612938,1107.1499030202272,1115.5643937436264
org.jenetics.util.SeqPerf.forLoopArray,"(2, 15)",0.005043948960273859,30,727.7180924415181,726.2400750112315,729.675912193856
org.jenetics.util.SeqPerf.forLoopSeq,"(2, 15)",0.004906498789299769,30,1082.4001984246747,1079.080993301306,1084.663396149812
org.jenetics.util.SeqPerf.getFromArray,"(2, 3)",0.026831806212141266,6,34.478959268848755,33.948806704317725,36.664237591090334
org.jenetics.util.SeqPerf.getFromSeq,"(2, 9)",0.02031521809917817,18,37.75374382894701,37.6436914097395,38.945349181027964
