Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,45,-0.019232435242138034,-0.011467270042130273,-0.0313337003192776
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,42,-0.06489491980722116,-0.021188033159379383,-0.10735903137358556
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,43,0.01062755120116511,0.012655784554728544,0.015782665809414974
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,46,-0.046089131046817805,-0.06405331082576358,-0.029774008014739024
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,22,0.0013950577474048423,0.004459780530525362,-0.0016564360250142817
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,30,-0.005282342302909774,-0.0065088448204176,-0.0037077134714671636
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initJbChaChaCipher,30,0.0003970410742274965,0.03437574250295631,-0.014730151431267848
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,54,0.06981933234649738,0.2727076597860674,-0.038207650062236226
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.jbChaChaCrypt,42,0.4481926816900522,0.9731056760211326,-0.016351287683630797
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,44,-0.26468942420142133,-0.481681928988631,-0.010548410558115236
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,45,0.015486720486432983,0.0057285576638659704,0.018885967512432017
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,42,-0.026654939998751605,-0.029975712042559933,-0.020385364133285375
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,43,-0.0009926634188931606,0.014704562057108246,-0.00962271483770594
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,46,-0.005649737204953625,0.0020020165781457207,-0.006203030664495251
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,22,-0.10907748801043612,-0.29064735297783606,-0.011796849695549243
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,30,0.018077894657603146,0.045405408953683946,-0.005134999403682424
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,30,0.033495557593480434,0.058478090557117425,0.009738009768673225
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,54,-0.13887193786968244,-0.24690951331121616,-0.06372273453406077
