Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(1, 15)",0.03907900396270502,15,43.21502564618324,42.32018905678604,43.73754796550283
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(2, 9)",0.04299238279096279,18,42.473302899258414,41.13398152113968,43.56903207620958
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(1, 17)",0.15667122188359486,17,65.66875624289601,62.82992403946166,69.5872816052491
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(1, 14)",0.06613394248074458,14,43.696164965212844,42.73501770373392,44.63960271886128
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(2, 19)",0.13222117760965954,38,71.90603338891468,65.85354596493646,75.91901763224182
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(2, 15)",0.14768443287478314,30,54.060593220015235,50.35668040023543,57.46991829660807
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(2, 15)",0.08223070788818326,30,53.738165516144235,50.92966274332277,56.381487854538975
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(2, 3)",0.0775661637709597,6,41.74599492476751,40.67655522791061,45.08357919767493
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(2, 9)",0.042310028686157235,18,42.67718449044221,41.918518250027184,43.63947499680086
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(2, 8)",0.05997907818102165,16,99.31973961211119,95.31045826890812,104.2310496408277
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(1, 15)",0.06295566363884135,15,43.67978678203098,42.85208488022197,44.553304634084576
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(2, 9)",0.07685015198846411,18,131.37699490834996,127.68523663877536,133.77060305055352
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(1, 17)",0.04703649186140617,17,50.46179599330417,49.31699557588109,52.6878470433339
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(1, 14)",0.11094156117228095,14,63.259397119557306,59.94985482337154,67.12325285725666
org.jenetics.internal.util.IndexSorterPerf.heapSort160,"(2, 19)",0.015136955892196676,38,10981.304449008461,10874.025184541902,11112.50533032724
org.jenetics.internal.util.IndexSorterPerf.heapSort250,"(2, 15)",0.011797875175768462,30,20135.1871879025,20063.69013179042,20338.479362834954
org.jenetics.internal.util.IndexSorterPerf.heapSort320,"(2, 15)",0.017151262616130074,30,26364.057604724105,25767.365956788533,26521.81531125828
org.jenetics.internal.util.IndexSorterPerf.heapSort80,"(2, 3)",0.04765730326338254,6,5194.140671255505,4926.829874213837,5310.077939681464
org.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(2, 9)",0.05455232828629519,18,16235.692110422271,15534.2093325897,16555.9831426816
org.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(2, 8)",0.0426158958760757,16,39569.07248768289,38053.52800426732,40173.03457106274
org.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(1, 15)",0.02870865968122996,15,62371.74025974026,60210.46012898559,63282.13903743315
org.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(2, 9)",0.08147350127943262,18,4694.6561762272795,4437.5259295804135,4971.083702200052
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(1, 17)",0.01924085750136393,17,38.65526960086546,38.34106431417188,38.91355053153386
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(1, 14)",0.024647552138572965,14,38.67041704001302,38.46022831356727,39.39738359197109
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(2, 19)",0.012814987633647785,38,37.971343342680996,37.19380530973452,38.24
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(2, 15)",0.02395384941574423,30,37.185584615535646,36.01454582703782,37.69485663612178
org.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(2, 15)",0.01139788240588825,30,51.47122746781176,51.23788651340311,52.04661282150627
org.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(2, 3)",0.035106049166585204,6,39.91624431121979,39.19202948470653,40.83315518738727
org.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(2, 9)",0.08448185441506596,18,38.10428278591107,37.76593170749887,38.506854572593625
org.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(2, 8)",0.013224023774789555,16,50.19292738068018,49.82125215393452,50.86501361450669
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(1, 15)",0.018863730732463217,15,38.984387417642985,38.645706784721504,39.93816807723167
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(2, 9)",0.01703415314680715,18,37.415028922640374,37.19367502045557,37.87824795683129
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(1, 17)",0.02773260813183516,17,36.16100103296084,35.74813318931104,36.84064437347361
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(1, 14)",0.04737511691401068,14,36.05566723490622,35.79889169428762,37.725477086261975
