Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(1, 15)",0.04751313602618615,15,15372.059236165238,15230.334654654656,15661.260394946645
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(2, 9)",0.0310626872668089,18,7995.59443795573,7903.676783014303,8069.73442017444
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(1, 17)",0.06175717773025752,17,3023.0906025721306,2887.7207363051675,3115.663370176459
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(1, 14)",0.04617914657695603,14,3279.902603050923,3234.21750390336,3345.097071034949
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(2, 19)",0.035375076504288935,38,7891.2823167390925,7616.094244604316,8006.726272352132
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(2, 15)",0.22783334282522696,30,1331.4953954107477,1290.2643483497045,1359.2051090528832
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(2, 15)",0.06665310620129629,30,1397.1318454512848,1352.881407035176,1453.798661697442
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(2, 3)",0.01736918944661876,6,26126.564331230984,25798.04277689017,26509.84441182638
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(2, 9)",0.04267851619964345,18,5917.358039113597,5770.253446047067,6140.953015758421
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(2, 8)",0.1312915720913734,16,5644.2879895852,4987.311448912835,6123.792168099331
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(1, 15)",0.03815549777210453,15,27868.67266866733,27564.00285698588,28484.58835408953
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(2, 9)",0.2879746867079591,18,7244.685003771709,7088.5529920164845,7419.582531497604
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(1, 17)",0.03143961885244331,17,7292.4727053209535,7235.979112569554,7441.002868151925
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(1, 14)",0.040481958385538246,14,105854.78493498021,105347.7009452903,109257.19793594148
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(2, 19)",0.014064217797054752,38,51922.134332701826,51615.95533267849,52140.766798182754
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(2, 15)",0.0343252412375223,30,26730.02390080576,26140.135112593827,26948.88303905832
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(2, 15)",0.03763819674892127,30,4578.719849815341,4542.527048856661,4739.158206155067
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(2, 3)",0.046337124111199196,6,1673.7994566113998,1636.4766212644847,1747.0117212249208
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(2, 9)",0.05755391366014408,18,2532.6294289335565,2407.9569175693114,2623.3421620985273
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(2, 8)",0.04023099818369377,16,4808.289413107006,4724.018157058556,4909.857142769071
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(1, 15)",0.050610519542359414,15,1164.6462148178048,1146.3217476219754,1233.107263939984
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(2, 9)",0.07867825262057475,18,3103.226210788281,3037.6605048174997,3292.3665274265686
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(1, 17)",0.03585331963006268,17,2026.6362561453727,1979.388825757576,2090.065592519089
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(1, 14)",0.07895374666245303,14,479.8273703803683,473.7356361410957,525.9811748630327
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(2, 19)",0.022158646143177942,38,8979.206587285606,8946.002836074873,9049.2487693515
