m_id,n,ns_per_op,it_setup,fork_setup,it_pos,fork_pos,b_name
0,21290.0,35.53621418506341,20,3,1,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
1,21224.0,35.25438183188843,20,3,2,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
2,21209.0,38.40407374227922,20,3,3,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
3,21193.0,35.83485113009012,20,3,4,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
4,39802.0,36.23807848851816,20,3,5,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
5,20433.0,34.67748250379288,20,3,6,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
6,38752.0,35.77972749793559,20,3,7,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
7,20572.0,36.85373322963251,20,3,8,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
8,20740.0,35.913789778206365,20,3,9,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
9,37989.0,37.32230382479139,20,3,10,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
10,20401.0,36.19866673202294,20,3,11,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
11,20645.0,36.29009445386292,20,3,12,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
12,20516.0,36.96241957496588,20,3,13,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
13,20599.0,37.105539103839995,20,3,14,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
14,20624.0,37.57088828549263,20,3,15,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
15,20214.0,129.63985356683486,20,3,16,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
16,20643.0,38.59744223223369,20,3,17,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
17,20528.0,35.81045401402962,20,3,18,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
18,20562.0,35.78615893395584,20,3,19,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
19,20490.0,37.782332845290384,20,3,20,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline
20,531.0,1881309.7702448212,20,3,1,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
21,365.0,2740010.7835616437,20,3,2,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
22,657.0,1520697.6681887368,20,3,3,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
23,687.0,1455180.017467249,20,3,4,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
24,831.0,1201495.7978339351,20,3,5,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
25,782.0,1277260.6035805626,20,3,6,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
26,854.0,1169993.142857143,20,3,7,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
27,762.0,1311187.653543307,20,3,8,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
28,618.0,1617127.9741100324,20,3,9,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
29,777.0,1286294.2393822393,20,3,10,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
30,791.0,1262903.98988622,20,3,11,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
31,766.0,1304316.6579634466,20,3,12,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
32,774.0,1290986.1705426357,20,3,13,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
33,758.0,1317317.9102902375,20,3,14,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
34,667.0,1497361.2713643177,20,3,15,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
35,833.0,1199324.043217287,20,3,16,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
36,762.0,1310236.220472441,20,3,17,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
37,850.0,1174954.465882353,20,3,18,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
38,705.0,1416881.929078014,20,3,19,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
39,672.0,1487780.5714285714,20,3,20,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized
40,117.0,8587316.512820512,20,3,1,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
41,120.0,8378572.8,20,3,2,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
42,121.0,8284007.6694214875,20,3,3,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
43,133.0,7560476.872180451,20,3,4,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
44,107.0,9407784.672897195,20,3,5,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
45,133.0,7538857.383458647,20,3,6,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
46,126.0,7947345.26984127,20,3,7,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
47,134.0,7499898.268656717,20,3,8,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
48,120.0,8382737.066666666,20,3,9,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
49,133.0,7549944.30075188,20,3,10,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
50,123.0,8131658.926829268,20,3,11,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
51,134.0,7485653.9701492535,20,3,12,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
52,127.0,7945014.425196851,20,3,13,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
53,125.0,8034254.848,20,3,14,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
54,124.0,8102746.838709678,20,3,15,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
55,134.0,7509618.626865672,20,3,16,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
56,134.0,7498553.313432836,20,3,17,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
57,123.0,8188270.308943089,20,3,18,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
58,131.0,7648889.160305344,20,3,19,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
59,125.0,8022261.76,20,3,20,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations
60,429.0,2329120.2237762236,20,3,1,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
61,444.0,2250493.6936936937,20,3,2,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
62,444.0,2251028.756756757,20,3,3,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
63,450.0,2221206.1866666665,20,3,4,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
64,451.0,2219078.3858093126,20,3,5,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
65,440.0,2271227.345454545,20,3,6,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
66,435.0,2300699.659770115,20,3,7,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
67,451.0,2216249.3303769403,20,3,8,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
68,451.0,2216935.024390244,20,3,9,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
69,453.0,2209285.651214128,20,3,10,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
70,449.0,2224862.3608017815,20,3,11,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
71,418.0,2390260.976076555,20,3,12,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
72,423.0,2364965.5224586288,20,3,13,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
73,450.0,2221451.946666667,20,3,14,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
74,474.0,2210055.5611814344,20,3,15,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
75,470.0,2128364.391489362,20,3,16,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
76,455.0,2199448.474725275,20,3,17,1,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib
