Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(1, 3)",0.0022188596600074724,3,42.12280341880342,41.33349209049158,42.21626800807583
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(1, 3)",0.0023806581942557078,3,44.96333502716648,44.85629269519299,45.357184704917394
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(3, 20)",0.08138554547815433,60,65.23012880205789,62.29641615725758,67.33917228734202
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(3, 1)",0.006244207167421818,3,45.44362707139538,45.15986764952253,46.06644012186548
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(3, 20)",0.12489610760354547,60,66.00991902726582,61.543085941990114,70.79807942829494
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(3, 20)",0.06149011448955848,60,51.57903285385876,49.52919554715396,53.02042623351246
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(1, 3)",0.004195886572593155,3,51.157619121688185,50.94296755452966,68.88940445870983
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(1, 3)",0.0015327903106332915,3,37.23517453679503,37.17810082205029,44.39821645191961
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(3, 20)",0.01965509049372919,60,42.81269047363736,42.29744514683926,43.37547267444175
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(3, 1)",0.0054642371662938435,3,97.2792529909542,95.33800793328544,97.81080990065668
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(1, 3)",0.004174659451193371,3,42.122449704983296,41.94660282221497,45.89666666666667
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(3, 1)",0.007161510675516866,3,132.00109712136253,129.37678696391083,132.9464243875771
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(3, 1)",0.006214686704472733,3,50.76822227264705,49.23090687482171,51.08373086861459
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(1, 3)",0.008969350706685903,3,62.46422470303126,61.90396116504854,63.81165283396589
org.jenetics.internal.util.IndexSorterPerf.heapSort160,"(3, 1)",0.006144389551954385,3,11870.73650584864,11439.359073009551,11943.67493520918
