Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.009177386192070335,3,793422506.6666666,784334848.0,802160640.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.13408297415958345,60,300539357.8666667,288227240.61866665,315604161.8773333
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.05247216737042843,60,1146163473.0666666,1127778265.7706666,1167834393.2586665
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.07264171893697843,60,970963899.7333333,948594016.2559999,995151052.8
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.49937864903260093,60,52.66040690709821,48.477279518961204,63.390305609693556
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.19632062993641966,60,48.887065337416736,47.00996161941697,52.96092146045157
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(3, 20)",0.053258357287905886,60,48.34086891466158,47.56927680835078,49.249820824660496
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",0.0045101467033767904,3,46.802339249726934,46.507046689237065,46.98789736335416
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(3, 20)",0.10293273993254257,60,52.64191666705845,51.15283255211615,54.79136115655594
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.15078517940952105,60,49.51214699206489,47.39936606258221,52.298379644803894
