Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,57,-0.03636336750940277,-0.04216850163002302,-0.035674014029159935
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,46,0.014576780210095211,0.024292955842333173,0.010258869075649601
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,57,-0.047647816360458506,-0.014879128757136503,-0.05884296598419547
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,0,0.0,0.0,0.0
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,56,-0.01376576867379223,-0.01161630105781433,-0.022669224602993317
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,57,-0.021597520669501297,-0.0071118340008404345,-0.022275324982785668
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,57,-0.00663216497616659,-0.0014489074087713802,-0.03716631006273916
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,57,0.015579812117203863,0.07447612848632913,-0.015179115071542822
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,57,-0.021738472448342133,-0.010438208469518127,-0.02692489055251356
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,57,-0.0028787405855925877,0.01647545957274609,-0.007981860003088724
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,57,-0.007589279617452353,-0.01489823451068662,-0.00040846471877304465
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,0,0.0,0.0,0.0
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,57,-0.0201748971831633,-0.028374163827438986,-0.019030790727355883
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,56,0.00763156841725086,0.018375854758756176,-0.0004008005381816295
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,57,0.0025296530738725407,0.024210030217337898,-0.00842744128210343
