Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,57,-0.02629222510679163,-0.020617186803448997,-0.01075901301096945
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,57,0.004682079468702956,0.001015021321923568,0.023031726803833856
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,0,0.0,0.0,0.0
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,57,-0.007483092488508274,-0.005453270844072117,0.0019803087611235237
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,57,0.020874667833505497,0.017387342729853608,0.03987282152315502
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,0,0.0,0.0,0.0
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,57,0.014392722315545432,-0.0054699091043746125,0.010830493494843392
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,57,0.0197549171704575,0.008046196073605143,0.024301439012754642
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,0,0.0,0.0,0.0
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,57,-0.006781417806678356,-0.04509795142603906,-0.0021941181232439165
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,0,0.0,0.0,0.0
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,57,-0.021032407033418906,-0.021953474695486152,-0.008724952925805683
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,57,-0.008207935673036452,-0.01184130899188099,-0.0022130067555480018
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,57,-0.028215429215821982,-0.0380761472705509,-0.0013817986759571128
io.jenetics.util.BufferPerf.toArray,0,0.0,0.0,0.0
io.jenetics.util.BufferPerf.toSeq,0,0.0,0.0,0.0
io.jenetics.util.BufferPerf.toTypedArray,57,-0.03748688148095686,-0.06935425323287024,-0.015104058911920069
io.jenetics.util.ProxySorterPerf.java_index_sort_10,0,0.0,0.0,0.0
io.jenetics.util.ProxySorterPerf.java_index_sort_100,56,0.0007363603333934213,-0.21397717907428226,0.0
io.jenetics.util.ProxySorterPerf.java_index_sort_1000,57,-0.004983018396555642,-0.017278867728314665,-0.00019057624709611427
io.jenetics.util.ProxySorterPerf.java_index_sort_10000,57,-0.004162129325732574,-0.006717263545500776,-0.0021195069737286027
io.jenetics.util.ProxySorterPerf.java_index_sort_100000,57,-0.004178193420977468,-0.005829977521004838,-0.004224710642845895
io.jenetics.util.ProxySorterPerf.old_index_sort_10,57,-0.14818516483338973,-0.22382302776815532,-0.13416319959408968
io.jenetics.util.ProxySorterPerf.old_index_sort_100,57,-0.007949561336012333,-0.013785479739575682,-0.005553584350361945
io.jenetics.util.ProxySorterPerf.old_index_sort_1000,57,-0.00021725106193475356,-0.003326496181910007,0.002836388576179061
io.jenetics.util.ProxySorterPerf.old_index_sort_10000,57,-4.200643210675246e-05,0.000734361309431025,-0.0029415322604072
io.jenetics.util.ProxySorterPerf.old_index_sort_100000,57,-0.0030607925499007904,-0.027014284211108824,-0.0006040126026413939
io.jenetics.util.ProxySorterPerf.tim_sort_10,0,0.0,0.0,0.0
io.jenetics.util.ProxySorterPerf.tim_sort_100,57,0.010028109630374704,-0.03865620046664453,0.015422097807697654
io.jenetics.util.ProxySorterPerf.tim_sort_1000,57,-1.7422837009182677e-05,-0.001314275412989405,-9.359070988853259e-05
io.jenetics.util.ProxySorterPerf.tim_sort_10000,0,0.0,0.0,0.0
io.jenetics.util.ProxySorterPerf.tim_sort_100000,57,-0.07516864217252812,-0.0798577168286914,-0.07096977949650857
io.jenetics.util.RandomEnginePerf.javaNextDouble,57,0.002092991387325085,0.0017418009698183798,0.002339131186009527
io.jenetics.util.RandomEnginePerf.javaNextFloat,57,0.011586599886616823,0.0023078861999042593,0.015160344301566066
io.jenetics.util.RandomEnginePerf.javaNextInt,57,-0.003304870182784154,0.0004441210509275411,-0.005911662198783244
io.jenetics.util.RandomEnginePerf.javaNextLong,57,-0.026135246025515035,-0.03485034312808464,-0.025276717789892687
io.jenetics.util.RandomEnginePerf.lcg64shiftNextDouble,57,-0.038986893203554245,-0.050153104193538564,-0.024714714132221937
io.jenetics.util.RandomEnginePerf.lcg64shiftNextFloat,57,-0.03887120559484029,-0.05723786014387686,-0.041582096258387366
io.jenetics.util.RandomEnginePerf.lcg64shiftNextInt,44,-0.005789921628767327,-0.030278646086469532,-0.005296450064360578
io.jenetics.util.RandomEnginePerf.lcg64shiftNextLong,57,-0.004152783089131154,-0.016833183158396322,-0.0016618196201532492
io.jenetics.util.RandomEnginePerf.tlrandomNextDouble,57,0.025959069544867097,0.009158203156271109,0.02894455195405481
io.jenetics.util.RandomEnginePerf.tlrandomNextFloat,57,-0.002639483943812331,-0.020612677982905545,-0.0013272853489865856
io.jenetics.util.RandomEnginePerf.tlrandomNextInt,56,0.01244523302657884,0.0,0.00657755431662543
io.jenetics.util.RandomEnginePerf.tlrandomNextLong,57,-0.01068999455718756,-0.015632379792671597,-0.008173301193119226
io.jenetics.util.ThreadIDPerf.getThread,0,0.0,0.0,0.0
io.jenetics.util.ThreadIDPerf.getThreadId,0,0.0,0.0,0.0
