Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.util.RandomEnginePerf.tlrandomNextDouble,"(3, 20)",0.009337699226757925,60,39.33163729575697,39.125439377037324,39.56050496611949
io.jenetics.util.RandomEnginePerf.tlrandomNextFloat,"(3, 20)",0.00903289081811336,60,39.96428779229862,39.35003588436856,40.67100637247662
io.jenetics.util.RandomEnginePerf.tlrandomNextInt,"(3, 20)",0.019397688883065072,60,38.54462814082874,37.768001756557524,39.40010795054598
io.jenetics.util.RandomEnginePerf.tlrandomNextLong,"(3, 20)",0.00997721397006739,60,38.50859302516366,38.14007160559256,38.985747560254865
io.jenetics.util.ThreadIDPerf.getThread,"(3, 20)",0.015544216798094064,60,35.02693339858596,34.60474786325061,35.524337071874946
io.jenetics.util.ThreadIDPerf.getThreadId,"(3, 20)",0.025680859315821508,60,36.55345432931467,36.067694854434606,37.10277263353457
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(3, 20)",0.020048901469917113,60,42.13485069381374,41.730830409340044,42.554472552652385
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(3, 20)",0.020942135679409134,60,43.2455238696772,42.61722544170939,44.36828690181171
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(3, 20)",0.02625806199080627,60,62.86375191773421,61.8824147036971,63.795626435156755
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(3, 20)",0.021482208281053735,60,47.312346575150826,46.8008541477354,47.8308051655955
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(3, 20)",0.02178948950207895,60,65.17982990493378,63.79529193082734,66.64147113655399
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(3, 20)",0.05231682543814752,60,46.64672084420975,44.78962759516895,48.35134136398073
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(3, 20)",0.05203546180369639,60,52.28802713634564,51.28688684872656,53.28984446042083
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(3, 20)",0.02124645791749105,60,43.0772875906928,42.68997360598544,43.49889146794454
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(3, 20)",0.023323953084194857,60,43.307656267095744,42.81611103707335,43.82040313171889
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(3, 20)",0.009863905048787747,60,98.41067003718224,97.15247585091049,99.93776383654246
io.jenetics.util.ProxySorterPerf.tim_sort_10000,"(3, 20)",0.007105782630973609,60,1365786.9851997008,1357014.156786593,1375096.5141316555
io.jenetics.util.ProxySorterPerf.tim_sort_100000,"(3, 20)",0.01578973257472661,60,16985104.492991824,16760800.631503131,17213138.075040165
io.jenetics.util.RandomEnginePerf.javaNextDouble,"(3, 20)",0.006696277267761823,60,53.607284803507575,53.03575297629014,54.47394492109276
io.jenetics.util.RandomEnginePerf.javaNextFloat,"(3, 20)",0.014717868803508522,60,40.26653431498537,39.99216135983706,40.597442129264245
io.jenetics.util.RandomEnginePerf.javaNextInt,"(3, 20)",0.009419400878322323,60,38.98171923284315,38.78637699463089,39.19684082995548
io.jenetics.util.RandomEnginePerf.javaNextLong,"(3, 20)",0.015459244522199597,60,50.514136794863845,50.14562056345623,50.89825510060055
io.jenetics.util.RandomEnginePerf.lcg64shiftNextDouble,"(3, 20)",0.02735455240388627,60,40.22207905067851,39.82833547115666,40.6298384784244
io.jenetics.util.RandomEnginePerf.lcg64shiftNextFloat,"(3, 20)",0.01964859986950029,60,39.74196315705991,39.33636722269995,40.166579282412684
io.jenetics.util.RandomEnginePerf.lcg64shiftNextInt,"(3, 20)",0.011383301218761632,60,37.788029134577656,37.49944223840662,38.09844175199837
