Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.035434029281815625,60,806914184.5333333,793579618.304,822852714.4959999
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.09864726534723856,60,294929476.26666665,281419623.08266664,309819626.83733326
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.04963130565005773,60,1073619490.1333333,1048069013.504,1101913915.3919997
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 15)",0.009934004862799552,15,1006283434.6666666,1002019225.6,1012155460.2666667
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(3, 20)",0.02337359243295458,60,39.921192010358105,39.488353316253345,40.41637140819987
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(1, 3)",0.00983767821012181,3,426.3493089912722,424.4709087223152,428.6651960292791
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initJbChaChaCipher,"(3, 20)",0.06858735227131853,60,390.4667514180959,379.900078540863,406.2161297925095
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(3, 20)",0.07509325274540873,60,446.531511325475,431.45229696973723,464.1667011600164
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.jbChaChaCrypt,"(3, 20)",0.6187055772472737,60,47.08966149169935,37.29390937793498,65.91958036871931
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(3, 20)",0.7099186853214419,60,54.998172222384284,40.22197251191128,79.24483894058072
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.05733814440660454,60,50.3426071425827,49.13208629947523,51.94575968967309
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.048106367682567396,60,47.11401843256476,46.174046000366886,48.45655364336265
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(3, 20)",0.04459772382365231,60,49.03521492887369,48.0348984041757,50.23265957843491
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.029802571369346758,60,45.4177776607561,44.79458943106881,46.12628301244183
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(3, 20)",0.49622684905817893,60,59.40080876532268,51.34601475554208,80.13040428162489
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.08683090703110673,60,48.42224141575206,46.58550838578669,50.67898317874947
