Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,45,-0.0464203500985377,-0.06492080662608779,-0.03014293956881812
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,57,-0.03853725381782325,-0.07198754896832307,-0.015170968913099672
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initJbChaChaCipher,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.jbChaChaCrypt,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,0,0.0,0.0,0.0
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,57,-0.12646584027137886,-0.2745441490792236,-0.026648695269629166
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,57,0.0230892491331395,0.011462767852613158,0.03161906197473539
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,0,0.0,0.0,0.0
