Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.03578433945756761,60,799014912.0,780140544.0,814743552.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.10043868778280529,60,289669120.0,274202624.0,310902784.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.04924095607235136,60,1082130432.0,1056964608.0,1101004800.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 15)",0.009951287404314512,15,1004535808.0,1001390080.0,1005584384.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(3, 20)",0.02341504407857652,60,39.85051953592391,39.02123181437474,40.44368404786084
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(1, 3)",0.009847783245555304,3,425.9118222222222,424.47090872231513,428.6651960292791
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initJbChaChaCipher,"(3, 20)",0.07050087371738871,60,379.86877633751766,376.4259572438316,384.88062103944935
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(3, 20)",0.07897637130016105,60,424.57640287513254,415.1378601806279,457.1361406816328
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.jbChaChaCrypt,"(3, 20)",0.7864052063485915,60,37.04786789354748,36.847208217912176,37.41208163004053
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(3, 20)",0.9623377287405771,60,40.572274112431344,39.81641339973609,40.8583389431168
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.058789670315897095,60,49.09964050888421,48.11232981361641,51.13554228155824
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.04897708888287504,60,46.27641914651853,45.49941006550307,46.88393042572033
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(3, 20)",0.04536291029416013,60,48.20808362714044,47.39304446058259,49.48207627118644
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.029985814938555063,60,45.140229236572196,44.59690889166006,45.677314015464304
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(3, 20)",0.5703152341400519,60,51.684181660637634,50.9971243418388,52.80387844776402
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.09141580535541002,60,45.99365641709731,45.31184349252216,47.37469123304312
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.1322297574813539,60,116.22009175171269,112.4592409120711,120.12785577330982
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.32374217373749464,60,54.51757888311455,53.67945539170908,55.86443326745786
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(3, 20)",0.10821437718444947,60,41.03966070051262,40.04689633745668,42.08049403747871
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(3, 20)",0.21122971778403593,60,54.1702213062815,51.20597779675491,56.04212024429425
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(3, 20)",0.1366740360750072,60,74.92107538671638,73.58409946172533,75.708410154588
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(3, 20)",0.13722528180002655,60,82.79629749424765,81.99445180778596,83.87806421002689
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(3, 20)",0.1573577291164301,60,613.8632666204248,474.67493280937026,616.9622545269063
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(3, 20)",0.3061015418941349,60,318.31912872895526,308.760693231683,501.27781246447876
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(1, 3)",0.006948914517654919,3,119.85464735722468,119.32804472029264,120.16090441932168
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(3, 1)",0.00827390468869839,3,126.2680938657884,126.03684643886372,127.08157661273287
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(3, 20)",0.04742810101657384,60,347.7297725030086,331.3906519492069,352.1416038930747
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(3, 20)",0.08455741678041243,60,349.648461729049,324.75113085126276,354.8020710059172
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(1, 3)",0.004173136645962689,3,33764147.2,33638536.53333333,33779438.93333333
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(1, 3)",0.002889060092449894,3,23739272.93023256,23707266.976744182,23775851.162790697
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(1, 3)",0.0048770865695194465,3,10067968.0,10054860.8,10103963.151515152
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(1, 12)",0.009497321396017276,12,13770752.0,13745727.12328767,13805091.06849315
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(3, 1)",0.002462160900308466,3,637444.5714285715,636727.7656050955,638297.2567049809
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(1, 11)",0.009199439176657527,11,5878964.705882353,5868538.0116959065,5892168.282352941
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.03741241241241235,60,2793406464.0,2732589056.0,2831155200.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.07455531260123092,60,269746176.0,248774656.0,280501944.31999874
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.011877077223851501,60,2860515328.0,2843738112.0,2883584000.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.030121484880574298,60,742653952.0,723255296.0,771751936.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.05645857026807463,60,1290797056.0,1245708288.0,1320157184.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.09770083223828294,60,398983168.0,379846656.0,459276288.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.03305596465390259,60,2135949312.0,2101346304.0,2193620992.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.06985688112943207,60,810811392.0,791150592.0,834142208.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,"(3, 1)",0.0024875621890547263,3,13488881664.0,13488881664.0,13522436096.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.07428249370277065,60,130088960.0,129368064.0,131268935.67999995
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.03343042424242429,60,2883584000.0,2860515328.0,2950703349.7599983
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.028761239035087646,60,796917760.0,789315584.0,807927808.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,"(3, 1)",0.005791505791505791,3,8690597888.0,8640266240.0,8690597888.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.successiveRead,"(2, 2)",0.009358288770053475,4,196083712.0,194772992.0,196870144.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.randomWrite,"(1, 14)",0.009788298691300937,14,10896801792.0,10804527104.0,10955563991.039993
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetWriteBenchmark.successiveWrite,"(1, 11)",0.009700907847282407,11,12264144896.0,12096372736.0,12297699328.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.01088369611609038,60,1637875712.0,1626341376.0,1652555776.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.10852148729446932,60,935329792.0,888143872.0,1030750208.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.013119111508646348,60,2344615936.0,2332033024.0,2361393152.0
jetbrains.exodus.benchmark.persistit.JMHPersistItTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.016065125606924167,60,827850752.0,817889280.0,838860800.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testBoundedSort,"(3, 20)",0.08057539069208283,60,127205376.0,121722197.33333334,134545408.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSort,"(3, 20)",0.10547848626231211,60,252837888.0,247595008.0,288096256.0
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testHeapSortWithValueGetter,"(3, 20)",0.1207424949168762,60,121765888.0,119668517.54666667,130548312.74666657
jetbrains.exodus.benchmark.query.InMemorySortBenchmark.testKeapSort,"(3, 20)",0.08024758774701873,60,172818432.0,165107029.3333333,181665792.0
