Benchmark,Time Saved,Average Difference,CI Upper Difference,CI Lower Difference
zipkin2.EndpointBenchmarks.parseIpv4_addr,57,-0.04595669275643476,0.020401777413481165,-0.021871792463627908
zipkin2.EndpointBenchmarks.parseIpv4_bytes,57,0.010570766003969903,0.004309873888825256,-0.0006318339949042767
zipkin2.EndpointBenchmarks.parseIpv4_literal,57,-0.400829283470336,-0.6062516478704628,-0.3770316897476265
zipkin2.EndpointBenchmarks.parseIpv6_addr,57,-0.23022337742868815,1.2299237233994624,-0.18804581991149208
zipkin2.EndpointBenchmarks.parseIpv6_bytes,0,0.0,0.0,0.0
zipkin2.EndpointBenchmarks.parseIpv6_literal,0,0.0,0.0,0.0
zipkin2.SpanBenchmarks.buildClientSpan,57,-0.041897158701395286,0.9924749581797775,-0.019642184827517412
zipkin2.SpanBenchmarks.buildClientSpan_clear,57,-0.05394966712205306,0.03271470031633654,-0.03431042785190246
zipkin2.SpanBenchmarks.buildClientSpan_clone,56,-0.0036267324947201265,0.43422717556109797,-0.0003571984071375301
zipkin2.SpanBenchmarks.buildClientSpan_longs,0,0.0,0.0,0.0
zipkin2.SpanBenchmarks.padLeft_15Chars,0,0.0,0.0,0.0
zipkin2.SpanBenchmarks.padLeft_17Chars,52,-0.043571635103382966,1.599540385539526,-0.02329500894159601
zipkin2.SpanBenchmarks.padLeft_1Char,0,0.0,0.0,0.0
zipkin2.SpanBenchmarks.padLeft_31Chars,0,0.0,0.0,0.0
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,56,0.02955186856519072,0.031196926637858297,-0.003926928739077255
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2,57,0.001847518243557792,-0.006276810746737662,-0.005799210557698527
zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,0,0.0,0.0,0.0
zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT,57,0.02238052785771809,0.017826452082328952,0.039555376803125014
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,57,0.04629038848492114,0.017395934328760833,0.04157729560923817
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2,57,-0.027909219449075484,-0.02975243250246325,-0.021161279000611263
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,57,0.055749202789177936,0.0462627763554363,0.03505006531949767
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,57,0.005315584102822806,0.1035089869184766,0.014959333892818486
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,57,-0.0076406249004250665,-0.009943706242470388,-0.00018154075300965772
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,57,-0.022859132887664495,-0.029540845193292677,-0.026602325684588694
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V2,56,0.00953535378641312,0.008171637167585687,0.01155774464628862
zipkin2.codec.CodecBenchmarks.writeChineseSpan_PROTO3,57,-0.011726642635875077,-0.0024597983705309193,-0.008151633819711991
zipkin2.codec.CodecBenchmarks.writeChineseSpan_THRIFT,57,-0.02182194931205208,-0.0312995935087937,-0.00446592883765222
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V1,53,-0.005635916009328959,0.03467507071229535,-0.021798072249786592
zipkin2.codec.CodecBenchmarks.writeClientSpan_JSON_V2,55,0.03386302273190996,0.056941804523022284,0.039809869868931765
zipkin2.codec.CodecBenchmarks.writeClientSpan_PROTO3,52,0.03169609603167282,0.03468206924265038,0.02426645272405933
