Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.0176183765580877,60,33.92950121148115,33.795378352490424,34.54702999880483
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.0445970715139543,60,235349.37668852735,229203.3365450792,246286.71115934866
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.19126406701472792,60,827349.654816901,723201.0996586672,896157.0439461883
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.08982618429927708,60,277964.90015951777,260351.86656241852,291536.38773722627
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.02972917144231373,60,123461.46598590522,121709.98298614303,126240.99936780882
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(3, 20)",0.05013814417925441,60,39.648556141061604,38.49127985401575,44.1585359265262
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.1111034566893402,60,1544483.2148377122,1437318.8143884891,1658384.1326699834
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAnnotations,"(3, 20)",0.05494873973973309,60,8532592.813559324,8153570.861788617,8915812.108621994
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(3, 20)",0.008871099229831038,60,2797682.413407821,2785921.4065934066,2814990.422535212
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(3, 20)",0.041868552372635454,60,933844.9410678566,899569.2396396396,951403.7953482156
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(3, 20)",0.0219206915997265,60,37.045439277309825,36.705439133506005,37.84909768910422
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(3, 20)",0.11978103067731309,60,2075536.9881212204,1877074.6116322705,2238365.0716808764
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(3, 20)",0.021304937280114015,60,1789259.5635062612,1768706.4548750117,1832506.5142857144
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(3, 20)",0.10150504508020539,60,1198972.391768029,1141805.4375199324,1297013.6933089835
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(3, 20)",0.03321750826693358,60,1405770.101606545,1388023.4666666666,1433397.256814921
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(3, 20)",0.004723500730407556,60,5.068380685771061,5.057204434797894,5.091651730497505
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(3, 20)",0.003534047870986142,60,5.060129028349733,5.048892909451193,5.073479402522492
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(3, 20)",0.0073987811446226915,60,6.0397853128688395,6.0193451637090725,6.059846532133102
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.0671233998064589,60,16.53900146243988,16.104147900248506,18.22013368292773
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,"(3, 20)",0.00834445186476494,60,11.318511596764766,11.266629922679712,11.39176555677587
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,"(3, 20)",0.023311301915853892,60,7.104266556382722,7.021250674635601,7.172639962520496
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.019547856503036084,60,7.149329665881469,7.060184045961236,7.224055003030948
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAnnotations,"(3, 20)",0.05186700588586617,60,7.5396552074465415,7.272708126485543,7.94619912744947
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.044783330278881935,60,29.263104532684842,28.977586646743685,30.852121834360027
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.08963029344093094,60,38.72682803785268,36.4477183372355,40.19084081873067
