Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.07510746216022841,60,278682.2629281788,268675.2775224742,289813.1312867865
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.03284896368876288,60,123979.64015018636,122009.36971501035,126008.39587923943
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(3, 20)",0.1517216344731878,60,52.9846967209387,49.20269331321706,57.16799569499523
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(3, 20)",0.1146675464680482,60,1921701.36146812,1816469.9732592118,2031894.3175261186
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(3, 20)",0.06585723748653019,60,1334644.996104222,1292551.1142738452,1380243.3988083336
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(3, 20)",0.14397456808732426,60,1329417.741713702,1242162.5649235176,1433014.1759192038
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(3, 20)",0.0415438353300697,60,1422725.9745578994,1393532.222589709,1453841.7749213863
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(3, 20)",0.0484685661632401,60,5.323764379946981,5.206315223107005,5.458343781867185
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(3, 20)",0.008600900430184319,60,5.088161317456634,5.0681059434961515,5.112274331226911
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(3, 20)",0.011589405046814051,60,5.970330120131047,5.9349451495603045,6.0051870818292965
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.0712866749031451,60,16.517019094864033,15.996854946104206,17.152208427975886
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,"(3, 20)",0.08590401016872586,60,12.175272649897417,11.741987026371316,12.78088653947156
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(3, 20)",0.039238582572874665,60,38.360987257060394,37.62047797575135,39.14082645590047
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.08731617628430319,60,1395106.3211611605,1334992.9361375826,1460432.150017007
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.07076587338768751,60,3852592.5332939406,3714366.8133757054,3992815.885412796
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(3, 20)",0.075378256132205,60,3691911.2078200076,3553331.480995976,3833341.158863095
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.09012001216346396,60,1458943.8377170733,1396471.0482940958,1530964.860306978
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(3, 20)",0.08132098959161323,60,1500849.313007386,1441443.8116384512,1563761.3315209576
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.10703944764808239,60,7959142.799661879,7563946.014517277,8412072.99042577
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(3, 20)",0.05797210661461173,60,7391644.698877944,7177658.89199852,7619627.381636764
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(3, 20)",0.017396182817972623,60,1840258.4291137676,1825882.5775267053,1858116.1355416887
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(3, 20)",0.0399620900879893,60,966292.9365949985,947043.6597517405,986049.6487580056
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,"(3, 20)",0.189780320920967,60,8.431846836248328,7.711559157339172,9.315826583419163
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.13953613987225796,60,7.526342627298144,7.097697988746651,8.130297341774096
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.11318435906040422,60,34.46899413542636,32.996090820709135,37.00371868961225
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.2711622526489028,60,8.20680732862004,7.286173061711065,9.600074987427591
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.08865094658721133,60,7.624667590612183,7.339566038023336,8.022329974526524
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.23675389443458983,60,34.886078713963,31.538885120422595,39.59489847161088
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.14311927909259262,60,40.34857105859636,38.114330259151316,44.01148423674976
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.022757030297611044,60,34.98033747153593,34.612564343526586,35.40812926908322
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.07669085409894756,60,224553.54982885733,216813.59892159238,233942.0431211713
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.1897419456698998,60,826519.8071504439,750496.4888103559,907449.2484583211
