Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.04700903865154042,60,8.781312633820704,7.642447951350746,10.425356682752218
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.026096116182432724,60,8.25103373366557,7.820381293860202,8.776848184007031
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.045976616875368304,60,33.393506435886444,30.59259949047536,38.07325501499921
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.08316935302328471,60,37.23742738981802,35.71283216263995,39.033719864514524
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.026859583256228902,60,34.80780276947216,34.401282257370816,35.232757272558345
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.0838351773862342,60,224541.8278202201,215911.235266561,234415.4424748228
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.21952225037363335,60,861528.531942071,778591.6005278239,947260.7399117256
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.08443927862582902,60,277122.0854347982,267035.7845657298,288460.4448439305
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.018989844593534616,60,123723.91215781184,121966.10008055977,125674.02941591524
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(3, 20)",0.0988762684313903,60,1257498.7457319335,1177474.5656471853,1353058.680457329
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(3, 20)",0.043516027605031114,60,1410919.798971438,1384019.8612098214,1438744.0314053672
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(3, 20)",0.010053807918770872,60,5.13942560568701,5.095239184079421,5.19487799683099
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(3, 20)",0.0035896610994754167,60,5.096052483255903,5.075033045144411,5.121152819069755
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(3, 20)",0.010988817574856844,60,6.361090590266477,6.226350000091751,6.499415384590547
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.042384667943793315,60,16.64561276116057,16.113408620575825,17.206195306904362
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,"(3, 20)",0.01366584713476419,60,11.95772081767481,11.57485961357853,12.6308457189027
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,"(3, 20)",0.06857511335665076,60,8.813422195982303,7.80867658521611,10.464624651053898
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.03703023869469324,60,9.188529571703592,7.969670014679945,10.7770943265374
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.06572168831929488,60,33.614291212628956,32.245134130560665,35.29337387275032
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(3, 20)",0.03569518834203758,60,37.64790892937517,36.67407062701909,39.03437754940328
