Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.05387778338788754,60,6082149.683353689,5929198.443203622,6265438.955776555
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,"(3, 20)",0.06412066004681886,60,5990155.532877839,5812633.806589676,6211117.176939378
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,"(3, 20)",0.04939464178127335,60,6805215.095024434,6662517.358357921,6999552.701147997
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,"(3, 20)",0.06509661944872522,60,7021567.165825932,6822679.637167246,7282396.269036609
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,"(3, 20)",0.02043828464777799,60,1844262.6858079701,1828494.1215436026,1865374.209603818
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkJavassist,"(3, 20)",0.05895256386500957,60,965276.6961905296,940703.9528121647,998257.6116517397
net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,"(3, 20)",0.1277036560969649,60,52.50072447985987,48.95276284574094,55.64384236822091
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddy,"(3, 20)",0.09442540889592314,60,777744.659387889,744232.8458797828,817326.7802408623
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkByteBuddyWithTypePool,"(3, 20)",0.1183247295740989,60,1058829.347283453,1005042.4990004107,1136927.0400524682
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,"(3, 20)",0.052236645347142986,60,1335117.4283394553,1303882.3075787367,1372582.2514767079
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.5320096220499922,60,8.009135368507748,7.269023494652937,11.51889763238566
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,"(3, 20)",0.16883659289308497,60,8.473295138393054,7.96292464413593,9.385677993392807
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkCglib,"(3, 20)",0.23998941674387303,60,32.66397518586886,30.95633639132843,38.775468568532474
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.09584741135477573,60,39.28483830960737,37.95171311843063,41.84920255963485
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.baseline,"(3, 20)",0.14932555856217902,60,37.8775349797295,35.68381118575468,41.311597174567474
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkByteBuddy,"(3, 20)",0.059675417267327495,60,185212.02438197477,180701.08938188074,192214.6217049232
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,"(3, 20)",0.19464818392791622,60,863493.6933244676,783053.6837576639,952675.6365401265
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,"(3, 20)",0.08520713175013439,60,282255.41759683564,271778.3893494428,294713.37853653065
net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,"(3, 20)",0.03768881079684976,60,122076.91018156122,119911.96007851283,124518.42650405325
net.bytebuddy.benchmark.ClassByExtensionBenchmark.baseline,"(3, 20)",5.117070878444714,60,41.50521856348872,34.29064314261917,244.97408372431053
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.12479875698488006,60,850253.7667525733,811438.2079243535,915283.8046852858
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.11795119324255304,60,2983137.9725466813,2834560.885144731,3185677.551644496
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegator,"(3, 20)",0.07247593751721473,60,2585972.708659471,2498313.167369372,2684798.2845524303
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,"(3, 20)",0.08518638552596083,60,4195891.655344251,4033663.9887246466,4385360.156958598
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorWithTypePool,"(3, 20)",0.09168104462647846,60,4330488.595414986,4149665.775980955,4538001.286398871
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,"(3, 20)",0.1338831068303543,60,1106523.556973077,1046758.982144253,1187107.0010609971
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegator,"(3, 20)",0.10759433199698198,60,962359.4338607605,923669.4579336282,1026769.8755353099
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,"(3, 20)",0.12883550452423184,60,1180187.7646124747,1122112.0145134155,1279080.044860203
net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixWithTypePool,"(3, 20)",0.16876342146487322,60,1221755.0293243646,1149925.8267114146,1354818.827604826
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJavassist,"(3, 20)",0.17130800278614722,60,1272985.7704339782,1185426.4226099062,1405269.011708258
net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,"(3, 20)",0.04934231767143079,60,1411000.62554859,1379758.4876424123,1450488.9288378838
net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,"(3, 20)",0.01867328796482628,60,5.165988291744914,5.1261131746045425,5.221105332422712
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkByteBuddy,"(3, 20)",0.030951075080387275,60,5.103755546243031,5.068974516206973,5.231471082489452
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkCglib,"(3, 20)",0.01134770177928368,60,6.0228617059857035,5.986357925057924,6.0559804618824185
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJavassist,"(3, 20)",0.12735840060049106,60,17.008210115813423,16.201358132703184,18.348400620431025
net.bytebuddy.benchmark.StubInvocationBenchmark.benchmarkJdkProxy,"(3, 20)",0.11565607587160182,60,12.356154682721394,11.898349933068003,13.3086855379601
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,"(3, 20)",0.3064331971244879,60,7.951095713919435,7.397454631085132,9.932943893080882
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,"(3, 20)",0.28779376842363025,60,7.530344275800909,7.142472191656586,9.350152337642271
net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithAccessor,"(3, 20)",0.14695815862753153,60,33.30299456324109,31.90804579537773,36.898665820715124
