Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(3, 20)",0.014505408959652738,60,38.62917043011521,38.37340975119269,38.92973853978158
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(3, 20)",0.03483240179515075,60,38.914340029148256,38.27519497251324,39.63607133305436
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(3, 20)",0.02307233457504136,60,36.60761401075182,36.199283999246305,37.02312479264899
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(3, 20)",0.04052020055196947,60,36.9130671983385,36.209446765998024,37.70317034488736
io.jenetics.util.SeqPerf.arrayList_contains,"(3, 20)",0.0025104420609474627,60,659.8272127370026,659.0123029521158,660.7348238367334
io.jenetics.util.SeqPerf.arrayList_copy,"(3, 20)",0.7340178073122842,60,0.07012767918362471,0.04691755779337012,0.09805072531465682
io.jenetics.util.SeqPerf.arrayList_forEachLoop,"(3, 20)",0.021365046745878052,60,1.0151164285941177,1.0065027878534674,1.0286668357434798
io.jenetics.util.SeqPerf.arrayList_forLoop,"(3, 20)",0.0013073177586186353,60,1.0039434256226138,1.0033077797251413,1.004627946155426
io.jenetics.util.SeqPerf.arrayList_get,"(3, 20)",0.0013656679435408202,60,1.004521811447435,1.00387020745551,1.0052210450863526
io.jenetics.util.SeqPerf.arrayList_set,"(3, 20)",1.7841263456478513,60,0.015193416281919047,0.006844666995148016,0.03292340159658097
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(3, 20)",0.03287172137107924,60,42.02888360279885,41.3782810384565,42.74150048237902
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(3, 20)",0.03755244506972501,60,45.02041217416577,44.174061079886926,45.89608301587275
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(3, 20)",0.1120487303463884,60,61.91986562816873,58.45370749737434,65.40540762420049
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(3, 20)",0.030176484551288928,60,45.227319004104444,44.56735091198735,45.93560541971214
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(3, 20)",0.07112752688964478,60,65.78757289894017,63.21803582350384,67.83494302496578
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(3, 20)",0.08489749599805037,60,52.23486286084461,50.031654220023086,54.48068578573505
io.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(3, 20)",0.10989328995913908,60,52.64260650982278,49.8608836874565,55.507801061163825
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(3, 20)",0.04258722086919587,60,41.225237843029404,40.531133073752386,42.376015406644036
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(3, 20)",0.026265813753567128,60,42.36790744899134,41.81118506941313,42.9518450623137
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(3, 20)",0.026265538699172104,60,100.13087048269396,98.86554860853903,101.48391691961051
io.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(3, 20)",0.025452449894198963,60,61559.557145311155,60770.36560594384,62313.25853266995
io.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(3, 20)",0.0422142204009969,60,4591.986875460416,4492.561033586744,4685.856117423161
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(3, 20)",0.012424463994690695,60,39.65842271426448,39.423942511890516,39.93043337145777
io.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(3, 20)",0.02313362228929324,60,39.19904742038918,38.74223326338117,39.67131117990004
