Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(3, 20)",0.025882633839360573,60,38.60243427513258,38.426008999522,39.15840400705789
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(3, 20)",0.014992547940942886,60,37.998288931990736,37.77492775012025,38.69825492137028
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(3, 20)",0.019895599932419978,60,36.3037693772398,36.18443546872064,36.42849427014841
io.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(3, 20)",0.04058530183174316,60,36.7279858314157,36.49023515344759,36.965045062988594
io.jenetics.util.SeqPerf.arrayList_contains,"(3, 20)",0.0022814351951999184,60,659.1276385224274,658.8645352669744,659.9953764861294
io.jenetics.util.SeqPerf.arrayList_copy,"(3, 20)",0.9320094578853374,60,0.04337659876648455,0.011262537069741,0.0734659755893663
io.jenetics.util.SeqPerf.arrayList_forEachLoop,"(3, 20)",0.02381520859855814,60,1.0061991343850116,1.005262246840921,1.007559921962096
io.jenetics.util.SeqPerf.arrayList_forLoop,"(3, 20)",0.0021940327711990606,60,1.004219984887776,1.003883954203114,1.0052503587901556
io.jenetics.util.SeqPerf.arrayList_get,"(3, 20)",0.0014506684534801803,60,1.0040358484338912,1.00371721279843,1.005184211164261
io.jenetics.util.SeqPerf.arrayList_set,"(3, 20)",3.858511242312912,60,0.0060880896790161,0.0045175111773472,0.0075605544406589
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(3, 20)",0.03181618294563581,60,44.72365021704161,43.95974172300225,45.55501346781158
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(3, 20)",0.027099435529513514,60,129.95517256096247,127.8726327151408,132.30480314253634
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(3, 20)",0.02516957397927939,60,49.72426892549748,49.36296958384816,50.56389373666861
io.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(3, 20)",0.04320578521718607,60,62.89141226625003,61.60230648957768,64.97086640770141
io.jenetics.internal.util.IndexSorterPerf.heapSort160,"(3, 20)",0.015569365415512276,60,11214.862348514438,11071.177546961326,11304.728239999346
