Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.03505945225240983,60,799556676.2666667,786676580.352,814708774.2293333
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08916610939285015,60,313602867.2,300373245.95199996,327937884.15999997
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.07244354046850889,60,1121294745.6,1080662076.0746665,1163133102.7626667
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.05706337007985311,60,989226598.4,960145915.9039999,1016192477.8666667
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(3, 20)",0.44649427984793627,60,44.84885495100376,39.59685555288478,59.644360336423304
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(3, 20)",0.15915520608595943,60,46638.58232746063,43068.921194871844,50578.3703643631
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(3, 20)",0.16484490700773016,60,43832.888244090864,40384.7570807753,47667.63710675817
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(3, 20)",0.0649790922373704,60,444.03676261942087,431.0819858839779,460.1575451349569
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(3, 20)",0.06734240477118215,60,443.4458600470489,429.6381270173953,459.14641529151686
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(3, 20)",0.711445772314652,60,54.81039424966535,40.07655492454485,78.95291785180443
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(3, 20)",0.04134849987064224,60,9133653.108259117,8944990.60084513,9316892.634684462
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(3, 20)",0.014215662286249101,60,12937844.547271194,12840700.901144562,13028117.308745945
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(3, 20)",0.00347630173721611,60,640326.9620586893,639184.633319311,641492.8789549584
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(3, 20)",0.008420676274245618,60,5885131.370968733,5860948.943473792,5911215.50095017
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.03921998724557587,60,2630807278.9333334,2583271833.6,2684285004.458667
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.1283915286777056,60,291294412.8,274193776.64,311230595.07199997
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.01225502115450077,60,2874915771.733333,2858207761.7493334,2892392038.4
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.036789295702133164,60,746769612.8,733784484.5226666,760348934.1439999
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.06228263398743499,60,1351929036.8,1312187482.112,1395025859.9253333
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08126983956530152,60,406856226.1333333,390174649.0026667,423765256.8746665
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.04645325439194718,60,49.55933305474355,48.504517552336495,50.88789773416492
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.03936990676662784,60,46.615636807393976,45.83136377390876,47.62334738762307
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(3, 20)",0.8640203000422176,60,66.00094257608934,48.727764263624564,104.09958132034595
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.04873439024555645,60,46.84154497831275,45.93201006732926,48.24350209689505
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(3, 20)",0.06724750202714899,60,53.24783058136185,51.62612592666074,55.23485232985093
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.3265304001807469,60,54.748292597001104,48.870873789165394,66.8768256213169
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.5208392923140914,60,149.1379711061307,123.74348606630448,202.97195852847375
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.03303879243920604,60,53.25787453632566,52.3944154652292,54.18848538406512
