Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(3, 20)",0.014400720558814433,60,9521885.718533736,9463479.018078065,9598483.763184292
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(3, 20)",0.021849878730764407,60,13506472.311570918,13361638.146066394,13663751.822125511
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(3, 20)",0.0020487233502220416,60,637465.385538026,637005.5191914173,638261.9486970408
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(3, 20)",0.006927720480928098,60,5916990.746499179,5897861.700327509,5939230.411890613
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.050029517432839676,60,2733148296.5333333,2677140639.519991,2812948262.6037173
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08401826220398895,60,258666222.93333334,248386560.2277819,270538268.70553637
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.01582491436875528,60,2894838715.733333,2872917984.203682,2918299528.0735006
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.13399174792242,60,790600089.6,765295702.8888546,873277791.1152182
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.07731452872063815,60,1365525572.2666667,1322350170.3643813,1432734060.82444
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.09337299280318781,60,417315771.73333335,400144956.9733811,438165770.3716724
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.04564645265987938,60,770161595.7333333,754814946.4529266,790551045.4658592
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08695036561568231,60,303558382.93333334,291162138.76968145,318136305.6752298
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.054774024765879975,60,1105531153.0666666,1077078723.3115106,1137941947.4392066
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.04070037429320751,60,952281770.6666666,931723318.956624,970155656.0607387
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(3, 20)",3.8141024078011574,60,44.51599096883988,36.978308219497926,206.11659278762986
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(3, 20)",0.1529877935191994,60,41903.50989780341,38849.02833748133,45523.652900696645
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(3, 20)",0.20433586976009094,60,49610.20730474556,45153.54450762797,55419.71742474116
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(3, 20)",0.08543235342239675,60,451.06678584067845,437.18497138570905,474.7261748672676
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(3, 20)",0.09451971364765029,60,440.7028778085934,424.7629705817869,466.78892089058036
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(3, 20)",0.10031942553191843,60,43.50805136376001,41.52014890031611,45.97460459278803
