Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.04328563257835738,60,763887616.0,743440384.0,792723456.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08398795005807194,60,300941312.0,284688384.0,321650688.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.052485062893081594,60,1111490560.0,1082130432.0,1117782016.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.037121392496392604,60,968884224.0,962592768.0,979369984.0
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.chaChaCrypt,"(3, 20)",0.5035594510816296,60,39.66321087009735,38.68655860449561,40.39703445268208
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getChaChaProvider,"(3, 20)",0.14499026094890438,60,42267.47774599794,32595.929750882693,46681.820402045385
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.getSalsa20Provider,"(3, 20)",0.2061854006390729,60,45912.162050493476,44318.34151602017,50755.56593098757
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initChaChaCipher,"(3, 20)",0.07661130050242983,60,429.9171498203698,424.8405103134229,436.3913817011591
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.initSalsa20Cipher,"(3, 20)",0.08621849362729361,60,415.9470488565386,409.8238160383607,420.3572814666362
jetbrains.exodus.benchmark.crypto.JMHStreamCipherBenchmarks.salsa20Crypt,"(3, 20)",0.10188504772650164,60,39.80488265317585,39.10391472868217,45.99453791073894
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(3, 20)",0.5040681084946103,60,74.03373789378418,73.06959483503634,74.96936563295316
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(3, 20)",0.04734094038060861,60,78.11146465182567,77.19425066470109,79.12234550860055
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(3, 20)",0.17047180100836173,60,615.8850752373836,478.79940433079787,618.0164966691236
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(3, 20)",0.019341439048722153,60,602.2562280345205,599.0450379788639,606.002379064219
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(3, 20)",0.037154474937720824,60,124.48864902144783,123.22244522927858,126.76731668943816
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(3, 20)",0.02554324448318769,60,123.74245430249388,122.92894780863163,124.88115742249529
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(3, 20)",0.048307177673006525,60,300.29057958552113,298.58436698410793,306.08330571824047
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(3, 20)",0.0465305317369702,60,310.4146713792793,299.14997612536354,325.20136424314404
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fill23Tree,"(3, 20)",0.034511563237862475,60,33775069.86666667,33507464.53333333,34095104.0
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillBitTree,"(3, 20)",0.01829221166980643,60,23748798.51162791,23592197.95348837,24326339.04761905
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.2068233467871132,60,48.253857985712926,47.58077185108003,48.60690977807691
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.20134245720332278,60,46.511798786641265,45.96220361797537,47.327576910404154
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(3, 20)",0.18880627462116314,60,49.38010749152653,48.62191446028513,50.13555029684062
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.8635527976942949,60,45.4928605738036,44.75169491525424,46.01495159275453
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(3, 20)",0.2488693839519192,60,50.710878211382465,49.48320304246778,52.32195082101136
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(3, 20)",0.11038856246344128,60,48.81331636291755,46.97020002891341,50.24617675466838
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(3, 20)",0.5198292416149534,60,117.0850593667886,112.34758465502848,122.34110365145987
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(3, 20)",0.46041177068324596,60,52.728180972595325,51.556141362550456,54.29885548343013
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(3, 20)",0.2810752590780768,60,39.46978100011085,38.44085278583124,40.56945908460472
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(3, 20)",0.2228922672901283,60,55.3484511061642,53.70916768832584,55.8836499321574
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetFillBenchmark.fillTreeMap,"(3, 20)",0.013594651851476007,60,9439811.62264151,9379993.121495325,9655059.692307692
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(3, 20)",0.02081466307067117,60,13385181.866666667,13317671.163508773,13824148.526126122
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(3, 20)",0.0016954280950568718,60,636859.798597833,636607.7554140127,637100.2982791587
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(3, 20)",0.006618474303282314,60,5919883.360946746,5915399.573964497,5926936.236686391
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.04602434602434603,60,2699034624.0,2629828608.0,2747269120.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.08514303616183322,60,244056064.0,232259584.0,273154048.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.015230629978276613,60,2896166912.0,2877292544.0,2915041280.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.09058657935974936,60,780664832.0,756809728.0,800587776.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.07501504065040643,60,1289748480.0,1266679808.0,1382023168.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.09256801801801812,60,387973120.0,378535936.0,443023360.0
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternDefault,"(3, 20)",0.005551513266998601,60,150545554.2857143,150302134.85714287,150732800.0
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.jdkInternSparse,"(3, 20)",0.0022160886435458,60,136527872.0,136462336.0,136740864.0
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternDefault,"(3, 20)",0.014325425672717156,60,121955214.22222224,120804693.33333331,123134862.22222224
jetbrains.exodus.benchmark.util.JMHStringInternerMacroBenchmark.xdInternSparse,"(3, 20)",0.012386607232044558,60,121496462.22222221,120193024.0,121984341.33333334
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.04604012671594499,60,1986002944.0,1943011328.0,2057306112.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.07983927072088269,60,728498176.0,672661504.0,772800512.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.008432191069574413,60,13463715840.0,13421772800.0,13555990528.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetReadBenchmark.successiveRead,"(3, 20)",0.051207977207977096,60,130351104.0,130023424.0,134578176.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.randomWrite,"(3, 20)",0.02438285644411845,60,2858418176.0,2826960896.0,2946498560.0
jetbrains.exodus.benchmark.h2.JMH_MVStoreTokyoCabinetWriteBenchmark.successiveWrite,"(3, 20)",0.06538931129476563,60,792985600.0,784334848.0,817364992.0
jetbrains.exodus.benchmark.mapdb.JMHMapDbTokyoCabinetReadBenchmark.randomRead,"(3, 20)",0.005758157389635317,60,8740929536.0,8724152320.0,8774483968.0
