Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_zipkin,"(3, 20)",0.03587886729337724,60,1054.432296195414,1035.6707327771073,1080.1679436135173
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_json_zipkin,"(3, 20)",0.018873263338341557,60,3105.909729030351,3076.170127561361,3138.9255758680006
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_libthrift,"(3, 20)",0.03841519217511088,60,2057.929735277959,2012.1826951413739,2110.4241264296224
zipkin.benchmarks.CodecBenchmarks.writeLocalSpan_thrift_zipkin,"(3, 20)",0.034333375093181115,60,451.407370051367,441.91700729117184,462.8386900202784
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_json_zipkin,"(3, 20)",0.010831415782460871,60,9182.100235511713,9127.468546540895,9245.147729978215
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_libthrift,"(3, 20)",0.017648901381700152,60,8669.460457950303,8588.131079916127,8764.206152840185
zipkin.benchmarks.CodecBenchmarks.writeRpcSpan_thrift_zipkin,"(3, 20)",0.02766111415454102,60,2063.8393829211495,2035.1158892649717,2096.9661117277456
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_json_zipkin,"(3, 20)",0.016751956742402194,60,9824.648971328592,9750.555723681244,9904.3578439925
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_libthrift,"(3, 20)",0.016796438859693053,60,9917.73818419621,9823.999514016657,10016.500694374434
zipkin.benchmarks.CodecBenchmarks.writeRpcV6Span_thrift_zipkin,"(3, 20)",0.027534544739401482,60,2340.473099982518,2312.829545855574,2369.5648586815023
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin,"(3, 20)",0.01328618391535106,60,14649.787461090755,14501.664797894258,14815.763767291273
zipkin.benchmarks.CodecBenchmarks.readClientSpan_json_zipkin2,"(3, 20)",0.0198150212869503,60,8190.178627525014,8106.987220346849,8284.192689095036
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_libthrift,"(3, 20)",0.04545716144442795,60,3020.20095267516,2965.722579099752,3078.7632462856004
zipkin.benchmarks.CodecBenchmarks.readClientSpan_thrift_zipkin,"(3, 20)",0.041187412888027394,60,3080.5774507668643,2992.4749160340593,3167.427693311138
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_json_zipkin,"(3, 20)",0.02430621117231916,60,8083.465076461594,7978.987195514117,8197.8168952514
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_libthrift,"(3, 20)",0.03747259993257566,60,1294.538910537496,1253.9678163087715,1343.7660081543015
zipkin.benchmarks.CodecBenchmarks.readLocalSpan_thrift_zipkin,"(3, 20)",0.04775880907679104,60,1393.9105266251038,1368.4188359574366,1421.3802232542344
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_json_zipkin,"(3, 20)",0.011512828033311015,60,26031.80444825392,25815.629188678224,26287.63018601671
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_libthrift,"(3, 20)",0.01887304182390087,60,6058.263785353556,5980.253075904969,6147.716493114383
zipkin.benchmarks.CodecBenchmarks.readRpcSpan_thrift_zipkin,"(3, 20)",0.018745864131677066,60,6398.668300955486,6319.503429875524,6491.037438170357
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_json_zipkin,"(3, 20)",0.009407008673832692,60,27047.890036324712,26825.47670239495,27309.863891394532
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_libthrift,"(3, 20)",0.02349880334702472,60,7308.616876961739,7238.268248646004,7379.872367638756
zipkin.benchmarks.CodecBenchmarks.readRpcV6Span_thrift_zipkin,"(3, 20)",0.024822130821104873,60,7412.54708925687,7313.599279888494,7531.955710172539
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin,"(3, 20)",0.0063004312085201295,60,105926.68851989927,104988.59054738117,106899.01994685615
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_json_zipkin2,"(3, 20)",0.005745079397300699,60,53289.01938068943,53005.500513839615,53645.52816524814
zipkin.benchmarks.CodecBenchmarks.readTenClientSpans_thrift_zipkin,"(3, 20)",0.026974301398936848,60,28404.254778319842,27737.40597166568,29136.08157931922
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin,"(3, 20)",0.01733513803262228,60,4789.096492777953,4745.732717029598,4840.935945334323
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2,"(3, 20)",0.016412496145056077,60,1702.0432102463851,1682.0072101346682,1727.5989796055776
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_json_zipkin2_legacy,"(3, 20)",0.031189939723913762,60,2445.4397154996013,2403.153160800293,2489.1045968038115
zipkin.benchmarks.CodecBenchmarks.writeClientSpan_thrift_libthrift,"(3, 20)",0.03376397310001216,60,4788.279918661371,4718.487296516413,4866.141313108265
